feature,r
RT.Button Press,0.06764835307490799
BD.Cognition.Attention,0.06433102703763673
PC.Stroop-Color Word,0.058535870552618816
RM.Hand,0.05292540654906527
PC.Reward,0.052129334059378016
PC.Go/No-Go,0.04845971239202278
SM.Visual,0.04651806721790408
ST.Faces and Scenes,0.04576522798573973
ST.Shapes,0.04380407866756151
BD.Action.Inhibition,0.04240159414238354
BD.Cognition.Memory.Working,0.040593174374227485
BD.Cognition,0.040481710544891025
Instruct.Discriminate,0.04006032147038672
Contrast.External Variable,0.035673474932963585
ST.Letters,0.0336335129859685
BD.Cognition.Memory.Explicit,0.033086054757362995
PC.Oddball Discrimination,0.03177964896896829
Instruct.Recall,0.029332106787504513
PC.Classical Conditioning,0.029310192767052212
PC.n-back,0.028714747460374584
Instruct.Detect,0.02767514203273939
BD.Emotion,0.02725127988102396
PC.Flanker,0.026643758446785525
PC.Paired Associate Recall,0.02617934668003758
PC.Stroop-Other,0.025685236024569295
PC.Delayed Match to Sample,0.025234573780714652
PC.Task Switching,0.022202484389100524
Contrast.Experience Dependent Change,0.021161604892575365
ST.Digits,0.02043540361548813
PC.Deception,0.01931971251361141
BD.Interoception.Thermoregulation,0.01836293938062633
Instruct.Inhibit,0.017837167778232948
Instruct.Repeat,0.01764591094464227
PC.Visual Motion,0.017568813018417652
ST.Pain,0.01609343545693954
PC.Affective Pictures,0.015871839899489683
Contrast.Session,0.015150946182936399
BD.Emotion.Anxiety,0.014477682382715436
Instruct.Count,0.014170247959084456
PC.Episodic Recall,0.013889237072624095
PC.Cued Explicit Recognition/Recall,0.013380509088359934
ST.Vignettes,0.013093745185098982
PC.Hand-Eye Coordination,0.012680297071779499
BD.Emotion.Sadness,0.012265467943806839
ST.Heat,0.012177949808482618
PC.Micturition,0.012082326179978495
PC.Divided Auditory Attention,0.011894473462364398
ST.Playing Cards,0.011751224835103763
PC.Anti-Saccades,0.010310119108059197
Instruct.Name,0.010267046916116861
ST.Pictures,0.010056804043470714
PC.Wisconsin Card Sorting Test,0.009883357416821769
RT.Point,0.009722485483207961
PC.Visuospatial Attention,0.009394353632728815
BD.Cognition.Reasoning,0.009082084035442566
PC.Self-Reflection,0.009062466509325415
BD.Cognition.Soma,0.008349003556254031
PC.Pain Monitor/Discrimination,0.008198997699871641
BD.Interoception.Sexuality,0.008122865042563593
PC.Transcranial Magnetic Stimulation,0.007924611162820611
PC.Sequence Recall/Learning,0.00791101873666018
ST.TMS,0.007393929903018902
