feature,r
LDA100_abstract_weight__83_cortex_anterior_cingulate,0.11195874661837425
LDA100_abstract_weight__53_decision_making_risk,0.06429588822337051
LDA100_abstract_weight__25_feedback_error_learning,0.05021022061622311
LDA100_abstract_weight__43_prefrontal_cortex_pfc,0.04835645033301846
LDA100_abstract_weight__89_inhibition_response_control,0.03668125285434101
LDA100_abstract_weight__14_conflict_interference_control,0.03622219739234132
LDA100_abstract_weight__63_insula_anterior_autonomic,0.03607856810417203
LDA100_abstract_weight__26_fear_anxiety_ptsd,0.03211469484863509
LDA100_abstract_weight__94_network_control_frontoparietal,0.032074111097569316
LDA100_abstract_weight__67_network_state_resting,0.028048841393029305
LDA100_abstract_weight__95_adults_age_older,0.02748821735782884
LDA100_abstract_weight__76_memory_recognition_items,0.027433185298512172
LDA100_abstract_weight__35_regulation_emotion_reappraisal,0.027065325815142108
LDA100_abstract_weight__36_task_difficulty_demands,0.02624141831562506
LDA100_abstract_weight__41_memory_retrieval_episodic,0.02586983039725602
LDA100_abstract_weight__71_reasoning_mind_mental,0.024951922700760104
LDA100_abstract_weight__45_memory_working_wm,0.024401678550870845
LDA100_abstract_weight__65_task_switching_rule,0.023144535320473763
LDA100_abstract_weight__92_social_empathy_moral,0.017946240543342092
LDA100_abstract_weight__69_pain_painful_stimulation,0.016204731527321475
LDA100_abstract_weight__39_mechanisms_provide_network,0.015280992908183858
LDA100_abstract_weight__40_ad_disease_mci,0.013737436308160128
LDA100_abstract_weight__33_reward_striatum_ventral,0.013718289343824306
LDA100_abstract_weight__30_emotional_negative_positive,0.012691238169247023
LDA100_abstract_weight__42_context_influence_modulation,0.012095239796099038
LDA100_abstract_weight__11_task_cognitive_performance,0.011674830906996248
LDA100_abstract_weight__74_placebo_ocd_dopamine,0.011094467655540247
LDA100_abstract_weight__80_pictures_images_aversive,0.010448397384497408
LDA100_abstract_weight__19_judgments_judgment_ppc,0.008731451519148175
LDA100_abstract_weight__56_response_stimulus_trials,0.008684896702407713
LDA100_abstract_weight__72_memory_encoding_hippocampus,0.008596860335273912
LDA100_abstract_weight__49_attention_attentional_task,0.006700677972050846
LDA100_abstract_weight__61_caudate_ofc_thalamus,0.0051891443947383415
LDA100_abstract_weight__44_target_detection_targets,0.004132808352370205
LDA100_abstract_weight__75_stress_alcohol_users,0.0033357617012408063
LDA100_abstract_weight__58_personality_trait_traits,0.002561696798912394
LDA100_abstract_weight__24_music_musical_musicians,0.0024125226185283573
LDA100_abstract_weight__18_number_numerical_numbers,0.0020105359353104193
LDA100_abstract_weight__28_phase_problem_problems,8.617003147888793e-05
LDA100_abstract_weight__29_integration_human_order,-3.5264311762812574e-05
LDA100_abstract_weight__16_deaf_hearing_sign,-0.0008099058753209917
LDA100_abstract_weight__64_ms_spatial_virtual,-0.0010671665735569567
LDA100_abstract_weight__79_spatial_cues_cue,-0.0016934174078229117
LDA100_abstract_weight__70_pattern_patterns_classification,-0.0018320573215144277
LDA100_abstract_weight__86_women_men_sex,-0.0019969620397978383
LDA100_abstract_weight__20_pd_basal_ganglia,-0.0023906774003319368
LDA100_abstract_weight__96_patterns_cortex_common,-0.00251592864644816
LDA100_abstract_weight__0_group_control_age,-0.003285331277701646
LDA100_abstract_weight__73_parietal_frontal_inferior,-0.003374227734743995
LDA100_abstract_weight__10_schizophrenia_symptoms_risk,-0.00431116937666396
LDA100_abstract_weight__23_semantic_words_word,-0.004330348885058702
LDA100_abstract_weight__54_adhd_food_weight,-0.005429233603219945
