Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
ST.Faces and Scenes,1.0,-0.0,0.25556209920167516,5.6071529593592204e-11,6.55385202925809,0.9782358212776854
PC.Deception,0.31725862025029605,1.0001072245303286,0.053412188522845884,5.736729941399337e-09,5.824256827593672,0.9001114615694737
PC.Flanker,0.8809093275859161,-0.1498165805846407,0.06100461017740429,8.304323191361044e-07,4.92807619928318,0.910677986368528
PC.Tower of London,0.43229650435257505,-0.7852679134361309,0.07217269708092991,7.221596964871978e-06,4.487050477090158,0.9237103414870428
RT.Button Press,2.1442266489754288e-282,35.90984935422341,0.010677059164934045,8.371343985536548e-06,4.455460163844713,0.7531687445674031
RM.Hand,6.094372628699156e-309,37.57229464633961,0.010110596663259471,4.8220917192684665e-05,4.064086619962581,0.7489692101740295
ST.Shapes,1.4372249445614997e-33,12.074679863226757,0.01622133904436205,6.340587760982427e-05,3.999763267476631,0.7135091648365985
BD.Cognition.Attention,1.0489898303681657e-30,11.519763117745208,0.016029853911877077,0.000151848345219169,3.7880270094025903,0.7062294378486624
Instruct.Discriminate,5.112763017242981e-161,27.039231376255195,0.011944547801393786,0.0004565194308284213,3.50505122853899,0.6793774502301598
ST.Scenes,0.08769722589837718,-1.7076719703046457,0.07699431265434407,0.000957815465577221,3.3026333151661236,0.9277123071315758
PC.Stroop-Color Word,0.6731193976156005,0.42187069977510067,0.02841465714998509,0.0020127217561633493,3.0883486657903183,0.809036886342952
PC.Go/No-Go,0.036346617362527915,2.0930284231503546,0.021596786514883972,0.0026610777484821625,3.0043970787118544,0.7537727780113365
PC.Delayed Match to Sample,0.03637283513574598,2.092734797515291,0.021302317056369074,0.0031944583037860196,2.948378356770912,0.750234592674934
BD.Action.Inhibition,0.03644025518695113,2.091980554917126,0.020545868304212928,0.005101133362444665,2.8005770153499987,0.7406545724440131
SM.Visual,0.0,inf,0.009440580099518571,0.011936649990460103,2.5140116228452634,0.6871152966183005
PC.Estimation,0.13656011345264887,-1.4887238062723678,0.051023203735467884,0.012192298625369004,2.506529201420742,0.890860277810202
Instruct.Inhibit,0.13656011345264887,-1.4887238062723678,0.051023203735467884,0.012192298625369004,2.506529201420742,0.890860277810202
PC.Task Switching,0.6747520384696671,0.41963510595005443,0.022116620142673578,0.020806468864113484,2.3114779656315334,0.7535810878493439
BD.Cognition.Memory.Working,1.155924501216493e-06,4.863046889634118,0.0157397813631717,0.021477484391701072,2.2994837621235944,0.6676001825075915
RT.Point,0.4729274770610231,-0.7177240081923495,0.0247636371006151,0.061962315417055415,1.8665653123195307,0.7765728900255755
ST.Inhalation,0.16473781798877243,-1.38931225813323,0.03498480430724611,0.06265495534396934,1.8616321713337007,0.8407011354867158
Instruct.Track,0.4739794235816631,-0.7160193132460467,0.023392927752358357,0.0815242592566251,1.7419096263077631,0.7633564744944159
BD.Cognition.Language,0.47444897322256063,-0.7152590725290192,0.022778623871979632,0.09223637856072295,1.6837169780858317,0.756910487975252
PC.Recitation/Repetition (Covert),0.17216216768910952,-1.3652892139841952,0.030575232847960123,0.0999652293363961,1.6450222179688385,0.8176552611820229
Instruct.Recall,6.835931546319755e-11,6.524213421349811,0.013606541207642075,0.10014713490965542,1.6441407372399357,0.6131317845432119
ST.Letters,1.6620226636369323e-05,4.306040998216637,0.014183563228550453,0.1125225182030228,1.586956406695956,0.6234289358335823
Instruct.Count,0.8866603438956824,-0.14253131775438121,0.018556230651942892,0.12858138564955135,1.519719909167164,0.702916368389928
PC.Sequence Recall/Learning,0.47585737106462855,-0.712981231606535,0.020926974846214752,0.1340841375094834,1.4981890587223408,0.7351571594877765
PC.Phonological Discrimination,0.6761028890272349,0.4177869555220494,0.01685446266603358,0.14423418298096552,1.4602033934577432,0.6742212189616252
ST.Infusion,0.17904265469024033,-1.3437085399248327,0.02641149319683248,0.1571131037526412,1.414847874911712,0.7887980122165855
PC.Paired Associate Recall,0.8867667798365002,-0.14239655947508545,0.017713738972496108,0.16371919862563458,1.392671341575105,0.6884555525038909
PC.Micturition,0.1804034243392466,-1.3395139248663792,0.02557889209766343,0.17225853047669953,1.3649825632419121,0.7818946936261932
BD.Cognition.Social Cognition,0.1258499103027563,1.5306742927498536,0.015011910628138978,0.17772385725280931,1.3477964586512585,0.6364373172779112
PC.n-back,0.32975756614093227,0.974602312414089,0.015361801815293608,0.19182565728198667,1.3051973471938851,0.6432463485542189
BD.Interoception.Hunger,0.18280997046669217,-1.3321528381715473,0.02409887566137566,0.20319748916632746,1.2724944657827926,0.7684391080617495
BD.Action.Motor Learning,0.18387911961807413,-1.3289055892409243,0.023438232811180938,0.2189033050361534,1.2294495421865084,0.7618809404702351
ST.Heat,0.8869324873540503,-0.14218676274610823,0.016399212119456594,0.23853472607030418,1.178657146811187,0.6628102093084871
PC.Fixation,0.18579550785813811,-1.3231199000711586,0.02224922282061386,0.2506025101929472,1.1488871663909364,0.7490898356784415
PC.Stroop-Other,0.18746383794111085,-1.3181189316699347,0.021209023124425172,0.2824840649408912,1.0747558204274315,0.7367147420385249
ST.Abstract/Geometrical,0.12605366925595388,1.529850778608265,0.01405613993849288,0.28479876747492894,1.0696013939576703,0.6097996042253129
BD.Interoception.Bladder,0.18821954826485285,-1.3158644330721163,0.0207362720503325,0.29843029952708544,1.0398054436377464,0.7306769083053288
BD.Emotion,2.3227245622661174e-18,8.740406834322274,0.012270447703151282,0.3124925387437993,1.0100057426301001,0.5647103423764956
BD.Cognition.Reasoning,0.6766662487801747,0.4170166232708713,0.014655049401669028,0.3181339208807598,0.9982999726476812,0.6231586015864355
ST.Objects,0.47905693054152443,-0.7078201838008298,0.01667181546699619,0.32093888057987935,0.9925303527095836,0.6664607782581841
SM.Interoceptive,0.18959718765891653,-1.3117716662331356,0.0198719393120024,0.330232410217168,0.9736458545753711,0.7188887838987055
PC.Transcranial Magnetic Stimulation,0.18959718765891653,-1.3117716662331356,0.0198719393120024,0.330232410217168,0.9736458545753711,0.7188887838987055
ST.Noise,0.47932265945224706,-0.7073923985391644,0.01631560207932778,0.3455812624875928,0.9431948199456156,0.6590432960893855
ST.TMS,0.19022677968356738,-1.3099085343427694,0.01947584826840775,0.34605484041059564,0.9422691852698523,0.7131339645636074
PC.Tone Monitor/Discrimination,0.479490281561891,-0.707122617667243,0.016090703706802777,0.3621320056855566,0.9113101010925615,0.6541861674466979
BD.Action.Preparation,0.19138355413814284,-1.3064971307323625,0.018746323402193846,0.37747360608594716,0.8825608184718804,0.7018920166128289
PC.Oddball Discrimination,0.1929011855483862,-1.3020444658459087,0.01778575599489223,0.42387833368494865,0.7997108698136112,0.6856678993415711
PC.Delay Discounting,0.19335756391525183,-1.300710508567632,0.017496131461399188,0.4391206723434924,0.7736789479895044,0.6804225226031689
Contrast.Experience Dependent Change,0.8872359401158796,-0.14180258760077885,0.013986242916381314,0.47339865506588463,0.7169601996461876,0.6025182275552208
PC.Visuospatial Attention,0.33050594423635854,0.9730952909714125,0.013069718348156682,0.5011962079177823,0.6726087903036334,0.5761501725849921
ST.Symbols,0.6770357047763245,0.41651156734874134,0.013216885641889612,0.5255201349883436,0.6348593746084156,0.5797761633614765
PC.Reward,0.001404787256417284,3.1936656295612607,0.012201023353528746,0.5881269024483131,0.5415523827193433,0.5472129402629582
BD.Cognition,1.1873211149858398e-06,4.857741777814907,0.012006494092761699,0.5911027573973184,0.5372386782220772,0.5414188073209706
Contrast.Instruction,1.3063486455056903e-118,23.15460918378683,0.011259137359318565,0.5925881007033111,0.5350893113246386,0.5286711372656356
BD.Cognition.Memory.Explicit,0.008321476267034068,2.6387400495309157,0.01223522285474111,0.6042631280193471,0.5182797090006098,0.547613033594342
BD.Cognition.Language.Phonology,0.887355065163841,-0.14165177946341184,0.013039144508577778,0.6168276169995477,0.5003514719899955,0.5723294624317465
RM.Foot,0.19774870875874848,-1.2879921127355323,0.014691857957540614,0.6248459913127175,0.48899393414291203,0.6187719155182255
Instruct.Generate,0.12643288538650768,1.5283208914247095,0.012298672227928482,0.6456746625593099,0.45977927235660765,0.5481545413007057
PC.Wisconsin Card Sorting Test,0.19824288927811606,-1.2865737749936326,0.014374355345257422,0.6512429294008858,0.45203616478939185,0.6102485721180919
RT.Manipulate,0.19953370978122717,-1.2828811728802618,0.013543368094819281,0.726963975760209,0.34916695121130553,0.5860069578662543
ST.Digits,0.33084577556798594,0.9724116961030995,0.012041535972012112,0.7495458162337479,0.31923829966206124,0.5364721191240186
PC.Reasoning/Problem Solving,0.4821563734755103,-0.7028385444447597,0.012498045455799706,0.7696168619879625,0.2928760943465341,0.5518104209596704
ST.Sounds (Environmental),0.20026359392051116,-1.2808009396596738,0.013072507052908636,0.7746392419287066,0.28631190346626423,0.5708688116946725
BD.Perception.Olfaction,0.20026359392051116,-1.2808009396596738,0.013072507052908636,0.7746392419287066,0.28631190346626423,0.5708688116946725
PC.Olfactory Monitor/Discrimination,0.2005962678100679,-1.2798546264106365,0.012857678633616913,0.7976671300573752,0.25636743606460616,0.5635835999702359
SM.Olfactory,0.20090989276607601,-1.278963547487347,0.012655037461961414,0.820170959933283,0.22732509620573801,0.5564782832365694
PC.Word Generation (Covert),0.48248040898065425,-0.7023187399204373,0.012060587262200165,0.8439120520654924,0.19689200274950272,0.5349335619374196
ST.False Font,0.2016206347097134,-1.276947919485469,0.012195440033942396,0.8742186745618676,0.1583022001158165,0.5394596136023383
ST.Faces,0.12659390768760703,1.5276723531388081,0.011566455608088166,0.8817262356191315,0.14878126351894413,0.51564756860857
BD.Cognition.Space,0.4826552590982368,-0.7020383313167716,0.011824652457824244,0.8868575914019751,0.14228158522287077,0.525273799494524
BD.Emotion.Disgust,0.20246979792380038,-1.2745465172871047,0.01164578950723529,0.9448819766883878,0.06913523242646402,0.5172767704413275
BD.Perception.Somesthesis.Pain,0.8875660717074477,-0.14138466047617831,0.01136890915149307,0.9698987277434212,0.03773530370857292,0.5055125659111142
PC.Classical Conditioning,0.20279083545368676,-1.2736405469840026,0.011437878326270731,0.9734941846564732,0.03322622560507479,0.5083069886325419
Contrast.External Variable,0.0014104500536177545,3.192503970971544,0.011295091171841201,0.9781361263922657,0.02740573212543152,0.5023999478449366
BD.Perception.Vision,0.8876043612171864,-0.1413361898145927,0.01106801187433974,0.9510616708619798,-0.061373607534993484,0.4910351263080717
PC.Orthographic Discrimination,0.203796038930133,-1.2708105940440784,0.010786762154319486,0.9293986440305936,-0.08860146466538868,0.4778671395098474
ST.Interactive Computer Program,1.0,-0.0,0.005626799267207537,0.9150389675170262,-0.10668489340677077,0.0
ST.Interactive Computer Game,1.0,-0.0,0.005626799267207537,0.9150389675170262,-0.10668489340677077,0.0
BD.Pharmacology.Caffeine,1.0,-0.0,0.005626799267207537,0.9150389675170262,-0.10668489340677077,0.0
Instruct.Add,1.0,-0.0,0.005626799267207537,0.9150389675170262,-0.10668489340677077,0.0
ST.Arrow,1.0,-0.0,0.005626799267207537,0.9150389675170262,-0.10668489340677077,0.0
PC.Multi-Tasking,1.0,-0.0,0.005626799267207537,0.9150389675170262,-0.10668489340677077,0.0
RM.Wrist,1.0,-0.0,0.005626799267207537,0.9150389675170262,-0.10668489340677077,0.0
Instruct.Maintain,1.0,-0.0,0.005626799267207537,0.9150389675170262,-0.10668489340677077,0.0
Instruct.Repeat,0.48342153904507035,-0.7008100920704009,0.01079297989213248,0.8996412231220344,-0.12611458420358898,0.4775918445854972
PC.Imagined Objects/Scenes,0.20410665516658022,-1.2699381704730754,0.010585605099889463,0.8968868346265404,-0.12959503119487234,0.46766292552861666
PC.Cued Explicit Recognition/Recall,0.8876364941928729,-0.14129551296109924,0.010816368641464662,0.8812819255540284,-0.14934434474359937,0.4782024323093932
RT.Breath-Hold,1.0,-0.0,0.005627535662871352,0.88006635788401,-0.15088509557387128,0.0
ST.Spinner,1.0,-0.0,0.005627535662871352,0.88006635788401,-0.15088509557387128,0.0
RM.Unknown,1.0,-0.0,0.005627535662871352,0.88006635788401,-0.15088509557387128,0.0
BD.Interoception.Thermoregulation,1.0,-0.0,0.005627535662871352,0.88006635788401,-0.15088509557387128,0.0
RT.Unknown,1.0,-0.0,0.005627535662871352,0.88006635788401,-0.15088509557387128,0.0
ST.Letters and abstract objects,1.0,-0.0,0.005627535662871352,0.88006635788401,-0.15088509557387128,0.0
Instruct.Predict,1.0,-0.0,0.005628272251308901,0.8533797579323005,-0.18480784054030774,0.0
ST.Vignettes,1.0,-0.0,0.005628272251308901,0.8533797579323005,-0.18480784054030774,0.0
