feature,r
PC.Stroop-Color Word,0.08490768829860809
RT.Button Press,0.08179978238090005
RM.Hand,0.06608890516356658
Instruct.Discriminate,0.06409372147905339
BD.Cognition.Attention,0.060876683764397886
ST.Letters,0.0520630237774979
PC.Go/No-Go,0.05204478170825845
PC.Flanker,0.049706123870178635
PC.Tower of London,0.047644999490847696
ST.Digits,0.04688853324925514
ST.Faces and Scenes,0.044259835264366394
ST.Heat,0.04319927713660811
SM.Visual,0.042804437096942954
BD.Cognition.Memory.Working,0.041721108802321674
Instruct.Count,0.04020856645907053
BD.Action.Inhibition,0.038583627105704926
BD.Interoception.Thermoregulation,0.03745740768839345
PC.Paired Associate Recall,0.03723187619093751
PC.Deception,0.0365420500573882
PC.Delayed Match to Sample,0.035541962939718084
BD.Cognition,0.03512888268045295
PC.Counting/Calculation,0.03237020676369927
ST.Syllables,0.031463550029796956
BD.Perception.Somesthesis.Pain,0.031055679849848843
Instruct.Recall,0.02990384747802114
PC.n-back,0.02974686202065012
ST.Shapes,0.02847895438524579
BD.Cognition.Language.Phonology,0.027732234140006626
ST.Asian Characters,0.026143459417848774
BD.Cognition.Memory.Explicit,0.026138164667144758
ST.Vignettes,0.02477158532030103
PC.Pain Monitor/Discrimination,0.02448696932267473
PC.Phonological Discrimination,0.024135907412488656
ST.Playing Cards,0.023290379363509413
Instruct.Inhibit,0.02327320697839403
RT.Point,0.022800607758988064
PC.Trauma Recall,0.02194365102334642
BD.Cognition.Reasoning,0.020417492800669387
ST.Scenes,0.019662927453998932
PC.Reward,0.019070222353820998
PC.Wisconsin Card Sorting Test,0.018928164124496907
Instruct.Repeat,0.01869709955255404
PC.Stroop-Other,0.018579287291955696
PC.Estimation,0.01746865778014271
ST.Symbols,0.016717836068238925
PC.Visual Motion,0.0162546510687492
ST.Infusion,0.016147236011873966
PC.Recitation/Repetition (Covert),0.015215064426686414
BD.Interoception.Thirst,0.01382709006206814
PC.Recitation/Repetition (Overt),0.012892939993258282
PC.Divided Auditory Attention,0.012869694761838071
Instruct.Track,0.0127909701030779
PC.Transcranial Magnetic Stimulation,0.012651246017495666
PC.Task Switching,0.012616617538604871
ST.TMS,0.01197146021604371
PC.Multi-Tasking,0.01173482160838678
PC.Pointing,0.011479555984802733
ST.Objects,0.011210571302150472
Contrast.Instruction,0.01073330969170835
PC.Micturition,0.010721937563417737
Contrast.Stimulus Type,0.010031223019709332
PC.Hand-Eye Coordination,0.00850872258087337
Contrast.External Variable,0.008317006240517346
PC.Orthographic Discrimination,0.008188329270971654
Instruct.Encode,0.008034361254638581
SM.Interoceptive,0.007762403982157915
BD.Emotion,0.0066787509096652145
PC.Sequence Recall/Learning,0.006183163210680926
ST.Interactive Computer Game,0.005963148072920862
ST.Interactive Computer Program,0.005963148072920862
ST.False Font,0.0056694636554890454
BD.Cognition.Space,0.005417951910294635
ST.Reversed Speech,0.005272908063629472
PC.Self-Reflection,0.005201646370535812
BD.Interoception.Bladder,0.005129566077373917
BD.Interoception.Hunger,0.00507635708827271
PC.Oddball Discrimination,0.0048442657639417505
PC.Cued Explicit Recognition/Recall,0.004744628700228577
PC.Word Stem Completion (Covert),0.0043975801963277
RT.Breath-Hold,0.004352260151992539
Instruct.Name,0.003931321695379734
PC.Fixation,0.003748807651962829
