feature,r
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.08032314813512605
LDA50_abstract_weight__20_control_conflict_task,0.07753091052026108
LDA50_abstract_weight__15_task_performance_cognitive,0.0718802238305136
LDA50_abstract_weight__30_decision_making_risk,0.0523123007405751
LDA50_abstract_weight__16_response_inhibition_control,0.048803399934898
LDA50_abstract_weight__3_cortex_anterior_cingulate,0.048021085612277394
LDA50_abstract_weight__9_memory_working_wm,0.041081779704100305
LDA50_abstract_weight__33_memory_retrieval_encoding,0.037681278721488416
LDA50_abstract_weight__8_mpfc_social_medial,0.03363593653170126
LDA50_abstract_weight__18_number_ips_numerical,0.022383170293443642
LDA50_abstract_weight__7_reward_feedback_striatum,0.021091623533024153
LDA50_abstract_weight__28_social_empathy_moral,0.02098641207481948
LDA50_abstract_weight__24_age_adults_older,0.01947234970327397
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.014570369649233784
LDA50_abstract_weight__37_language_reading_word,0.012615411603554741
LDA50_abstract_weight__47_attention_attentional_target,0.011209662129622969
LDA50_abstract_weight__23_asd_autism_group,0.01103190915393365
LDA50_abstract_weight__26_emotional_amygdala_negative,0.009611700826569407
LDA50_abstract_weight__13_fear_threat_smokers,0.007880731210125624
LDA50_abstract_weight__32_pain_somatosensory_stimulation,0.005897952911374929
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.0025756467047681046
LDA50_abstract_weight__38_semantic_category_representations,0.00018841557050894295
LDA50_abstract_weight__0_network_state_resting,-0.0015740022595817406
LDA50_abstract_weight__41_imagery_mental_events,-0.0031567702728415876
LDA50_abstract_weight__10_food_taste_weight,-0.004052061996602998
LDA50_abstract_weight__4_stimulus_time_repetition,-0.005267418993756681
LDA50_abstract_weight__1_anxiety_trait_personality,-0.006394248174456583
LDA50_abstract_weight__12_women_men_sex,-0.006908555505259832
LDA50_abstract_weight__31_model_models_prediction,-0.008339196028465896
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,-0.01355037269976284
LDA50_abstract_weight__27_disorder_adhd_group,-0.014979759284471419
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.015606543034960556
LDA50_abstract_weight__11_learning_training_practice,-0.01943646246005644
LDA50_abstract_weight__39_stimulation_tms_bpd,-0.019904805200619782
LDA50_abstract_weight__35_schizophrenia_risk_genetic,-0.02065824397717066
LDA50_abstract_weight__29_stress_ptsd_trauma,-0.021140368815806245
LDA50_abstract_weight__14_disease_ad_pd,-0.022272237816170444
LDA50_abstract_weight__40_face_faces_facial,-0.028397962798677383
LDA50_abstract_weight__46_hemisphere_language_stroke,-0.02905498220028157
LDA50_abstract_weight__25_spatial_body_human,-0.03115501796864043
LDA50_abstract_weight__6_auditory_speech_temporal,-0.0313188748676332
LDA50_abstract_weight__42_visual_cortex_sensory,-0.03159057373742856
LDA50_abstract_weight__19_action_actions_observation,-0.03232809340755501
LDA50_abstract_weight__22_method_group_approach,-0.0341767214914015
LDA50_abstract_weight__45_motion_perception_visual,-0.03436332121391306
LDA50_abstract_weight__44_eye_sleep_gaze,-0.03514975098984449
LDA50_abstract_weight__34_frequency_hz_ms,-0.036601218106947046
LDA50_abstract_weight__49_depression_mdd_state,-0.0443599872574973
LDA50_abstract_weight__17_motor_cortex_hand,-0.04698906320026939
LDA50_abstract_weight__21_matter_volume_structural,-0.055526832156857955
