Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
ST.Noise,0.0002771530804218658,3.635768561909531,3.900357129708037,3.5493833942168204e-05,4.135010543454805,0.004116977865533955
PC.Stroop-Color Word,0.0013624231756699245,-3.2024957351415986,3.3698840295197585,0.0002652890931349195,3.647029871891073,0.0033275563388220912
ST.Syllables,0.027431334593183143,-2.205324460407486,2.217395963804178,0.00028060753627348015,3.6325744880628985,0.0012835259040002674
Instruct.Recall,0.0018471119454117613,3.1137735527473867,1.6629781523700855,0.000469854382513435,3.4973786706333367,0.01696826525352171
PC.Reward,0.0002014488845615281,3.7171925820178306,2.047035570940369,0.0005478097561537021,3.4562191432420537,0.015659449663788527
ST.Words,0.0010313588206852797,3.28182967724584,1.4395186229237693,0.0007656922191887824,3.3649078682426667,0.04011067710703347
RT.Button Press,0.01137272924367072,2.531032555208182,1.2355767658799242,0.000985545271861801,3.2946209341631416,0.05929197556610781
BD.Emotion,0.000836451208573008,3.340442096992595,1.6116799155606354,0.0013717507311703527,3.2005300321598913,0.025078840759382468
BD.Cognition.Memory.Explicit,0.002684309656113548,3.0017517683563995,1.8017538329663452,0.0026525137645895917,3.0053775470980217,0.01220846310250168
Instruct.Discriminate,0.0030340153734600417,2.9642704209906245,1.3406117034946188,0.003979550787101922,2.8797781588191134,0.048751358598023736
RT.Speech,0.01582285302162212,2.4129761936861387,1.5226910676614582,0.00761002028161784,2.668899563013737,0.01218406273006009
BD.Action.Execution.Speech,0.052869921663856956,1.9359818686501125,1.6402394715111477,0.009063002997941941,2.609668387087923,0.00323927423187375
PC.Cued Explicit Recognition/Recall,0.012624597845412366,2.4941871015538557,1.8585704383951491,0.009583381091192686,2.590510094409503,0.006117419065714341
PC.Paired Associate Recall,0.005263467278585066,-2.790450962288664,2.6925204054956864,0.009979002502614992,2.576556050861879,0.0037588528457427163
BD.Cognition,0.00723156207230069,2.6859883014845463,1.5619271779792832,0.017054739403950876,2.385525512295098,0.016362651929535035
PC.Autobiographical Recall,0.011182097596966867,-2.536956098428503,2.7259440409729425,0.024087160085526933,2.255736151431325,0.002629826341766929
Instruct.Fixate,0.18233129340739618,1.3336112520349632,1.1772928309629298,0.030114504929442006,2.168581052905208,0.008885816776442982
PC.Film Viewing,0.06540598880680404,1.8424730244710992,1.5749898903399224,0.031172207818420256,2.154867454612828,0.003575188752206022
Contrast.Stimulus Type,0.20143165525764173,1.2774833491432944,1.0690144185759094,0.032777255540246505,2.134801159592653,0.06792156221418144
Contrast.Experience Dependent Change,0.015031133890273107,2.4316280561945893,2.1247608236091664,0.04288779330600397,2.0248010881587932,0.004292608307784017
Instruct.Generate,0.022420000535376294,2.28317604578241,1.636003391301528,0.05157577477745831,1.946657794127476,0.008262955612499026
RM.Hand,0.1027442506578421,1.631692643080456,1.1192936481512574,0.06049636134287769,1.8771585887617264,0.05955563388175146
PC.Word Generation (Overt),0.018123547001368978,-2.3630842896852284,2.278110377098816,0.06296373751379429,1.8594474771017353,0.0033096033020421456
Contrast.Response Type,0.4429697129968433,0.7671880564463855,1.006833392575077,0.08633400922178147,1.715061187923804,0.019540916569604317
PC.Phonological Discrimination,0.018359414085988623,-2.358288586407314,2.1484024085550986,0.12198670133311917,1.5464882264302144,0.004291602677948797
PC.Delayed Match to Sample,0.23665544169882302,1.1833879223415598,1.188118101211024,0.16070975314403801,1.4026884830311266,0.002953214122252974
PC.Semantic Monitor/Discrimination,0.03213153333122498,2.142770473412284,1.5447016232180009,0.1756611344311351,1.3542358829521794,0.009642696586478742
ST.Fixation Point,0.40143385171177925,0.8390631886194967,1.0233223084294147,0.21672262597155856,1.2352899143110414,0.00928005244066931
RM.Oral/Facial,0.1612926503531713,1.4007372796931619,1.1877281125767043,0.23724103266297297,1.1819109601275208,0.012496488082643649
BD.Cognition.Language.Phonology,0.044091883313231106,-2.0132162607003896,1.80407932893482,0.23895684587612798,1.1775981547076373,0.004115692288107714
Contrast.Instruction,0.46238223945563406,0.7349298147545179,1.0026252544166734,0.2524996335787931,1.1442990586100068,0.04301517049436234
ST.Digits,0.24988908936318832,1.1506188142471245,1.1513337980023097,0.2557327528260661,1.1365349361021644,0.005057121967102628
ST.Heat,0.2525003352016364,-1.144297366220783,1.1805137055909969,0.2784933552528214,1.0837101017340296,0.0018490188096310415
SM.Visual,0.4085743457965214,0.8264050745279907,1.0150405798856015,0.3565224986679395,0.9220116505008857,0.06660051442121252
ST.Video,0.2633147606372568,-1.1185907753492597,1.1562614602797616,0.35924799242583794,0.9167989700919879,0.0029002773649504524
ST.Symbols,0.2524973760428033,1.1443045040501345,1.166392513074594,0.3756359908736351,0.8859657365522569,0.003455225847332
BD.Action.Inhibition,0.3040834004247197,-1.0277160825337204,1.1038557080627145,0.41936320587991316,0.8075265128898677,0.0028815844572014043
Instruct.Repeat,0.18816534519467176,-1.3160259136304744,1.2908011580188907,0.4315068981574709,0.7866156447581654,0.002842184623212416
BD.Cognition.Language.Semantics,0.10487245526138955,1.621677330188888,1.2774838345861363,0.4447775010184982,0.7641506005694635,0.012106903977287194
BD.Cognition.Language.Speech,0.2925984366128811,1.0524384479158104,1.1001726003668018,0.4587424298788706,0.7409192054756584,0.007404687373397564
BD.Cognition.Attention,0.40558884084518076,0.8316813314341012,1.0215014502293625,0.503469415781891,0.6690408566981723,0.012289552297062639
PC.n-back,0.24109334152402018,-1.1722583661923038,1.1880522410058572,0.5841356367557242,0.5473538759683257,0.0034115148671355166
ST.Faces,0.129745434987806,1.5151065034473916,1.3100034395955278,0.6165392219211627,0.5007611620862824,0.007478795020950589
Instruct.Imagine,0.33300984952222334,-0.9680691225374489,1.070338714929368,0.636232686959042,0.47297265693939006,0.0031585357122465743
PC.Pain Monitor/Discrimination,0.4013246874240568,0.8392577485951153,1.0055107871332707,0.7015239956762053,0.3832640447934383,0.0035378518056312595
SM.None,0.44020984576763755,0.7718389054861644,1.004975892541238,0.7158833616153311,0.36396604962003454,0.013744656799999538
Contrast.External Variable,0.34015286684201074,0.9538632521914039,1.0627708652391732,0.8107272411630837,0.23948794741015172,0.009565419842488498
PC.Emotion Induction,0.1856253223226041,-1.3236319092049638,1.3124915752832687,0.9505057414269041,0.062071690241492956,0.0032027732571845604
ST.Pictures,0.26582673990379446,1.1127245697587274,1.0914437397002394,0.9664541886449051,0.042055833641462044,0.019275344824072758
RM.Torso,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Ocular,1.0,-0.0,0.213572847853014,1.0,-0.0,0.0003975402403820155
PC.Stroop-Counting,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Other,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Action.Preparation,1.0,-0.0,1.2149922011193686,1.0,0.0,0.0005240205228233397
PC.Sexual Arousal/Gratification,1.0,-0.0,2.6394658162248352,1.0,0.0,0.0002696185448646403
RM.Pelvis,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Shoulder,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Tower of London,1.0,-0.0,3.1629962260545548,1.0,0.0,0.0005384943389169814
PC.Stroop-Emotional,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Wrist,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Sequence Recall/Learning,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Blink,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Breath-Hold,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Action.Observation,1.0,-0.0,1.4240838822422368,1.0,0.0,0.0016971337862797516
RT.Draw,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Self-Reflection,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Drink,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Finger Tapping,1.0,-0.0,0.2757367027036031,1.0,-0.0,0.0006196564539756502
PC.Saccades,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Flexion/Extension,1.0,-0.0,0.31800792966564284,1.0,-0.0,0.0009095565368927625
RM.Unknown,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Leg,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Other,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Theory of Mind,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Trauma Recall,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Vibrotactile Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Video Games,1.0,-0.0,5.315590879897238,1.0,0.0,0.0010256322732891023
PC.Visual Motion,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Object Identification,1.0,-0.0,0.3257213134915754,1.0,-0.0,0.0004990811362388022
PC.Visual Pursuit/Tracking,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Tone Monitor/Discrimination,1.0,-0.0,0.9592043693047647,1.0,-0.0,0.0010342510318881704
PC.Whistling,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Thirst Induction,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Wisconsin Card Sorting Test,1.0,-0.0,0.7303865331156509,1.0,-0.0,0.00047251850579012973
RT.Grasp,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Taste,1.0,-0.0,1.1922820665190066,1.0,0.0,0.001529144983595407
PC.Task Switching,1.0,-0.0,1.459380527559966,1.0,0.0,0.0019876549859738336
PC.Word Stem Completion (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Tactile Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Stem Completion (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Syntactic Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Writing,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Arm,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Foot,1.0,-0.0,1.357172139548231,1.0,0.0,0.0008472056325041396
PC.Transcranial Magnetic Stimulation,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Generation (Covert),1.0,-0.0,0.8085687535618333,1.0,-0.0,0.0014224593417447864
RT.Whistle,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Manipulate,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Micturate,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Infusion,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Inhalation,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Instruction,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Interactive Computer Game,1.0,-0.0,25.51483622350674,1.0,0.0,0.0002895902889286877
ST.Interactive Computer Program,1.0,-0.0,25.51483622350674,1.0,0.0,0.0002895902889286877
ST.Letters and abstract objects,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Mathematical Equation,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Music,1.0,-0.0,1.472009782125389,1.0,0.0,0.0012363277719647822
ST.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Numbers,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Objects,1.0,-0.0,0.33513357561523743,1.0,-0.0,0.0003423352802572053
ST.Odor,1.0,-0.0,1.7239754205072122,1.0,0.0,0.001350116887572936
ST.Pain,1.0,-0.0,0.7248533018041688,1.0,-0.0,0.0004031228453836846
ST.Playing Cards,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Pseudowords,1.0,-0.0,0.8757952937130461,1.0,-0.0,0.001968153679904353
ST.Reversed Speech,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Scenes,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Sounds (Environmental),1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Spinner,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Stories,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Action.Imagination,1.0,-0.0,0.9763330187566355,1.0,-0.0,0.001185694932986081
ST.TMS,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Tactile Stimulation,1.0,-0.0,0.33572152925666765,1.0,-0.0,0.000533455795394951
ST.Tools,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Uniform Screen,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Vibration,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Vignettes,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Food,1.0,-0.0,0.7654450867052023,1.0,-0.0,0.0014855981822041679
ST.Film Clip,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.False Font,1.0,-0.0,1.133992721044744,1.0,0.0,0.0009781716426035675
SM.Olfactory,1.0,-0.0,1.5749898903399224,1.0,0.0,0.001269192007033138
RT.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Point,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Saccades,1.0,-0.0,0.21894882342826152,1.0,-0.0,0.00039512176149594975
RT.Smile,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Action.Motor Learning,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Swallow,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Unknown,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Rest,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Write,1.0,-0.0,0.0,1.0,-0.0,0.0
SM.Gustatory,1.0,-0.0,0.7834647765662255,1.0,-0.0,0.0014850024027970579
SM.Interoceptive,1.0,-0.0,0.0,1.0,-0.0,0.0
SM.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Abstract Patterns,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Faces and Scenes,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Abstract/Geometrical,1.0,-0.0,0.38593869917909357,1.0,-0.0,0.001533125059034229
ST.Acupuncture,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Air Puff,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Animations,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Arrow,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Asian Characters,1.0,-0.0,0.6197935924738479,1.0,-0.0,0.0008019423385717506
ST.Blurred disk,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Braille,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Cartoons,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Clicks,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Dots,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Electricity,1.0,-0.0,0.5300866251421068,1.0,-0.0,0.0005956254557605281
BD.Action.Rest,1.0,-0.0,1.4834207106689967,1.0,0.0,0.0003872428282185941
PC.Reading (Covert),1.0,-0.0,0.5417162680150052,1.0,-0.0,0.0008792231702081178
PC.Recitation/Repetition (Overt),1.0,-0.0,0.9177998641549188,1.0,-0.0,0.0006770995964159964
BD.Perception.Vision.Color,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Pharmacology.Alcohol,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Pharmacology.Caffeine,1.0,-0.0,0.0,1.0,-0.0,0.0
Contrast.Group,1.0,-0.0,0.6475846757235213,1.0,-0.0,0.0010437010413165903
Contrast.Session,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Add,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Answer,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Choose,1.0,-0.0,0.5200034556421211,1.0,-0.0,0.0005665896957300412
Instruct.Count,1.0,-0.0,0.37893321124019913,1.0,-0.0,0.0004945972756455311
BD.Cognition.Language.Orthography,1.0,-0.0,1.0393008645012929,1.0,0.0,0.002087881105514368
Instruct.Encode,1.0,-0.0,0.37669541668563106,1.0,-0.0,0.0008850175660665111
Instruct.Experience,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Inhibit,1.0,-0.0,2.278110377098816,1.0,0.0,0.0002844190337692469
Instruct.Maintain,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Name,1.0,-0.0,0.4011766701809236,1.0,-0.0,0.0010427071724004638
Instruct.None,1.0,-0.0,0.9403502293675703,1.0,-0.0,0.00037355012699646445
Instruct.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Predict,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Rate,1.0,-0.0,2.657795439948619,1.0,0.0,0.0003619878611608596
BD.Cognition.Language,1.0,-0.0,0.6690953555115404,1.0,-0.0,0.0004404607541397873
PC.Recitation/Repetition (Covert),1.0,-0.0,4.18276003664045,1.0,0.0,0.0009494763571432385
Instruct.Sing,1.0,-0.0,1.6934625812061996,1.0,0.0,0.0002883089159688263
Instruct.Track,1.0,-0.0,1.0098220141229581,1.0,0.0,0.0006418359965701785
Instruct.Update,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Acupuncture,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Affective Pictures,1.0,-0.0,1.2520911996268302,1.0,0.0,0.0016058523655423961
BD.Perception.Vision.Motion,1.0,-0.0,0.16987241160790106,1.0,-0.0,0.00040681458697705135
BD.Perception.Vision,1.0,-0.0,0.6581643049915755,1.0,-0.0,0.0020617434155885935
PC.Anti-Saccades,1.0,-0.0,1.2800085061959905,1.0,0.0,0.00034867058198771766
BD.Perception.Somesthesis,1.0,-0.0,0.18052950158141562,1.0,-0.0,0.0007314886779307183
BD.Cognition.Memory,1.0,-0.0,0.7317830656837497,1.0,-0.0,0.0004734219828566501
BD.Cognition.Music,1.0,-0.0,1.0934929810074319,1.0,0.0,0.001030114027760618
BD.Cognition.Reasoning,1.0,-0.0,0.4062872010112539,1.0,-0.0,0.0010098769629837997
BD.Cognition.Social Cognition,1.0,-0.0,0.44007958223756355,1.0,-0.0,0.0015683828219863387
BD.Cognition.Soma,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Cognition.Space,1.0,-0.0,0.7984475869664835,1.0,-0.0,0.001459027568350725
BD.Cognition.Time,1.0,-0.0,1.0811371281146924,1.0,0.0,0.0005521848729572435
BD.Emotion.Anger,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Emotion.Anxiety,1.0,-0.0,2.783436678928008,1.0,0.0,0.0012320750474420533
BD.Emotion.Disgust,1.0,-0.0,1.8489011756164304,1.0,0.0,0.0017417386942812378
BD.Emotion.Fear,1.0,-0.0,0.4359026689665161,1.0,-0.0,0.0006876944788340704
BD.Emotion.Happiness,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Emotion.Happiness.Humor,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Emotion.Sadness,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Interoception,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Interoception.Bladder,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Interoception.Hunger,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Interoception.Respiration Regulation,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Interoception.Sexuality,1.0,-0.0,0.4567094789410515,1.0,-0.0,0.00038358618223250995
BD.Interoception.Sleep,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Interoception.Thermoregulation,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Interoception.Thirst,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Perception.Gustation,1.0,-0.0,0.8952574113511138,1.0,-0.0,0.0014936762271058632
BD.Perception.Olfaction,1.0,-0.0,1.6568075469809573,1.0,0.0,0.0012599058024819532
PC.Affective Words,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Report,1.0,-0.0,1.6355664245837658,1.0,0.0,0.0003527061211310941
BD.Action.Execution,1.0,-0.0,0.10114232118197705,1.0,-0.0,0.0008632606921552847
PC.Fluency Induction,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Passive Viewing,1.0,-0.0,0.6470372668683028,1.0,-0.0,0.002019543435047907
PC.Grasping,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Hand-Eye Coordination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Hunger/Satiety,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Chewing/Swallowing,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Hypercapnia,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Imagined Movement,1.0,-0.0,1.21242621970201,1.0,0.0,0.0011559147752380568
PC.Imagined Objects/Scenes,1.0,-0.0,1.7576236204482256,1.0,0.0,0.0020148302536255424
PC.Isometric Force,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Lexical Decision,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Luminance,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Magnitude Comparison (Non-symbolic),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Magnitude Comparison (Symbolic),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Meditation,1.0,-0.0,9.813398547502592,1.0,0.0,0.000779666162500313
