Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
LDA100_abstract_weight__23_semantic_words_word,2.347516918255188e-05,-4.2289814567389445,1.403693089048334,1.0214668279250804e-08,5.727125369604748,0.007621398943243608
LDA100_abstract_weight__12_language_comprehension_sentences,0.00013615504510944287,-3.8150505749868726,1.3831222109723325,1.261848694426475e-06,4.8456703764538345,0.006728133972161807
LDA100_abstract_weight__76_memory_recognition_items,0.0018236663882840176,-3.1175409030646772,1.3615429277276136,5.760114937340296e-05,4.022428473408962,0.004532857222986957
LDA100_abstract_weight__45_memory_working_wm,0.00176064139711829,-3.1278932084104447,1.2575846221979485,0.0007228471437352224,3.3807635590311533,0.008823015786039608
LDA100_abstract_weight__25_feedback_error_learning,0.0028742299823959483,-2.980878292680063,1.2721730656344077,0.0007552694704404203,3.368687718554515,0.00701557153562109
LDA100_abstract_weight__26_fear_anxiety_ptsd,0.0002779673834027996,-3.635012290690213,1.510715198188506,0.002658679095107471,3.0046714032403448,0.004386654962875979
LDA100_abstract_weight__89_inhibition_response_control,0.003211568828001332,-2.9467267280241067,1.3058213699402368,0.003860475519561279,2.8893431438346546,0.005756458610090508
LDA100_abstract_weight__35_regulation_emotion_reappraisal,0.003294444468748492,-2.9388387290377085,1.4271395934091688,0.004832893182639012,2.817965969324413,0.0032695152363806388
LDA100_abstract_weight__56_response_stimulus_trials,0.027135343741928053,2.209565329400497,1.0880058263300652,0.00864011662588174,2.6259749871839264,0.027492392016119766
LDA100_abstract_weight__72_memory_encoding_hippocampus,0.017079757018508834,-2.3849863081033984,1.17878336893223,0.00867036046556857,2.624785361420647,0.008603212046589362
LDA100_abstract_weight__36_task_difficulty_demands,0.012121742916961886,2.5085802539512674,1.106484043093789,0.009947608834605617,2.5776451662377515,0.02683310390429268
LDA100_abstract_weight__53_decision_making_risk,0.0020325911629753834,-3.0854284580934834,1.3113323777151173,0.012541621338440523,2.496526737828408,0.006548543919195239
LDA100_abstract_weight__14_conflict_interference_control,0.0077444763311177445,-2.663011517572891,1.2850507152658224,0.013603586061593004,2.46756410598316,0.005091844055382955
LDA100_abstract_weight__41_memory_retrieval_episodic,0.07624320859812661,-1.7729124906168083,1.1542968341997413,0.014241241960151396,2.4511201202003976,0.004526596986554023
LDA100_abstract_weight__49_attention_attentional_task,0.015414300733256558,2.422495875745564,1.1428998197572742,0.01447049954626838,2.445366535519595,0.013908684527091939
LDA100_abstract_weight__92_social_empathy_moral,0.019395312987010915,-2.3378445621642143,1.202764500533801,0.023599564161893082,2.263586415145238,0.006591865292955383
LDA100_abstract_weight__11_task_cognitive_performance,0.2657015762199135,1.1130159572059086,1.0203611179629233,0.026826696804963825,2.2140302686909297,0.047748933955941604
LDA100_abstract_weight__44_target_detection_targets,0.01392731200066355,-2.4591327209562808,1.2440770701796988,0.030026419971748843,2.169741688950016,0.005488505875460671
LDA100_abstract_weight__65_task_switching_rule,0.04806742800126196,-1.9767718234334457,1.2088809288791817,0.03205628925990665,2.143708019173407,0.003736553639837316
LDA100_abstract_weight__96_patterns_cortex_common,0.39307459942798806,0.8540548490554185,1.008248541862413,0.03356719509588341,2.1252327678001235,0.04860646518677333
LDA100_abstract_weight__80_pictures_images_aversive,0.026550821097097832,-2.2180588351186383,1.233211519659307,0.0346529901106834,2.1123902555657024,0.004407869398973816
LDA100_abstract_weight__63_insula_anterior_autonomic,0.0745723040370817,-1.7830860061679714,1.1764685222748104,0.050747970585024296,1.9536048165198194,0.0037124609323971277
LDA100_abstract_weight__43_prefrontal_cortex_pfc,0.045251291956909356,2.002311016072027,1.0738823594775138,0.08110047142615641,1.744336265632123,0.03009289130164151
LDA100_abstract_weight__42_context_influence_modulation,0.08354490578427698,1.7304780154580748,1.0565632559982208,0.1001355429484216,1.644196871635817,0.033013587412013386
LDA100_abstract_weight__33_reward_striatum_ventral,0.008761575326141968,-2.6212197981047507,1.2501306690460634,0.11963987407975775,1.556286946354722,0.0066386818230064456
LDA100_abstract_weight__83_cortex_anterior_cingulate,0.4578065470471786,0.7424635189301699,1.0027621364207135,0.15667979668512091,1.416326964111553,0.048956401904562685
LDA100_abstract_weight__66_allele_genetic_gene,0.22483184644502496,-1.2137797359127207,1.132487444598433,0.15892013573587827,1.4087127078925983,0.002016215416148447
