Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
LDA50_abstract_weight__33_memory_retrieval_encoding,0.0006833010220984592,3.3961932347560158,1.1975608658821242,3.9723538675636756e-05,4.109081786633327,0.02834889043079407
LDA50_abstract_weight__37_language_reading_word,0.006291914772881935,2.7321674813429975,1.1727374936793677,0.0001003773711095022,3.8896778783785666,0.020668779193829107
LDA50_abstract_weight__20_control_conflict_task,0.00018497888223745207,-3.7386937769538164,1.2978630630019214,0.00017973930247424665,3.7459124081755877,0.017660750956392194
LDA50_abstract_weight__3_cortex_anterior_cingulate,0.0008085240649180481,3.349860027144165,1.148124515458524,0.0003193250983238294,3.5990961650817197,0.04824918200189839
LDA50_abstract_weight__30_decision_making_risk,0.0012775234948025904,-3.2209816006353935,1.3079701696324724,0.0024261621320660447,3.0324015633904713,0.01186552268508209
LDA50_abstract_weight__7_reward_feedback_striatum,0.00048696108657730885,-3.487828078861842,1.3012088685034284,0.0030751391270378474,2.960125330845356,0.015269096498858034
LDA50_abstract_weight__28_social_empathy_moral,0.004259388321534274,-2.858284114013777,1.2623837032627292,0.0072156826666714005,2.686722711291214,0.01167275373670971
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.028394194314014243,2.1917966335363523,1.0764005336646498,0.007333413836569155,2.681311858555267,0.05915957152689561
LDA50_abstract_weight__13_fear_threat_smokers,0.004842051204176467,-2.817358056785167,1.3274151084041148,0.0185564762385091,2.354323051231898,0.007878172510743946
LDA50_abstract_weight__26_emotional_amygdala_negative,0.016402893667330165,2.399825399788256,1.102720904489654,0.023895187421549353,2.25881030210059,0.04275153854081709
LDA50_abstract_weight__9_memory_working_wm,0.06457851243129187,-1.8481647547142588,1.1183417270672436,0.0402289286963776,2.0513905489804123,0.015186357170894475
LDA50_abstract_weight__16_response_inhibition_control,0.039189118303891934,-2.0621955910824417,1.1610997851047178,0.04567521695028524,1.9983824119841482,0.011817049864480525
LDA50_abstract_weight__38_semantic_category_representations,0.07784457320743976,1.763331632333607,1.0958964112478637,0.05404292654979172,1.926492346781174,0.019945129389214902
LDA50_abstract_weight__47_attention_attentional_target,0.04851589871202788,1.9728215352854785,1.0846016701674333,0.06830343174482129,1.822999730267668,0.036438041398688795
LDA50_abstract_weight__8_mpfc_social_medial,0.046134404335096635,-1.9941615341436236,1.1502449493236209,0.1800162232245347,1.3407050841286885,0.012803255445984513
LDA50_abstract_weight__12_women_men_sex,0.08504047423927874,-1.7221603553232796,1.1823538396748172,0.3015685099040486,1.0330756236450969,0.005663151064182091
LDA50_abstract_weight__35_schizophrenia_risk_genetic,0.0685074050418848,-1.821654637248949,1.1622267723259208,0.36535970143707774,0.9051995099779255,0.010287664891467423
LDA50_abstract_weight__1_anxiety_trait_personality,0.14907798215682444,-1.4427958727581984,1.1159064863021644,0.562835976567715,0.5786342690204146,0.008278593249850008
LDA50_abstract_weight__22_method_group_approach,0.3463666469463559,0.9416601823848567,1.012751585297949,0.6093591912981977,0.5109883830382552,0.07628158666147834
LDA50_abstract_weight__18_number_ips_numerical,0.367465863367785,-0.9012303385119141,1.032854620425154,0.6921501211405809,0.395938875518767,0.00533749720432998
LDA50_abstract_weight__10_food_taste_weight,0.3315428051583691,-0.9710109914833474,1.056381832418319,0.736702139095075,0.3362237571281345,0.00340894459417693
LDA50_abstract_weight__29_stress_ptsd_trauma,0.11145658553700799,-1.591680172898604,1.1683925975771188,0.7412799822042296,0.33015879148184946,0.005853353495885223
LDA50_abstract_weight__24_age_adults_older,0.33356703226800266,0.9669539951349635,1.0247257417241151,0.8234178004343452,0.22315123929166816,0.02300300508680596
LDA50_abstract_weight__31_model_models_prediction,0.3355713515424703,-0.9629525191793344,1.0315243989511595,0.9075332178922232,0.11615056121808372,0.012686417184109776
LDA50_abstract_weight__4_stimulus_time_repetition,0.35402485654367877,0.9268106459484097,1.0216709111317634,0.9694837263958045,0.03825580634983477,0.0213781860317178
LDA50_abstract_weight__40_face_faces_facial,0.53565280742022,-0.6194001119473257,0.9868815954271705,0.9048158786582717,-0.11957998113236222,0.01096817235029833
LDA50_abstract_weight__6_auditory_speech_temporal,0.598796425369986,-0.5261321022154976,0.9733401443536176,0.9030390509240771,-0.12182318602272778,0.011075759687017076
LDA50_abstract_weight__41_imagery_mental_events,0.8369299002301902,-0.20582207087716273,0.8981673730116747,0.4585188570409995,-0.7412879654199483,0.007747609988783377
LDA50_abstract_weight__42_visual_cortex_sensory,0.7080121612209445,0.374527149950085,0.9675702932134158,0.3168870883577918,-1.000875322627185,0.02747886101293522
LDA50_abstract_weight__0_network_state_resting,0.6789978197909421,0.41383108115085065,0.9715797068696048,0.2374725614311366,-1.181327714968539,0.02695141887025738
LDA50_abstract_weight__44_eye_sleep_gaze,0.9037578633534591,-0.12091562836430769,0.8295510969411088,0.22281455555739332,-1.2190780883280932,0.0044132428362555435
LDA50_abstract_weight__17_motor_cortex_hand,0.9968802838759493,0.003909994285362508,0.8376318717289448,0.2192341516091794,-1.2285671145263268,0.01807538779417891
LDA50_abstract_weight__19_action_actions_observation,0.9850922923233022,-0.01868512799817311,0.8062109983161178,0.17505019271488906,-1.356153942715524,0.007964121093842756
LDA50_abstract_weight__36_placebo_treatment_dopamine,0.6274802342239199,-0.4852764840726144,0.9528764653497479,0.14372168470055294,-1.4620712553522128,0.006757325954342893
LDA50_abstract_weight__32_pain_somatosensory_stimulation,0.9980075187379214,-0.0024972075295468864,0.7115744493879932,0.05828549740249211,-1.893544491096475,0.005154521546759552
LDA50_abstract_weight__27_disorder_adhd_group,0.7938384218118001,-0.2613294964147967,0.9173619426010787,0.02248139515248247,-2.2821345939835975,0.010014394109517353
LDA50_abstract_weight__46_hemisphere_language_stroke,0.9603877948516316,-0.04966694895560871,0.845185974768477,0.019895095587751245,-2.3283204239070487,0.009903569836571726
LDA50_abstract_weight__34_frequency_hz_ms,0.9001728222237193,-0.12544303239772356,0.8789329508719598,0.016567904331876084,-2.396158939340783,0.009857689093769328
