feature,r
ST.Syllables,0.07640166395081473
PC.Sexual Arousal/Gratification,0.05696926439573829
PC.Multi-Tasking,0.05593589612105953
BD.Action.Rest,0.051385752046712765
ST.Interactive Computer Program,0.04850061849598236
ST.Interactive Computer Game,0.04850061849598236
Instruct.Generate,0.04518603014373933
RT.Button Press,0.043678997325648096
PC.Reward,0.041565835153914196
Contrast.Stimulus Type,0.04070985432537799
ST.Words,0.04026194564621907
BD.Cognition,0.040217729642687466
BD.Cognition.Language.Speech,0.03934323652638215
Instruct.Recall,0.03886064069488281
RT.Speech,0.03709231877540911
Instruct.Discriminate,0.03692127638221044
ST.Heat,0.036179055468336906
BD.Emotion,0.035927907690411647
PC.Paired Associate Recall,0.034963534574050846
PC.Stroop-Color Word,0.034876242358291634
Instruct.Inhibit,0.03444221659851179
PC.Cued Explicit Recognition/Recall,0.03178774184887549
Instruct.Rate,0.030951233447076863
ST.Fixation Point,0.030846229255739772
Instruct.Fixate,0.030843881566243195
PC.Tower of London,0.03083230377156695
BD.Action.Execution.Speech,0.030147504377782196
BD.Interoception.Sexuality,0.029967310322430083
BD.Cognition.Language.Semantics,0.02958921325915254
BD.Cognition.Memory.Explicit,0.02883562218899131
PC.Delayed Match to Sample,0.02868850562837716
ST.Letters,0.028593641932643497
Instruct.Repeat,0.027757325829089612
ST.Mathematical Equation,0.027375995710565516
ST.Noise,0.027130472415402514
PC.Word Stem Completion (Covert),0.02693794954553672
PC.Word Generation (Overt),0.026210120897126248
PC.Go/No-Go,0.025504339436764098
PC.Semantic Monitor/Discrimination,0.025428964164261637
BD.Cognition.Language.Phonology,0.025401897876294977
PC.Driving,0.02531851867662713
ST.Symbols,0.025121091030604385
Contrast.Experience Dependent Change,0.023927408764562674
RM.Oral/Facial,0.022539747462569367
Contrast.Response Type,0.022514928264282214
PC.Recitation/Repetition (Covert),0.022185580838070783
ST.Digits,0.021831170386343336
BD.Action.Inhibition,0.02168641327247898
PC.Word Generation (Covert),0.0211996481474073
ST.Acupuncture,0.02112818776053
PC.Stroop-Other,0.02099034906953701
Instruct.Report,0.02072867188829676
PC.Phonological Discrimination,0.020556119864061913
PC.Acupuncture,0.020337612191626143
Contrast.Response Modality,0.020026634558036258
PC.Film Viewing,0.019680036039042312
Contrast.Instruction,0.019191373134874394
PC.Recitation/Repetition (Overt),0.018396713527781525
SM.Visual,0.018245706477098323
BD.Cognition.Attention,0.01786943504084654
Instruct.Read,0.017044857407218277
Instruct.None,0.015585101441366194
PC.Tone Monitor/Discrimination,0.015419786883015393
Instruct.Sing,0.014691356445082553
