feature,r
LDA100_abstract_weight__83_cortex_anterior_cingulate,0.06373554199504723
LDA100_abstract_weight__53_decision_making_risk,0.06020141016534218
LDA100_abstract_weight__25_feedback_error_learning,0.05438058616751434
LDA100_abstract_weight__89_inhibition_response_control,0.05288384826232103
LDA100_abstract_weight__45_memory_working_wm,0.05129898771777756
LDA100_abstract_weight__23_semantic_words_word,0.04921081766293679
LDA100_abstract_weight__92_social_empathy_moral,0.04429499046577788
LDA100_abstract_weight__12_language_comprehension_sentences,0.04239794892996028
LDA100_abstract_weight__36_task_difficulty_demands,0.03927046042911621
LDA100_abstract_weight__76_memory_recognition_items,0.03699307666291461
LDA100_abstract_weight__35_regulation_emotion_reappraisal,0.03555970665460767
LDA100_abstract_weight__43_prefrontal_cortex_pfc,0.03542120138784008
LDA100_abstract_weight__42_context_influence_modulation,0.03306577924663552
LDA100_abstract_weight__94_network_control_frontoparietal,0.03284137513062867
LDA100_abstract_weight__39_mechanisms_provide_network,0.032331766770996105
LDA100_abstract_weight__63_insula_anterior_autonomic,0.03191585677368686
LDA100_abstract_weight__72_memory_encoding_hippocampus,0.03156012784762598
LDA100_abstract_weight__80_pictures_images_aversive,0.02999513408624962
LDA100_abstract_weight__41_memory_retrieval_episodic,0.028462861697690238
LDA100_abstract_weight__33_reward_striatum_ventral,0.02819903119732815
LDA100_abstract_weight__30_emotional_negative_positive,0.027873981816163414
LDA100_abstract_weight__56_response_stimulus_trials,0.027489785620028923
LDA100_abstract_weight__14_conflict_interference_control,0.027272297893626812
LDA100_abstract_weight__61_caudate_ofc_thalamus,0.02667894947464459
LDA100_abstract_weight__65_task_switching_rule,0.026106083265380848
LDA100_abstract_weight__11_task_cognitive_performance,0.025016637322175763
LDA100_abstract_weight__26_fear_anxiety_ptsd,0.023340032373445035
LDA100_abstract_weight__69_pain_painful_stimulation,0.02242631878909809
LDA100_abstract_weight__49_attention_attentional_task,0.02151345732651317
LDA100_abstract_weight__47_magnetic_resonance_high,0.019134108023969823
LDA100_abstract_weight__44_target_detection_targets,0.01817319907916761
LDA100_abstract_weight__73_parietal_frontal_inferior,0.015845923725610674
LDA100_abstract_weight__95_adults_age_older,0.015617882579329405
LDA100_abstract_weight__22_sd_taste_reliability,0.01324711622876911
LDA100_abstract_weight__18_number_numerical_numbers,0.012525889033540145
LDA100_abstract_weight__1_gyrus_frontal_middle,0.011218253215491468
LDA100_abstract_weight__21_reading_words_word,0.011096063531569503
LDA100_abstract_weight__86_women_men_sex,0.011073231899445616
