Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
LDA50_abstract_weight__9_memory_working_wm,2.544722210728878e-10,6.3242458983175895,1.5493518764555385,1.903609403724176e-15,7.94746879247317,0.021405560569981066
LDA50_abstract_weight__18_number_ips_numerical,2.8469926638408083e-07,-5.133304150875242,1.7297344241002357,2.6202199288771025e-09,5.9537781139697605,0.009094427290398124
LDA50_abstract_weight__37_language_reading_word,0.003932079043608705,2.8835598621489815,1.1920048128526322,5.0511518008735635e-05,4.0532474806631775,0.02137418121100768
LDA50_abstract_weight__47_attention_attentional_target,0.0023007322597086155,3.0483872574246282,1.1531093681503775,0.0005326846487734363,3.463758428558939,0.03941420028980738
LDA50_abstract_weight__20_control_conflict_task,0.0012305022522935971,-3.231713817668175,1.2612367048645985,0.0018816723540284106,3.1082995602853125,0.017461210889098428
LDA50_abstract_weight__42_visual_cortex_sensory,0.03190614510538359,2.1455844756992644,1.1070792816674329,0.03575109809284359,2.0997470527801876,0.03198839037835114
LDA50_abstract_weight__16_response_inhibition_control,0.08794402226066245,-1.7063441513063653,1.1265517728508134,0.12876603471021383,1.5189859414590399,0.01166509127857514
LDA50_abstract_weight__33_memory_retrieval_encoding,0.17463544780260332,1.3574588885069456,1.0568718256941905,0.2305440714719311,1.198958529115227,0.02545412971591352
LDA50_abstract_weight__25_spatial_body_human,0.2751531069547708,-1.0912722445269583,1.040442723601801,0.23452637828323925,1.1887796745675674,0.018029419475472763
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.14370543782650214,1.462130552511649,1.043601500204321,0.2469215774642884,1.157859009807741,0.058355698645321315
LDA50_abstract_weight__38_semantic_category_representations,0.21906933075095503,1.229006601947694,1.0524692807322142,0.2583176497219485,1.1303764104546143,0.019488312927215458
LDA50_abstract_weight__30_decision_making_risk,0.2257233486763931,-1.2114490543451804,1.0717280474490838,0.6553346434488986,0.4463635699980767,0.009891703584844615
LDA50_abstract_weight__0_network_state_resting,0.21870820499513166,1.2299703583288155,1.0438637502982406,0.6865718240611771,0.4035117071834085,0.029460796046252145
LDA50_abstract_weight__44_eye_sleep_gaze,0.4114330061817624,-0.8213744608295197,1.0180110646342029,0.701104916421359,0.38382937243365367,0.005510165508994863
LDA50_abstract_weight__7_reward_feedback_striatum,0.34211894194183334,-0.9499868351808972,1.0320699401463092,0.7500662819624945,0.31855196698219534,0.012321764864897557
LDA50_abstract_weight__4_stimulus_time_repetition,0.43333988197780116,0.7834892193450564,1.0083344143897173,0.8443297827456184,0.19635823596960805,0.02146653140417243
LDA50_abstract_weight__24_age_adults_older,0.22552829760194837,1.2119584198104376,1.0472391259511908,0.8477860644291192,0.19194400860521818,0.023917746116285585
LDA50_abstract_weight__11_learning_training_practice,0.5895478230888196,-0.5394914092319921,0.976720339850714,0.9890872076680532,-0.013677583353833737,0.013320395538589908
LDA50_abstract_weight__6_auditory_speech_temporal,0.6712514874506512,-0.4244310400084252,0.9548199301904411,0.7287008856609845,-0.34685416063446156,0.011054212951141914
LDA50_abstract_weight__23_asd_autism_group,0.4931549948926198,-0.6852994244842918,0.9894570867826415,0.5795508268313287,-0.5540409413310956,0.0045093912597004735
LDA50_abstract_weight__31_model_models_prediction,0.5918906582504901,-0.5360982373812458,0.9742569982280102,0.5458730429549362,-0.6039557786670979,0.012190751556717951
