feature,r
BD.Cognition.Memory.Working,0.09118414737734655
Contrast.Instruction,0.08933487714341523
Instruct.Fixate,0.08533477351045977
PC.n-back,0.08409567237404164
ST.Fixation Point,0.07985319942327804
SM.Visual,0.07557363973197286
PC.Counting/Calculation,0.07486202844768924
ST.Letters,0.07336470218547018
ST.Digits,0.06858363058550618
BD.Cognition.Reasoning,0.0676908227805235
Instruct.Recall,0.06752597514003217
PC.Wisconsin Card Sorting Test,0.06669327684209313
BD.Perception.Vision.Motion,0.0660539751970964
Instruct.Track,0.06171831264412702
BD.Cognition.Attention,0.053066920688515345
Instruct.Count,0.05229077928800695
PC.Delayed Match to Sample,0.05151878811676466
RT.Saccades,0.04971778227158932
RT.Button Press,0.04816852092013431
RM.Ocular,0.047527360533439415
ST.Shapes,0.047192285701301094
PC.Visual Pursuit/Tracking,0.04600271711453186
PC.Saccades,0.045944553103254515
BD.Cognition.Space,0.04512093021926435
PC.Mental Rotation,0.044701646484886566
PC.Task Switching,0.04193320619577265
RM.Hand,0.0392438976026667
PC.Tone Monitor/Discrimination,0.03900013406973695
ST.Asian Characters,0.03445026732367457
Instruct.Read,0.0340882728905545
PC.Visuospatial Attention,0.032380951098911766
Instruct.None,0.03225980873256274
PC.Orthographic Discrimination,0.03170429836481865
PC.Stroop-Counting,0.031522531908360026
BD.Perception.Vision.Color,0.030571572938076642
ST.Abstract/Geometrical,0.029966915843056798
PC.Reasoning/Problem Solving,0.029936979412119275
PC.Fixation,0.029742820052559855
ST.Objects,0.028304983322625692
Instruct.Discriminate,0.02685246012085045
PC.Pointing,0.026600082220429318
ST.Braille,0.02589622350587373
PC.Magnitude Comparison (Non-symbolic),0.025728260972312164
Instruct.Generate,0.02559781314445671
PC.Cued Explicit Recognition/Recall,0.025260881012430292
PC.Stroop-Emotional,0.025207135053418404
PC.Phonological Discrimination,0.025062992518634888
ST.Syllables,0.024807273235595683
BD.Cognition.Language.Phonology,0.024000928384379408
PC.Isometric Force,0.023290987909269267
PC.Digit/Numerical,0.02243880096914863
PC.Magnitude Comparison (Symbolic),0.02243880096914863
PC.Word Generation (Covert),0.02132092511067476
ST.Abstract Patterns,0.021085196541445434
BD.Cognition.Language.Orthography,0.021061674700617164
BD.Action.Preparation,0.020027019921493434
Instruct.Detect,0.019706192024002235
Contrast.Response Modality,0.019163113851136917
ST.Symbols,0.01897772401533072
ST.False Font,0.01888199424788186
PC.Stroop-Color Word,0.018138879547724956
BD.Cognition.Memory.Explicit,0.01766101626936399
PC.Sequence Recall/Learning,0.01640422987744805
ST.Dots,0.015745164493256577
ST.Numbers,0.015426804764220666
PC.Visual Object Identification,0.015172945843630608
PC.Anti-Saccades,0.015102221217279152
PC.Paired Associate Recall,0.015062511954615124
BD.Action.Observation,0.015023850801873625
PC.Physical Size,0.01501697830486718
PC.Luminance,0.012832419739699024
BD.Cognition.Language.Speech,0.012592609146128458
PC.Delay Discounting,0.012511303620349764
PC.Figurative Language,0.012395882054444708
RT.Point,0.012039526421429306
Contrast.Response Type,0.011979281737053975
BD.Perception.Vision,0.0110347590179007
PC.Reading (Covert),0.01006877734719862
PC.Reading (Overt),0.0098028180158913
BD.Perception.Vision.Shape,0.009306912542023954
PC.Go/No-Go,0.009144750826160224
Instruct.Answer,0.007827122949114614
PC.Word Generation (Overt),0.007516854322319289
BD.Cognition,0.006761609031426091
ST.Instruction,0.005156935322639646
PC.Oddball Discrimination,0.005102649510290621
PC.Naming (Covert),0.004643295448674296
ST.Noise,0.004325045964585982
PC.Recitation/Repetition (Overt),0.004313139979576829
Contrast.Stimulus Type,0.003778726506807663
BD.Interoception.Sexuality,0.0036026310429684663
PC.Imagined Movement,0.0034192181377656777
ST.Tools,0.0022163626438072314
PC.Multi-Tasking,0.00216803142969048
ST.Pseudowords,0.0021468658050009456
PC.Flanker,0.0019279050017764413
Instruct.Encode,0.0019026427218472538
PC.Film Viewing,0.0018558760917799968
BD.Action.Motor Learning,0.0017524108072458368
PC.Writing,0.0011562068565326984
ST.Video,0.0005688294731532149
Instruct.Repeat,0.00037291427562173406
