feature,r
LDA200_abstract_weight__86_ips_number_numerical,0.10045068580163177
LDA200_abstract_weight__179_memory_working_task,0.09819816304189004
LDA200_abstract_weight__47_parietal_network_fronto,0.09169105951500887
LDA200_abstract_weight__127_task_performance_cognitive,0.08726301252046931
LDA200_abstract_weight__48_parietal_inferior_lobule,0.08063571857910388
LDA200_abstract_weight__3_task_switching_set,0.07372116013784409
LDA200_abstract_weight__64_attention_attentional_visual,0.07164946114447727
LDA200_abstract_weight__150_reading_phonological_readers,0.06611485818820573
LDA200_abstract_weight__24_recruitment_recruited_engaged,0.06501895957904924
LDA200_abstract_weight__20_wm_load_memory,0.06298446258764999
LDA200_abstract_weight__17_frontal_temporal_parietal,0.06004167978620421
LDA200_abstract_weight__2_problem_problems_arithmetic,0.05791386565909829
LDA200_abstract_weight__43_conflict_interference_incongruent,0.054982505137052815
LDA200_abstract_weight__163_language_chinese_english,0.05362530360704556
LDA200_abstract_weight__8_cues_cue_target,0.04845941924539071
LDA200_abstract_weight__90_imagery_mental_rotation,0.048117366507272316
LDA200_abstract_weight__184_spatial_location_space,0.047216314437687694
LDA200_abstract_weight__116_task_matching_strategy,0.044226549586820985
LDA200_abstract_weight__151_common_overlap_overlapping,0.04401411114454812
LDA200_abstract_weight__192_stimulus_trials_trial,0.04231802020328814
LDA200_abstract_weight__72_items_pairs_item,0.04127069559600474
LDA200_abstract_weight__52_control_cognitive_task,0.03861282389313094
LDA200_abstract_weight__65_recognition_correct_familiarity,0.03857531875661714
LDA200_abstract_weight__191_eye_gaze_saccade,0.037911520043748544
LDA200_abstract_weight__162_words_word_lexical,0.034832082674147564
LDA200_abstract_weight__88_network_frontoparietal_identified,0.0345747856748964
LDA200_abstract_weight__28_memory_retrieval_episodic,0.034456252988621046
LDA200_abstract_weight__143_action_actions_observation,0.032470451138679815
LDA200_abstract_weight__92_executive_control_functions,0.03007414795173384
LDA200_abstract_weight__27_response_time_reaction,0.029636672194152357
LDA200_abstract_weight__117_object_objects_visual,0.029561728304893252
LDA200_abstract_weight__23_reasoning_relational_relations,0.027617309603833642
LDA200_abstract_weight__31_hearing_deaf_sign,0.026389112583002434
LDA200_abstract_weight__40_ventral_dorsal_stream,0.02618597136330927
LDA200_abstract_weight__119_dlpfc_prefrontal_cortex,0.025221834900924958
LDA200_abstract_weight__147_target_search_targets,0.021930576285718442
LDA200_abstract_weight__57_learning_learned_sequence,0.021698832949017723
LDA200_abstract_weight__26_time_delay_temporal,0.021440373704481593
LDA200_abstract_weight__38_adults_age_older,0.020483522929357748
LDA200_abstract_weight__144_integration_process_task,0.019280456277945567
LDA200_abstract_weight__51_sustained_transient_monitoring,0.019143953257167022
LDA200_abstract_weight__97_adaptation_selective_stimulus,0.018478307349964362
LDA200_abstract_weight__108_visual_auditory_sensory,0.018032065083654302
LDA200_abstract_weight__36_group_control_pattern,0.017990738571469128
LDA200_abstract_weight__142_scene_scenes_perspective,0.01794924843615133
LDA200_abstract_weight__172_verbal_fluency_overt,0.0177041987523864
LDA200_abstract_weight__186_decision_making_choice,0.0170875143695091
LDA200_abstract_weight__111_memory_encoding_hippocampal,0.01677693128119858
LDA200_abstract_weight__159_inhibition_response_inhibitory,0.015648623501115167
LDA200_abstract_weight__198_repetition_priming_suppression,0.014593530915929803
LDA200_abstract_weight__89_pfc_prefrontal_cortex,0.014138663870274962
LDA200_abstract_weight__141_systems_predicted_models,0.013732568308522297
LDA200_abstract_weight__18_color_shape_shapes,0.013078231744570913
LDA200_abstract_weight__9_semantic_word_knowledge,0.012400855103605446
LDA200_abstract_weight__122_magnetic_order_resonance,0.01235909946865157
LDA200_abstract_weight__95_verbs_verb_nouns,0.012086065353189042
LDA200_abstract_weight__152_perceptual_perception_visual,0.010833148959108788
LDA200_abstract_weight__121_tool_tools_knowledge,0.010717365671803371
LDA200_abstract_weight__73_ifg_gyrus_frontal,0.010544100504494771
LDA200_abstract_weight__171_cortex_prefrontal_medial,0.009824756001704758
LDA200_abstract_weight__46_hemisphere_hemispheric_language,0.008342677846450324
LDA200_abstract_weight__134_motor_cortex_supplementary,0.008267092909052715
LDA200_abstract_weight__189_category_categories_categorization,0.008005144074068481
LDA200_abstract_weight__190_visual_cortex_occipital,0.0075021388361617685
LDA200_abstract_weight__81_pattern_patterns_representations,0.0067996474049121045
LDA200_abstract_weight__93_language_sentences_comprehension,0.0064923806576496785
LDA200_abstract_weight__118_goal_goals_planning,0.00635840088085056
LDA200_abstract_weight__183_orientation_colour_separation,0.006169363920880176
LDA200_abstract_weight__79_training_practice_trained,0.006061250290399334
LDA200_abstract_weight__174_type_joint_sa,0.005967574136125664
LDA200_abstract_weight__103_timing_temporal_rhythm,0.0058015558339370174
LDA200_abstract_weight__165_early_stage_late,0.005776184258504869
LDA200_abstract_weight__155_temporal_sulcus_superior,0.005700995086304857
LDA200_abstract_weight__129_gyrus_temporal_middle,0.005636638338610189
LDA200_abstract_weight__113_network_global_local,0.005618757982732809
LDA200_abstract_weight__37_long_term_short,0.0052074659853418095
LDA200_abstract_weight__7_single_trial_task,0.004901759136345196
LDA200_abstract_weight__106_blind_sighted_judgments,0.004801636015576227
LDA200_abstract_weight__123_junction_tpj_temporoparietal,0.0037992375646914893
LDA200_abstract_weight__32_children_age_adults,0.003724059286715333
LDA200_abstract_weight__11_cognitive_function_performance,0.0034935187633085563
LDA200_abstract_weight__138_real_virtual_reality,0.0034170650524241253
LDA200_abstract_weight__131_test_performance_intelligence,0.0032072277901736097
LDA200_abstract_weight__178_resonance_magnetic_previous,0.002718228105576849
LDA200_abstract_weight__114_vestibular_tbi_injury,0.0023036177513239787
LDA200_abstract_weight__120_hand_movements_limb,0.0007991563038286133
LDA200_abstract_weight__128_prediction_error_outcome,9.252437692202313e-05
LDA200_abstract_weight__125_expertise_experts_ic,-3.587562961976202e-06
LDA200_abstract_weight__85_human_organization_subregions,-7.926978112115502e-05
LDA200_abstract_weight__74_feedback_negative_performance,-0.0002231649997201345
LDA200_abstract_weight__35_automatic_situations_situation,-0.0005823577664575766
LDA200_abstract_weight__83_posterior_anterior_cortex,-0.0007465101718096276
LDA200_abstract_weight__75_asd_autism_group,-0.0013200199950804833
LDA200_abstract_weight__68_high_level_higher,-0.001576791605508696
LDA200_abstract_weight__4_cerebellar_cerebellum_lobule,-0.00223545282673555
LDA200_abstract_weight__100_gestures_abstract_race,-0.0026748819030522303
LDA200_abstract_weight__193_mirror_video_imitation,-0.002856139216611823
LDA200_abstract_weight__91_movement_motor_movements,-0.0032576526434846356
LDA200_abstract_weight__30_events_future_personal,-0.0033321166514993505
LDA200_abstract_weight__45_gyrus_frontal_inferior,-0.003723572105338894
LDA200_abstract_weight__99_detection_novelty_oddball,-0.004075510098621011
LDA200_abstract_weight__39_light_shed_alertness,-0.004425542295148007
LDA200_abstract_weight__167_human_humans_animal,-0.004635720308553263
LDA200_abstract_weight__71_interaction_modulation_influence,-0.0047740800771852235
LDA200_abstract_weight__82_motion_mt_moving,-0.005123188289751346
LDA200_abstract_weight__41_mi_md_rs,-0.006526813428620198
LDA200_abstract_weight__188_sleep_sd_als,-0.006527039671544312
LDA200_abstract_weight__19_illusion_physical_perceived,-0.007182703351286496
LDA200_abstract_weight__107_model_models_linear,-0.008090049421318718
LDA200_abstract_weight__50_alcohol_substance_history,-0.008655817697495245
LDA200_abstract_weight__133_pd_error_errors,-0.00868448539072034
LDA200_abstract_weight__14_bpd_sn_ifc,-0.00903690478093682
LDA200_abstract_weight__12_adhd_disorder_attention,-0.009209949448092116
LDA200_abstract_weight__76_ocd_disorder_compulsive,-0.009494239408754917
LDA200_abstract_weight__112_context_empathy_contextual,-0.010519793215830821
