Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
BD.Cognition.Social Cognition,1.1314959769137545e-07,5.304229968882069,6.978928708317363,7.826113539452514e-14,7.4732111183860255,0.02840090325183253
PC.Theory of Mind,4.683605918431866e-06,4.57848283424828,7.792148621385341,2.079040732619021e-09,5.991508017774639,0.01979370261885397
SM.Visual,0.0916303738249652,1.6868594864723552,1.2266317595896956,0.004233791720663416,2.860196059843146,0.09190325998574744
BD.Emotion,0.009523000684581007,2.592684789041658,1.928014962816952,0.01609466915296668,2.406761674692019,0.03425796783263838
ST.Pictures,0.019782539055731352,2.330446982651983,1.7533264075613137,0.055869772985090604,1.9120500636737652,0.0353578711645941
ST.Words,0.042935166045847795,2.0243401419431253,1.4745595367712563,0.0802886286127171,1.7490138312539802,0.04691671013586598
Instruct.Recall,0.059655563296937775,1.8833307158236203,1.6439726877715706,0.10492759657015323,1.6214199895843484,0.01915437705354264
BD.Cognition,0.044471637220000027,2.0096179759574815,1.7433122696155872,0.12308615989498028,1.5419482899529837,0.02085406055210867
PC.Semantic Monitor/Discrimination,0.04501467410125437,2.004517314159093,1.964951329534663,0.193101824190934,1.3014577299510914,0.014006454976990044
RT.Button Press,0.1617183683808454,1.399315584129687,1.1875265583179273,0.21689188585301017,1.2348350876722767,0.0650716849211655
PC.Reward,0.1011301756948173,1.6393990676801642,1.5809694364851958,0.41035719891731404,0.8232651996744466,0.013810109214801533
RM.Hand,0.2567469094743964,1.1341135763964751,1.107673862397145,0.42226827242211906,0.8024922452052724,0.06729971937097683
BD.Cognition.Language.Semantics,0.21198615177733493,1.2481226308112032,1.2557085419511458,0.7488550639490863,0.3201494197759608,0.013589049056750535
RT.Finger Tapping,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.n-back,1.0,0.0,1.4680931263858095,1.0,0.0,0.004813798074859025
RM.Leg,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Micturate,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Foot,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Arm,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Stem Completion (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Writing,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Ocular,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Stem Completion (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Generation (Overt),1.0,-0.0,1.6421378968253968,1.0,0.0,0.0027241645420182196
PC.Word Generation (Covert),1.0,-0.0,1.16568661971831,1.0,0.0,0.0023416784113387255
PC.Wisconsin Card Sorting Test,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Pelvis,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Other,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Manipulate,1.0,-0.0,1.961226303317536,1.0,0.0,0.001601334281290035
RT.Grasp,1.0,-0.0,2.152503250975293,1.0,0.0,0.00256652433119922
RM.Shoulder,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visuospatial Attention,1.0,0.0,1.5905909673286358,1.0,0.0,0.006844005312402277
RM.Torso,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Unknown,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Flexion/Extension,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Wrist,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Blink,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Breath-Hold,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Draw,1.0,-0.0,4.498029891304348,1.0,0.0,0.0023318256269992915
RT.Drink,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Whistling,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Video Games,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Pursuit/Tracking,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Color Word,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Phonological Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Physical Size,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Pitch Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Pointing,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Reading (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Reading (Overt),1.0,-0.0,1.0443375394321768,1.0,0.0,0.0014617677873731837
PC.Reasoning/Problem Solving,1.0,-0.0,1.524194290976059,1.0,0.0,0.002864323560236699
PC.Recitation/Repetition (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Recitation/Repetition (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Rest,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Saccades,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Self-Reflection,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Sequence Recall/Learning,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Sexual Arousal/Gratification,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Counting,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Object Identification,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Emotional,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Other,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Syntactic Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Tactile Monitor/Discrimination,1.0,-0.0,1.8494692737430167,1.0,0.0,0.002876352505259461
PC.Task Switching,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Taste,1.0,-0.0,2.578309968847352,1.0,0.0,0.003775959379795114
PC.Thirst Induction,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Tone Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Tower of London,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Transcranial Magnetic Stimulation,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Trauma Recall,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Vibrotactile Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
