Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
LDA100_abstract_weight__41_memory_retrieval_episodic,0.000308720106678928,-3.60787083446269,1.6155803361080572,4.81586044959947e-06,4.572653556793832,0.006415544489489741
LDA100_abstract_weight__71_reasoning_mind_mental,7.6551721173157e-05,-3.954946684303854,1.6625568300312825,9.749746790783952e-06,4.42265032490665,0.007673783808799675
LDA100_abstract_weight__67_network_state_resting,0.00016960614163852306,3.760452702899955,1.3310146472692108,0.00018890820353704578,3.7334053499048294,0.02211017827860215
LDA100_abstract_weight__28_phase_problem_problems,0.009335142841254807,-2.5995303309374043,1.5806856986750444,0.005399581958352702,2.7821755780131023,0.003209322065982372
LDA100_abstract_weight__92_social_empathy_moral,0.00667588531095531,-2.712593955243277,1.378958842455036,0.006744700244165092,2.7091934428902227,0.007652963877707435
LDA100_abstract_weight__49_attention_attentional_task,0.024374599364908378,2.251172730122408,1.199067454149829,0.02699967488437369,2.211522509492965,0.014776519278521343
LDA100_abstract_weight__76_memory_recognition_items,0.06358010782974854,-1.8551128874821299,1.2726265949763262,0.040361455797173734,2.050030487642158,0.004290346149294638
LDA100_abstract_weight__78_frequency_hz_power,0.006261916622749775,-2.733741593455187,1.5188391916483095,0.06702563050759323,1.8315021270949774,0.005298400595767238
LDA100_abstract_weight__94_network_control_frontoparietal,0.1969392012034641,-1.2903210787409458,1.1031498958205663,0.08740502724889715,1.70924796635321,0.007152795476475156
LDA100_abstract_weight__9_imagery_mental_events,0.18438507470232612,-1.3273737618484158,1.1429897772729516,0.10800439412868107,1.6072278531601931,0.004003027166543571
LDA100_abstract_weight__4_term_long_repetition,0.04454293009319232,-2.0089453468596936,1.2469689493832412,0.12755601436823816,1.5238106660225341,0.007397568460063758
LDA100_abstract_weight__70_pattern_patterns_classification,0.030684058369752076,-2.1611460623499954,1.3592365291440316,0.13450636860542106,1.4965654390298657,0.0048447130566107366
LDA100_abstract_weight__23_semantic_words_word,0.22174446607065224,-1.2219025895801967,1.0992634486386952,0.18503390957325333,1.325413898997069,0.006043867828712753
LDA100_abstract_weight__73_parietal_frontal_inferior,0.4281711470736038,0.7923250876995658,1.0074598193511437,0.20106105831454268,1.2785344146952076,0.049494396276071696
LDA100_abstract_weight__37_temporal_superior_posterior,0.10572102972063613,-1.6177289241461499,1.1860711814897378,0.2647723826349938,1.1151821290065118,0.006145004676466523
LDA100_abstract_weight__95_adults_age_older,0.2462645292054617,-1.159470316413898,1.0973798753947255,0.27984931480983843,1.0806579044313316,0.004686847052152017
LDA100_abstract_weight__58_personality_trait_traits,0.04507530437596663,-2.003951048692571,1.3162567179458013,0.2811111684661005,1.0778265505910125,0.005013665576910505
LDA100_abstract_weight__18_number_numerical_numbers,0.10831397593079206,-1.6058176750724773,1.2930820938972107,0.2903772765153304,1.0572943380135416,0.002438180802820743
LDA100_abstract_weight__32_object_objects_visual,0.21489807326611043,-1.2402090733312736,1.0867997250177497,0.29689869038595695,1.0431071050791276,0.00917467710029111
LDA100_abstract_weight__15_mirror_observation_imitation,0.32858023244451295,-0.9769776194208877,1.0659770032080165,0.30380676861357125,1.028304173231381,0.002502346410943356
LDA100_abstract_weight__79_spatial_cues_cue,0.24560355307531434,-1.1610942986115582,1.099939217937462,0.31919653570068157,0.9961103415125396,0.0045006152689225165
LDA100_abstract_weight__84_children_adolescents_age,0.08370828515556394,-1.7295635386059776,1.176571974870254,0.3218269243904989,0.9907105779632818,0.008857754044910722
LDA100_abstract_weight__10_schizophrenia_symptoms_risk,0.29346475359994584,-1.0505512226636715,1.0778692272519432,0.40830051481981133,0.8268880542501447,0.005105112174200332
LDA100_abstract_weight__80_pictures_images_aversive,0.1984219363955868,-1.2860605336173978,1.138211861906167,0.4170058863201581,0.8116266643487657,0.004119693343123954
LDA100_abstract_weight__98_treatment_baseline_therapy,0.4413468145720134,-0.7699209014032155,1.0041110026495608,0.44068893095801387,0.7710303692511378,0.004046212807730206
LDA100_abstract_weight__25_feedback_error_learning,0.27134293386384956,-1.0999751854131752,1.0768476105831681,0.4705440585449907,0.7215941147629261,0.0060134228933504215
LDA100_abstract_weight__93_time_reaction_times,0.18198293536725751,-1.334674401163379,1.1155781600598353,0.479638062842215,0.7068848124733565,0.007452573355281411
LDA100_abstract_weight__5_depression_mdd_disorder,0.18655099154938393,-1.3208511773609863,1.1514848624913334,0.48834609605877055,0.692941768420069,0.005033035225493569
LDA100_abstract_weight__27_epilepsy_lobe_temporal,0.07125965125358003,-1.803819223348166,1.494484361792054,0.5512689444238016,0.5958597194031738,0.0017309444704234195
LDA100_abstract_weight__90_reho_resting_state,0.20338116113861404,-1.2719773665135528,1.1713751438434983,0.5629479038938765,0.5784684325850799,0.003169699886672926
LDA100_abstract_weight__48_learning_training_sequence,0.4394437052132596,-0.7731329453451701,1.0081962491198873,0.6249789079388018,0.48880620033356736,0.0058072966400673975
LDA100_abstract_weight__45_memory_working_wm,0.30870190505744666,-1.0179496069402099,1.0551885437610273,0.6256316362746406,0.48788452503185525,0.007496534474639017
LDA100_abstract_weight__11_task_cognitive_performance,0.48329931201886234,0.7010059339429336,1.000386530208536,0.6434778628179829,0.46284166638747515,0.047405447600927075
LDA100_abstract_weight__40_ad_disease_mci,0.16709333732721898,-1.38160396028347,1.1790320937340804,0.6596598980512758,0.4403827753618243,0.003682190964355274
LDA100_abstract_weight__65_task_switching_rule,0.37713118934287415,-0.8831945062578047,1.0362545519670467,0.6683585859445003,0.42840183911191926,0.003243431895353237
LDA100_abstract_weight__19_judgments_judgment_ppc,0.22318512345238017,-1.218102238210399,1.1240778341793571,0.6707693316080463,0.42509238128476234,0.004064661234380677
LDA100_abstract_weight__16_deaf_hearing_sign,0.3307555942200724,-0.9725930579897981,1.0746343501880484,0.699327187276134,0.38622885245092425,0.0011965083236080386
LDA100_abstract_weight__75_stress_alcohol_users,0.2933936352371942,-1.0507060092285003,1.0901229334463756,0.7288989231002998,0.3465905809693519,0.003227907815533524
LDA100_abstract_weight__54_adhd_food_weight,0.36677565794763256,-0.9025294999969065,1.0443669374104156,0.7760017668612399,0.2845332367603965,0.002379616969545676
LDA100_abstract_weight__53_decision_making_risk,0.22756075785173524,-1.2066661041588351,1.1059286109233888,0.7773200978511089,0.2828131181692871,0.005592547620802541
LDA100_abstract_weight__62_scenes_scene_ppa,0.21096698381721413,-1.2509109077439358,1.1854593348699374,0.7938152316520213,0.26135957068141646,0.001945118645495836
LDA100_abstract_weight__89_inhibition_response_control,0.3405684091088781,-0.9530427537556535,1.051023969954711,0.8022150666907535,0.2504814262481678,0.004691750106864674
LDA100_abstract_weight__43_prefrontal_cortex_pfc,0.39691017373293525,0.8471524133687507,1.0146129756121618,0.8153609471721527,0.23351574185586166,0.02879109994996536
LDA100_abstract_weight__83_cortex_anterior_cingulate,0.48483565085705194,0.698546239885351,1.000223498100661,0.8175521788862898,0.2306944585132347,0.04944919826835631
