Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
LDA50_abstract_weight__0_network_state_resting,1.695771559641317e-21,9.52218394058869,0.03006509496181138,1.3169945266574994e-08,5.683845253922933,0.6358652118242497
LDA50_abstract_weight__8_mpfc_social_medial,0.02977894520117554,-2.17301823068338,0.03191189625846655,0.0020752750620702657,3.079242754884392,0.5955957238295938
LDA50_abstract_weight__18_number_ips_numerical,8.902346742676529e-10,-6.127941206481016,0.03451749240148709,0.003889053697718536,2.887023348221792,0.6167368521263079
LDA50_abstract_weight__28_social_empathy_moral,0.00037999962527248494,-3.5535979737636625,0.03199125751374801,0.006513522590115013,2.7207437776077494,0.5912231466980633
LDA50_abstract_weight__41_imagery_mental_events,1.704389624185642e-05,-4.300466466184762,0.03122342493549157,0.03180754339578772,2.1468208923825363,0.5760294249573876
LDA50_abstract_weight__33_memory_retrieval_encoding,0.00011706409094019976,3.852194266479963,0.028723119948096114,0.047394017596611944,1.9827620258515775,0.5517655150987084
LDA50_abstract_weight__24_age_adults_older,0.0024697161029733814,3.0270273513995143,0.02869822631169297,0.07464599365003351,1.7826334338464007,0.5473322293991986
LDA50_abstract_weight__4_stimulus_time_repetition,0.03591963278433392,2.0978360270443743,0.028721487361424318,0.10126253863327932,1.6387634274829064,0.5444578123906334
LDA50_abstract_weight__9_memory_working_wm,0.030533838910100822,-2.1630954511047653,0.028953013312198052,0.2270267520577019,1.2080533237719315,0.5380980366288065
LDA50_abstract_weight__30_decision_making_risk,1.433012697896389e-06,-4.820357385425799,0.02906289480280179,0.3476391879587535,0.9391783397695886,0.5349523434290935
LDA50_abstract_weight__23_asd_autism_group,1.2642058699301735e-14,-7.709389945121523,0.029369058169756268,0.4781336751051052,0.709307500198554,0.5360428297312877
LDA50_abstract_weight__38_semantic_category_representations,0.6979927996472834,-0.3880313961183825,0.027852684155236014,0.6838167842049176,0.40726034553012164,0.5119486643319563
LDA50_abstract_weight__22_method_group_approach,7.407814851607466e-173,28.028001043476277,0.026564287613030382,0.6858702435414363,0.40446577094973,0.5202168330324836
LDA50_abstract_weight__47_attention_attentional_target,2.1031311856574872e-13,7.342071413402534,0.02756745777105222,0.7308397668498301,0.3440086687009129,0.5086370499259557
LDA50_abstract_weight__12_women_men_sex,7.033426219424891e-15,-7.783878582459273,0.02785266047268605,0.8856641035299246,0.1437927810392774,0.5074659073317415
LDA50_abstract_weight__19_action_actions_observation,8.96663837574512e-07,-4.913058772113311,0.027700403934903396,0.8917887141288505,0.13604119581275254,0.5051191528361594
LDA50_abstract_weight__27_disorder_adhd_group,7.453951999813252e-06,-4.480296210886335,0.027445492497816207,0.9779115476538743,-0.02768730664474674,0.4989923369152942
LDA50_abstract_weight__20_control_conflict_task,0.0019246177241314384,-3.1016247295959003,0.027436922753071337,0.967764325355083,-0.04041242408367354,0.4986562145811142
LDA50_abstract_weight__37_language_reading_word,0.2649146353803956,-1.114850164774537,0.027385806224952063,0.9146930024221748,-0.10712098110572449,0.49676658343877556
LDA50_abstract_weight__14_disease_ad_pd,1.970865582739599e-09,-6.000190180212436,0.02721609736426037,0.8812596778859109,-0.14937254081128093,0.49378892943800495
LDA50_abstract_weight__3_cortex_anterior_cingulate,2.6439384456195465e-28,11.033164847915495,0.027494814105075642,0.8587751995122846,-0.17793350244170625,0.4955840040855281
LDA50_abstract_weight__44_eye_sleep_gaze,2.3988425403654654e-14,-7.6272123636161755,0.02703274934602709,0.8497742553890892,-0.18940646813170361,0.49035217130921255
LDA50_abstract_weight__34_frequency_hz_ms,7.563169100428677e-06,-4.477190687610379,0.0271392345025495,0.808272704009582,-0.2426549566340492,0.4911700762239044
LDA50_abstract_weight__49_depression_mdd_state,7.736712858198303e-09,-5.774096415964523,0.026935290763170652,0.7479992363192616,-0.32127864737217876,0.48693749246589946
LDA50_abstract_weight__13_fear_threat_smokers,1.72479431291908e-13,-7.368561137552513,0.02664755058455901,0.7075485015753226,-0.3751505535922032,0.48157145171938626
LDA50_abstract_weight__42_visual_cortex_sensory,0.00018289401946399616,3.741542802804356,0.027194599056925915,0.49610184187200657,-0.6806359999246311,0.4821121362402041
LDA50_abstract_weight__17_motor_cortex_hand,0.8150476044376884,0.23391933241331372,0.026891625731777002,0.4101954955379501,-0.8235496489408719,0.47637348682873226
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,8.19198867627675e-05,-3.9387128930791793,0.026427688943577513,0.39677539635114867,-0.8473942716174303,0.4703531670512151
LDA50_abstract_weight__11_learning_training_practice,0.000126659691416166,-3.8328645686283362,0.02642166068072696,0.38639279700555995,-0.8661775603965334,0.4699108457206676
LDA50_abstract_weight__46_hemisphere_language_stroke,2.8460741470490446e-06,-4.6816266931944135,0.026267887565118407,0.37700972615688144,-0.8834193752891548,0.46738905180986406
LDA50_abstract_weight__29_stress_ptsd_trauma,2.505047508357161e-16,-8.19504244534958,0.025167661913934998,0.3503206070928223,-0.9339675984324369,0.4474496399296452
LDA50_abstract_weight__25_spatial_body_human,0.03123465840162714,-2.1540703109516457,0.026515764265827815,0.3175629702198486,-0.9994784564547092,0.4684508220172987
LDA50_abstract_weight__1_anxiety_trait_personality,3.0055246458681134e-12,-6.977465558946357,0.025385091655483485,0.2769349132214566,-1.0872305939820615,0.44935209457870373
LDA50_abstract_weight__39_stimulation_tms_bpd,3.1538104470745564e-16,-8.167294995238981,0.02458827327592278,0.22645629937392708,-1.2095377964527252,0.4321975944325999
LDA50_abstract_weight__26_emotional_amygdala_negative,6.099807543433038e-17,8.363280272678331,0.027413618284533398,0.22484297676953577,-1.2137505969089213,0.4697791725758197
LDA50_abstract_weight__16_response_inhibition_control,8.972326031360069e-09,-5.749093373179461,0.025448143405889884,0.1861742164922823,-1.3219817849030473,0.44654088050314467
LDA50_abstract_weight__48_prefrontal_cortex_pfc,3.875432491802966e-60,16.357034914580364,0.02820971827081232,0.16329469106907857,-1.394075882934086,0.4639415943638168
LDA50_abstract_weight__40_face_faces_facial,5.91900370674188e-08,-5.421230931090526,0.025319597199669093,0.13224345962639325,-1.5053136415584558,0.44106202015335694
LDA50_abstract_weight__6_auditory_speech_temporal,1.0766270114497619e-07,-5.313291339994995,0.025320633446849587,0.1251856270596815,-1.5333663007703584,0.44055694677782353
LDA50_abstract_weight__31_model_models_prediction,1.0325345885585767e-06,-4.885334399178161,0.0254293285993051,0.1204101497738769,-1.553054354112536,0.44195158618536456
LDA50_abstract_weight__21_matter_volume_structural,0.0001986416727806118,-3.7207377018413834,0.0256420440015189,0.09787854047468823,-1.655226604672978,0.4431642174455064
LDA50_abstract_weight__10_food_taste_weight,2.5991426168244075e-22,-9.715131128977335,0.021853653629506954,0.07937258683130294,-1.754338124466855,0.3599916517625506
LDA50_abstract_weight__35_schizophrenia_risk_genetic,1.7851299987804346e-11,-6.722597668604724,0.024375050345164954,0.06873729676989722,-1.8201425663577082,0.4183613133430895
LDA50_abstract_weight__7_reward_feedback_striatum,6.16586174652784e-08,-5.413923208955268,0.024855663618782976,0.05613864604777094,-1.9099578074990642,0.4255337229833722
LDA50_abstract_weight__45_motion_perception_visual,6.068666228454686e-14,-7.506591634173466,0.023632702246820403,0.0453610449366963,-2.001290945585883,0.4000968891232761
LDA50_abstract_weight__36_placebo_treatment_dopamine,4.477525372070558e-15,-7.840781059751607,0.022972437164142507,0.023425281433581278,-2.2664265191973603,0.38093452465046757
LDA50_abstract_weight__32_pain_somatosensory_stimulation,8.5216705929727515e-16,-8.046469364956339,0.022115356920032175,0.006232986460038908,-2.7352661077194593,0.3521608094289866
LDA50_abstract_weight__5_gyrus_frontal_inferior,8.504484327335758e-207,30.686929900475285,,0.15729920705028105,,
LDA50_abstract_weight__15_task_performance_cognitive,8.504484327335758e-207,30.686929900475285,,0.15729920705028105,,
LDA50_abstract_weight__43_magnetic_mechanisms_human,8.504484327335758e-207,30.686929900475285,,0.15729920705028105,,
