feature,r
BD.Cognition.Social Cognition,0.12682172015329468
ST.Vignettes,0.11093857656740484
PC.Theory of Mind,0.10107877122083256
PC.Deception,0.0714433500451956
Instruct.Answer,0.06436897463396882
PC.Delay Discounting,0.0643021210533224
ST.Stories,0.062324042344407304
SM.Visual,0.05572059954207451
RT.Button Press,0.053557581166083536
ST.Dots,0.047653593408876205
Instruct.Choose,0.047422957701092464
ST.Words,0.04527352327451248
RM.Hand,0.04167933580679138
ST.Mathematical Equation,0.04153574711822794
PC.Semantic Monitor/Discrimination,0.039100192186821
PC.Syntactic Discrimination,0.03224765456945104
BD.Cognition.Language,0.03171319527272203
Instruct.Read,0.030462484709584313
BD.Action.Motor Learning,0.029876692775430834
PC.Episodic Recall,0.029625303531342753
BD.Cognition.Memory.Explicit,0.029295878802402343
PC.Imagined Objects/Scenes,0.028265605871532196
ST.Asian Characters,0.026331665561326226
PC.Drawing,0.02606571628392405
ST.Digits,0.025806475187769157
RT.Draw,0.025409650145143174
PC.Hand-Eye Coordination,0.025298072520931185
BD.Emotion,0.025089148309685894
BD.Cognition,0.024683482821229105
Instruct.Recall,0.024381350285179456
BD.Cognition.Reasoning,0.024126508511541474
PC.Autobiographical Recall,0.02388214444730213
RT.Whistle,0.022852593388513025
PC.Whistling,0.022852593388513025
Instruct.Discriminate,0.021719146050499863
RM.Leg,0.02087594127054101
PC.Figurative Language,0.020152980949928023
Instruct.Generate,0.019781319848574425
RM.Torso,0.019277882310085065
PC.Thirst Induction,0.01871814096532223
PC.Reading (Covert),0.018461812850985367
BD.Cognition.Language.Syntax,0.01707428901425034
PC.Face Monitor/Discrimination,0.01668915255048563
PC.Cued Explicit Recognition/Recall,0.015296917401520666
BD.Action.Imagination,0.014877126051002856
BD.Perception.Vision,0.014302363916521663
BD.Cognition.Language.Semantics,0.014054926816897628
BD.Cognition.Soma,0.012077594230993915
ST.Pseudowords,0.010885971461209005
RM.Arm,0.010523999047968753
ST.Faces,0.010049978847518775
PC.Reasoning/Problem Solving,0.009894750205485766
PC.Word Generation (Overt),0.008778764494418945
PC.Fixation,0.00850519489213987
Contrast.External Variable,0.007591817430806876
Contrast.Group,0.00594984529313765
PC.Wisconsin Card Sorting Test,0.005893287039806722
RT.Grasp,0.005648421766933821
PC.Reading (Overt),0.005339122417856945
ST.Cartoons,0.005027278553523534
ST.Scenes,0.003532966192202061
BD.Interoception.Thirst,0.0034902297361979525
Instruct.Imagine,0.0031869351670408587
PC.Reward,0.003114539453715592
BD.Cognition.Language.Orthography,0.0026987640281860774
PC.Task Switching,0.002445699564257108
PC.Gambling,0.002379754368502783
ST.Tools,0.0021779706443020557
BD.Emotion.Anger,0.0021607767527789465
PC.Word Generation (Covert),0.001492602628740691
PC.Sexual Arousal/Gratification,0.001432796540966735
PC.Counting/Calculation,0.0007110905943398323
BD.Emotion.Disgust,0.0006803403403897808
ST.Infusion,0.00047130120385894804
ST.Pictures,0.0004179179376818324
PC.Visuospatial Attention,0.0002904703759204013
SM.Not Defined.,0.00014048935738973512
ST.Not Defined.,0.00014048935738973512
Instruct.Not Defined.,0.00014048935738973512
BD.Not Defined.,0.00014048935738973512
RM.Not Defined.,0.00014048935738973512
RT.Not Defined.,0.00014048935738973512
Instruct.None,0.00011323920757762267
ST.Film Clip,9.930845659557848e-05
