feature,r
LDA50_abstract_weight__0_network_state_resting,0.1372288092376455
LDA50_abstract_weight__8_mpfc_social_medial,0.09546988373760543
LDA50_abstract_weight__33_memory_retrieval_encoding,0.06925203797970389
LDA50_abstract_weight__41_imagery_mental_events,0.05178911185205612
LDA50_abstract_weight__28_social_empathy_moral,0.04148409726224647
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.036621918171756355
LDA50_abstract_weight__18_number_ips_numerical,0.03161721663024958
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.02500838117900115
LDA50_abstract_weight__37_language_reading_word,0.02292862171395606
LDA50_abstract_weight__38_semantic_category_representations,0.019264583129190428
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.015970852470769514
LDA50_abstract_weight__15_task_performance_cognitive,0.012159210180019869
LDA50_abstract_weight__19_action_actions_observation,0.011510870549608736
LDA50_abstract_weight__30_decision_making_risk,0.011242565361015195
LDA50_abstract_weight__23_asd_autism_group,0.00943062010476154
LDA50_abstract_weight__24_age_adults_older,0.006085226736260884
LDA50_abstract_weight__9_memory_working_wm,0.002747745590997616
LDA50_abstract_weight__47_attention_attentional_target,0.0014371522118558323
LDA50_abstract_weight__14_disease_ad_pd,0.0011144187269857436
LDA50_abstract_weight__26_emotional_amygdala_negative,0.0004814404267387008
LDA50_abstract_weight__4_stimulus_time_repetition,-0.0005103917315467653
LDA50_abstract_weight__12_women_men_sex,-0.0047944344629761715
LDA50_abstract_weight__46_hemisphere_language_stroke,-0.005164834897163869
LDA50_abstract_weight__3_cortex_anterior_cingulate,-0.005219799137913292
LDA50_abstract_weight__11_learning_training_practice,-0.006560611970804887
LDA50_abstract_weight__31_model_models_prediction,-0.006800789283990388
LDA50_abstract_weight__16_response_inhibition_control,-0.008084459343628506
LDA50_abstract_weight__1_anxiety_trait_personality,-0.010393342578617529
LDA50_abstract_weight__20_control_conflict_task,-0.01616954829128945
LDA50_abstract_weight__34_frequency_hz_ms,-0.016224895231251032
LDA50_abstract_weight__22_method_group_approach,-0.01636169953744138
LDA50_abstract_weight__42_visual_cortex_sensory,-0.01826946370201937
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,-0.0223827562506094
LDA50_abstract_weight__44_eye_sleep_gaze,-0.0228520782067557
LDA50_abstract_weight__29_stress_ptsd_trauma,-0.02326548726505499
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.023678087323126804
LDA50_abstract_weight__27_disorder_adhd_group,-0.0252321303918693
LDA50_abstract_weight__39_stimulation_tms_bpd,-0.025732459557434723
LDA50_abstract_weight__10_food_taste_weight,-0.025808854418590727
LDA50_abstract_weight__6_auditory_speech_temporal,-0.027149498701265127
LDA50_abstract_weight__13_fear_threat_smokers,-0.027494056447314636
LDA50_abstract_weight__35_schizophrenia_risk_genetic,-0.029443780499564285
LDA50_abstract_weight__7_reward_feedback_striatum,-0.030540780565717792
LDA50_abstract_weight__45_motion_perception_visual,-0.03133867591117311
LDA50_abstract_weight__25_spatial_body_human,-0.034034648086889344
LDA50_abstract_weight__40_face_faces_facial,-0.034797361213052755
LDA50_abstract_weight__49_depression_mdd_state,-0.035323821228104006
LDA50_abstract_weight__21_matter_volume_structural,-0.038429324674753206
LDA50_abstract_weight__32_pain_somatosensory_stimulation,-0.042006568160436374
LDA50_abstract_weight__17_motor_cortex_hand,-0.05084394673142826
