Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
ST.Pseudowords,4.9988717871762844e-06,4.5648350734453755,3.2779165199788767,2.388784691436454e-08,5.581190032875524,0.007423107255792958
Instruct.Read,0.0010833681352674374,3.2679308970974756,1.9596918238346235,2.3119139887044606e-07,5.172331139272964,0.006970610659804154
BD.Cognition.Language.Phonology,2.0070585240450356e-06,4.752712292580146,3.6440915565915564,4.0773232457361926e-07,5.065311846260926,0.00837737572089051
SM.Visual,0.017069159857297067,2.3852146238704295,1.1670383137796698,5.07799752208286e-07,5.02334210108508,0.07716329063729904
ST.False Font,7.189813474728357e-05,3.9699154695285186,4.244294871794872,9.048285844222071e-07,4.911281975010526,0.0036892815290594204
ST.Letters,2.307898943321174e-05,4.232809588747802,2.088880086373706,9.396528140701402e-07,4.903872944055541,0.014860264884544366
PC.Reading (Overt),0.0052082441672092195,2.79386359983703,2.2091755641834507,1.5771214783055907e-06,4.801206987228776,0.002728831016430303
PC.Phonological Discrimination,3.579138014742078e-06,4.63443492379481,3.8290551168959346,1.7052839628786625e-06,4.78553979067117,0.007707737968532533
PC.Orthographic Discrimination,0.00014007772354573955,3.8080309867756146,3.908457078392276,6.486203784988515e-05,3.994386300558681,0.0043361044753925035
PC.Visual Object Identification,0.00044828881290293054,3.5098919540787614,2.9800368248772506,9.233830774802054e-05,3.90988961505637,0.004601273575576628
Instruct.Fixate,0.024086312459935866,2.255749678099277,1.4049257466486968,0.00020152858350507542,3.717092612337579,0.01068556949494357
PC.Reading (Covert),0.0021149726668312496,3.073593688953992,2.4780914856551797,0.0002260091382901571,3.6880163418450427,0.004052994639911211
BD.Cognition.Language.Speech,0.0021608932462903185,3.06717912298224,1.7157138809806793,0.0002698017424087206,3.642691859755852,0.011636495735734657
BD.Cognition.Language.Orthography,0.001009065158238287,3.28798695261457,2.5932555224815914,0.0007868270026768146,3.3573876947853303,0.005249781573401629
PC.Counting/Calculation,0.0026473433636073906,3.0059708946039136,2.3192868151884545,0.0010730319305114913,3.27064321828096,0.004801265147826826
PC.n-back,0.002653346225878761,3.005282113901778,2.117442009210302,0.0014290540378562077,3.1887176116173537,0.006127096249320442
RT.Button Press,0.01521791712469811,2.427151081224558,1.2033368231476036,0.0019220528424149202,3.10201951956752,0.05818952897288099
BD.Cognition.Attention,0.015454378380711398,2.4215522683041852,1.384556452839371,0.0020553718833375358,3.08211243289875,0.016785689669114395
PC.Stroop-Color Word,0.004151847909774964,-2.866388190580162,2.8028362360909527,0.0021415810123982717,3.0698614392063486,0.0027889429632537077
BD.Cognition.Memory.Working,0.014310987762105931,2.449361143468903,1.5238824672667757,0.0021813515370609615,3.0643614952352567,0.009951997013841874
ST.Fixation Point,0.05611987024876275,1.9101036414698622,1.2951957728971795,0.002320882373166732,3.0457661893407053,0.01183599720843837
Contrast.Instruction,0.11055926226582347,1.5956844492900761,1.111885698808234,0.002968325531737127,2.9709992008528983,0.04807005295498698
PC.Delayed Match to Sample,0.03685452623394436,2.08737194180606,1.6058158711680248,0.0030112230126430116,2.9665899120501864,0.004022189400631154
PC.Task Switching,0.00675864422305783,-2.7085081985966304,2.427623377575713,0.00742274913519796,2.6772578256435833,0.0033318482526250347
PC.Visuospatial Attention,0.02291658030237209,2.2748224937226493,1.6313753511062925,0.016305185162304812,2.4020117393694527,0.0061946195133739885
