feature,r
ST.Letters,0.08857072496019243
BD.Cognition.Memory.Working,0.08643955182913836
PC.Delayed Match to Sample,0.08535277489628511
BD.Cognition.Language.Speech,0.08118857249737339
BD.Cognition.Language.Phonology,0.0781679599200648
Contrast.Instruction,0.07603982705202929
Instruct.Generate,0.07491475199804686
Instruct.Fixate,0.07261996893691024
ST.Asian Characters,0.07176872447240974
Instruct.Read,0.07001776011542385
PC.Word Generation (Covert),0.06801220629380987
PC.n-back,0.06395841732072349
SM.Visual,0.06394627917075774
ST.Fixation Point,0.063504413038255
PC.Counting/Calculation,0.059750499512550716
PC.Reading (Covert),0.05916314956245702
ST.Pseudowords,0.05473492867261665
Instruct.Update,0.04944729175029043
PC.Stroop-Color Word,0.048976633175500446
PC.Phonological Discrimination,0.04845521200340207
ST.False Font,0.04506514883183495
Instruct.Recall,0.04428666537408074
PC.Reading (Overt),0.04396463191634513
BD.Cognition.Language.Orthography,0.0433920808134545
ST.Syllables,0.043328792290486716
BD.Cognition.Language.Semantics,0.04325516487951483
ST.Numbers,0.04127475712954272
ST.Digits,0.040938346750753384
PC.Trauma Recall,0.04024798616975477
ST.Mathematical Equation,0.038999765108327825
PC.Task Switching,0.038154826144799495
ST.Uniform Screen,0.036409853996303344
RT.Button Press,0.035392102396337374
PC.Orthographic Discrimination,0.03501868756336645
PC.Word Stem Completion (Covert),0.03370066153312657
BD.Cognition.Attention,0.03361033390410116
PC.Visual Object Identification,0.03168677599278932
BD.Action.Observation,0.03040999753347342
Instruct.Inhibit,0.026499181594288934
PC.Multi-Tasking,0.023546589173921894
Instruct.Track,0.023274046417937174
Instruct.Discriminate,0.022833443790057247
Contrast.Stimulus Type,0.022671804958131116
Instruct.Repeat,0.022324336523470302
BD.Action.Execution.Speech,0.022232072166191864
RM.Hand,0.022119992350763222
PC.Wisconsin Card Sorting Test,0.021280349283348394
Contrast.Response Modality,0.020996991758498958
PC.Word Generation (Overt),0.020639364413446038
Instruct.None,0.020167221460351888
BD.Cognition.Reasoning,0.019916512627008782
ST.Abstract Patterns,0.019569077820696574
PC.Estimation,0.019519834832306886
Instruct.Count,0.019468210268876154
ST.Noise,0.019412408206519908
PC.Word Stem Completion (Overt),0.01838052811108431
BD.Cognition.Language,0.018164148014606973
Instruct.Experience,0.018060830063179868
PC.Semantic Monitor/Discrimination,0.017958215358056247
PC.Tone Monitor/Discrimination,0.016954636793748767
RT.Speech,0.01661678159497774
PC.Film Viewing,0.016339466214411454
PC.Magnitude Comparison (Non-symbolic),0.015562448098297993
PC.Physical Size,0.014710251901990188
ST.Faces and Scenes,0.014653535395246164
PC.Stroop-Other,0.014393015518292996
PC.Luminance,0.014247506576399142
RM.Other,0.014171083178729832
RT.Smile,0.01409308201457113
Contrast.Response Type,0.013810911124754115
ST.Objects,0.013171586393529881
PC.Tower of London,0.012963174220091503
PC.Naming (Covert),0.011533004765779396
ST.Animations,0.011405774186149716
PC.Visuospatial Attention,0.010773059190557627
PC.Tactile Monitor/Discrimination,0.01044363907884315
BD.Cognition.Music,0.00996885006786854
PC.Stroop-Counting,0.0098514259832838
RM.Foot,0.00896516051026041
ST.Words,0.00894272100158343
PC.Cued Explicit Recognition/Recall,0.008154419116292702
Instruct.Rate,0.007716397075439088
PC.Recitation/Repetition (Overt),0.006232097145026551
PC.Visual Pursuit/Tracking,0.006164805004247514
BD.Cognition.Soma,0.006093282075893513
PC.Pointing,0.0052810457787617684
Instruct.Name,0.004340907606149672
PC.Driving,0.0042260647015299685
Instruct.Detect,0.003405997665864858
PC.Episodic Recall,0.002904886480868969
RM.Oral/Facial,0.0027108859739458807
PC.Digit/Numerical,0.0026698342901625683
PC.Magnitude Comparison (Symbolic),0.0026698342901625683
PC.Encoding,0.002193655087453607
PC.Go/No-Go,0.0019627120846121004
ST.Video,0.0010956224862876448
PC.Delay Discounting,0.0008282577636385069
Instruct.Add,0.0004138648082894903
BD.Action.Preparation,0.00037562285850375717
PC.Oddball Discrimination,0.0002663274819870161
BD.Interoception,0.00016593734548844556
PC.Imagined Movement,0.00010870431129171233
BD.Cognition.Time,1.760192394031287e-05
PC.Music Production,-0.00020137592016290461
Instruct.Encode,-0.0006790189707874388
PC.Music Comprehension,-0.000798574074817402
PC.Sexual Arousal/Gratification,-0.0009179404463824895
PC.Writing,-0.0016108935662123406
BD.Action.Imagination,-0.0017693401488883334
RT.Manipulate,-0.0019105356486206404
BD.Interoception.Sexuality,-0.0020429605169490646
PC.Whistling,-0.002179952482084205
RT.Whistle,-0.002179952482084205
PC.Recitation/Repetition (Covert),-0.0026008411062874975
BD.Action.Motor Learning,-0.0026235133444044777
RT.Grasp,-0.003042602309176201
BD.Cognition.Memory.Explicit,-0.003193758788464788
PC.Chewing/Swallowing,-0.0031989803513082287
PC.Hand-Eye Coordination,-0.0034529133547623824
ST.Letters and abstract objects,-0.003667846391687611
PC.Isometric Force,-0.00374023797839288
Instruct.Maintain,-0.00375002557752436
ST.Arrow,-0.0037500255775243627
RM.Wrist,-0.003750025577524377
ST.Interactive Computer Game,-0.0037500255775243818
ST.Interactive Computer Program,-0.0037500255775243818
BD.Pharmacology.Caffeine,-0.0037500255775244043
Instruct.Report,-0.0038259451977101294
RT.Point,-0.003829192325594528
Contrast.Experience Dependent Change,-0.00392161683911597
RT.Unknown,-0.0039950139235971375
RM.Unknown,-0.0039950139235971375
RT.Write,-0.004028595946344345
ST.Tones,-0.004222201987888839
BD.Perception.Vision.Color,-0.004361727181359477
BD.Interoception.Hunger,-0.004535058970375641
RT.None,-0.0049858695708846525
ST.Spinner,-0.005303684051235283
RT.Breath-Hold,-0.0053036840512353176
BD.Interoception.Thermoregulation,-0.0053036840512353176
PC.Imagined Objects/Scenes,-0.005312933662036123
PC.Reasoning/Problem Solving,-0.005441689361197808
ST.Tactile Stimulation,-0.005594280795718774
ST.Dots,-0.005881915086812868
PC.Thirst Induction,-0.0059039929334084125
RM.None,-0.006055820203639225
BD.Cognition.Space,-0.006411119426686632
Instruct.Not Defined.,-0.006449165612269169
ST.Not Defined.,-0.006449165612269169
RM.Not Defined.,-0.006449165612269169
RT.Not Defined.,-0.006449165612269169
SM.Not Defined.,-0.006449165612269169
BD.Not Defined.,-0.006449165612269169
ST.Symbols,-0.006483804279728717
ST.Braille,-0.0064960849359502176
RM.Shoulder,-0.00649608493595025
PC.Visual Motion,-0.006496084935950269
PC.Fluency Induction,-0.006496084935950319
PC.Cued Speech,-0.006496084935950319
ST.Playing Cards,-0.00649608493595032
Instruct.Predict,-0.006496084935950327
ST.Instruction,-0.006496084935950355
ST.Vignettes,-0.0064960849359503615
BD.Pharmacology.Alcohol,-0.0064960849359503746
ST.Infusion,-0.006765495980288378
ST.Shapes,-0.00678891285155191
Instruct.Sing,-0.007363121753922404
PC.Anti-Saccades,-0.007427565703490178
ST.Blurred disk,-0.007501523726381651
ST.Air Puff,-0.007501523726381668
BD.Perception.Vision,-0.007519340097482895
PC.Fixation,-0.007630506703842219
PC.Flanker,-0.007745889963620947
PC.Stroop-Emotional,-0.007978791409902163
Contrast.Stimulus Modality,-0.008245446778459533
Instruct.Answer,-0.008311224131273581
RT.Blink,-0.008387507503982207
ST.Film Clip,-0.008387507503982235
ST.Reversed Speech,-0.008498631527477983
ST.Cartoons,-0.00862183648147356
PC.Mental Rotation,-0.008893346396381542
BD.Action.Inhibition,-0.009083320032910108
RT.Micturate,-0.00918865565131197
BD.Emotion.Happiness.Humor,-0.009188655651312055
Instruct.Imagine,-0.009587047307826944
PC.Sequence Recall/Learning,-0.009615338998781784
PC.Divided Auditory Attention,-0.009697519040182274
PC.Meditation,-0.00992553229368303
ST.Scenes,-0.009925532293683046
PC.Affective Pictures,-0.010256152954130602
BD.Interoception.Sleep,-0.010274814147468607
ST.Faces,-0.010351627865641994
PC.Lexical Decision,-0.010600436902242336
PC.Gambling,-0.010680200744854035
PC.Face Monitor/Discrimination,-0.010931626235153659
PC.Naming (Overt),-0.010983026914861251
ST.Tools,-0.011049703985174327
BD.Perception.Audition,-0.011652577631852857
RM.Leg,-0.01186561124532095
PC.Figurative Language,-0.011902666485215345
ST.Abstract/Geometrical,-0.011946260203578103
BD.Emotion.Anger,-0.011994375336018617
RM.Torso,-0.012445573337570692
ST.Acupuncture,-0.012518363899453416
SM.Interoceptive,-0.01259454446602722
ST.Stories,-0.0129294663895556
PC.Hypercapnia,-0.01299982909562622
BD.Interoception.Respiration Regulation,-0.01299982909562622
PC.Acupuncture,-0.01300808520255056
PC.Emotion Induction,-0.013271221949293324
BD.Cognition.Language.Syntax,-0.013374236193778595
RT.Flexion/Extension,-0.01344180040454798
PC.Syntactic Discrimination,-0.013871276285500013
PC.Object Manipulation/Discrimination,-0.014130028931971817
RT.Swallow,-0.014450278319915777
ST.Music,-0.014472442208752349
PC.Flashing Checkerboard,-0.014537108568280215
RT.Saccades,-0.014562313886688626
BD.Interoception.Thirst,-0.014617694529450265
RT.Draw,-0.01483057974346809
PC.Paired Associate Recall,-0.015011768494510113
RT.Drink,-0.015253307400666084
BD.Perception.Vision.Shape,-0.015335580794155658
PC.Video Games,-0.015477963094404936
ST.Inhalation,-0.01547796309440494
PC.Hunger/Satiety,-0.015621409210621332
RM.Ocular,-0.015823409276686087
PC.Self-Reflection,-0.015927736968518184
PC.Drawing,-0.016124725568360514
BD.Action.Rest,-0.016174857513768067
BD.Perception.Vision.Motion,-0.01712568240304086
PC.Affective Words,-0.0172073075780363
PC.Transcranial Magnetic Stimulation,-0.017924209736346886
RM.Pelvis,-0.018010434029516752
PC.Pitch Monitor/Discrimination,-0.018080486137058236
BD.Emotion.Fear,-0.01812374327865663
ST.TMS,-0.018301111207355805
PC.Micturition,-0.01877964017433449
PC.Saccades,-0.01888066085266539
BD.Emotion.Anxiety,-0.019689632326983033
SM.Auditory,-0.019890094793244797
ST.Pain,-0.02016691847433293
BD.Cognition.Memory,-0.02072814855702972
PC.Rest,-0.02095220347066187
RM.Arm,-0.02130800309453581
BD.Interoception.Bladder,-0.0215875018666327
PC.Flexion/Extension,-0.021655383672196427
ST.Sounds (Environmental),-0.02356240411201166
PC.Deception,-0.023591948085100758
SM.Olfactory,-0.023911249495069623
PC.Taste,-0.02393590355198972
PC.Grasping,-0.024105797041728574
SM.Gustatory,-0.024129036780440847
ST.Food,-0.024796917978161345
ST.Odor,-0.025359241942957467
BD.Perception.Olfaction,-0.026116960096215287
Contrast.Session,-0.02626955370991173
PC.Olfactory Monitor/Discrimination,-0.02664601196837912
