feature,r
LDA100_abstract_weight__21_reading_words_word,0.13254639433437504
LDA100_abstract_weight__45_memory_working_wm,0.11116444704127089
LDA100_abstract_weight__65_task_switching_rule,0.08468667608856038
LDA100_abstract_weight__23_semantic_words_word,0.08010293722793463
LDA100_abstract_weight__36_task_difficulty_demands,0.07886890235477197
LDA100_abstract_weight__14_conflict_interference_control,0.06646313669339717
LDA100_abstract_weight__12_language_comprehension_sentences,0.06611231664628109
LDA100_abstract_weight__73_parietal_frontal_inferior,0.06534193525232251
LDA100_abstract_weight__11_task_cognitive_performance,0.052726581905601935
LDA100_abstract_weight__95_adults_age_older,0.04881327151539002
LDA100_abstract_weight__94_network_control_frontoparietal,0.04462601142190015
LDA100_abstract_weight__49_attention_attentional_task,0.0433012300532362
LDA100_abstract_weight__18_number_numerical_numbers,0.0421663795455929
LDA100_abstract_weight__55_representations_representation_abstract,0.04024854466128351
LDA100_abstract_weight__15_mirror_observation_imitation,0.037876454226073206
LDA100_abstract_weight__72_memory_encoding_hippocampus,0.034963119879821626
LDA100_abstract_weight__4_term_long_repetition,0.03479034345165377
LDA100_abstract_weight__87_dorsal_ventral_stream,0.03419393614842954
LDA100_abstract_weight__28_phase_problem_problems,0.03363215403782269
LDA100_abstract_weight__43_prefrontal_cortex_pfc,0.033241187320858144
LDA100_abstract_weight__56_response_stimulus_trials,0.030978694243861935
LDA100_abstract_weight__32_object_objects_visual,0.03081652726125159
LDA100_abstract_weight__34_hemisphere_hemispheric_lateralization,0.030806773647049226
LDA100_abstract_weight__99_sulcus_intraparietal_ips,0.028733294330140522
LDA100_abstract_weight__39_mechanisms_provide_network,0.024751744501434764
LDA100_abstract_weight__13_action_actions_smokers,0.02258831379196746
LDA100_abstract_weight__48_learning_training_sequence,0.0225106678621265
LDA100_abstract_weight__1_gyrus_frontal_middle,0.021983053049662304
LDA100_abstract_weight__76_memory_recognition_items,0.02145569047088235
LDA100_abstract_weight__16_deaf_hearing_sign,0.020817840082185513
LDA100_abstract_weight__31_speech_auditory_production,0.018036930585019106
LDA100_abstract_weight__96_patterns_cortex_common,0.01519041002012431
LDA100_abstract_weight__24_music_musical_musicians,0.01126349587915349
LDA100_abstract_weight__19_judgments_judgment_ppc,0.010975776074664781
LDA100_abstract_weight__93_time_reaction_times,0.010951171400530986
LDA100_abstract_weight__9_imagery_mental_events,0.010536463978158633
LDA100_abstract_weight__79_spatial_cues_cue,0.009789025186361051
LDA100_abstract_weight__53_decision_making_risk,0.006727334568331115
LDA100_abstract_weight__29_integration_human_order,0.005697390478910868
LDA100_abstract_weight__50_perceptual_perception_interaction,0.004674346231969847
LDA100_abstract_weight__44_target_detection_targets,0.003156348999599647
LDA100_abstract_weight__42_context_influence_modulation,0.0029120515384245095
LDA100_abstract_weight__68_motor_movement_cortex,5.1347732006572275e-05
LDA100_abstract_weight__89_inhibition_response_control,-0.0018478967347752145
LDA100_abstract_weight__84_children_adolescents_age,-0.0020210614888595568
LDA100_abstract_weight__38_stroke_lesion_lesions,-0.0027171758685203755
LDA100_abstract_weight__64_ms_spatial_virtual,-0.003092245309274401
LDA100_abstract_weight__25_feedback_error_learning,-0.0036831010020516755
LDA100_abstract_weight__6_eye_gaze_saccade,-0.004735292679676617
LDA100_abstract_weight__27_epilepsy_lobe_temporal,-0.004901697678663573
LDA100_abstract_weight__41_memory_retrieval_episodic,-0.004914926181228189
LDA100_abstract_weight__97_visual_motion_auditory,-0.009325452612633003
LDA100_abstract_weight__37_temporal_superior_posterior,-0.009404292477367685
LDA100_abstract_weight__71_reasoning_mind_mental,-0.009570739859090375
LDA100_abstract_weight__62_scenes_scene_ppa,-0.010168136512737928
LDA100_abstract_weight__22_sd_taste_reliability,-0.010256253799813656
LDA100_abstract_weight__35_regulation_emotion_reappraisal,-0.012090555678959143
LDA100_abstract_weight__51_light_mechanisms_underlying,-0.01412009820838505
LDA100_abstract_weight__17_human_humans_animal,-0.014288124151729453
LDA100_abstract_weight__59_cerebellar_cerebellum_timing,-0.014299470200058353
LDA100_abstract_weight__81_auditory_sounds_sound,-0.017144677391407126
LDA100_abstract_weight__86_women_men_sex,-0.018452779661543673
LDA100_abstract_weight__47_magnetic_resonance_high,-0.01914057966256677
LDA100_abstract_weight__3_individual_variability_level,-0.019933145455847696
LDA100_abstract_weight__10_schizophrenia_symptoms_risk,-0.020106321277845052
LDA100_abstract_weight__74_placebo_ocd_dopamine,-0.020596325944172576
LDA100_abstract_weight__63_insula_anterior_autonomic,-0.021519650516732783
LDA100_abstract_weight__20_pd_basal_ganglia,-0.02183841887891435
LDA100_abstract_weight__92_social_empathy_moral,-0.022473951695000615
LDA100_abstract_weight__70_pattern_patterns_classification,-0.022517138027332007
LDA100_abstract_weight__57_face_faces_fusiform,-0.023370101589017866
LDA100_abstract_weight__80_pictures_images_aversive,-0.025182901350827097
LDA100_abstract_weight__46_stimulation_tms_acupuncture,-0.0259858514556237
LDA100_abstract_weight__54_adhd_food_weight,-0.026444912647395128
LDA100_abstract_weight__85_visual_cortex_early,-0.027003103590115082
LDA100_abstract_weight__8_sleep_body_bodies,-0.027755596796077354
LDA100_abstract_weight__52_white_matter_structural,-0.027815377628186925
LDA100_abstract_weight__30_emotional_negative_positive,-0.028876353018552244
LDA100_abstract_weight__0_group_control_age,-0.029832399828121567
LDA100_abstract_weight__98_treatment_baseline_therapy,-0.03087178135628944
LDA100_abstract_weight__33_reward_striatum_ventral,-0.0314823166815939
LDA100_abstract_weight__66_allele_genetic_gene,-0.03177764730702145
LDA100_abstract_weight__88_cbf_cerebral_perfusion,-0.03259091976686225
LDA100_abstract_weight__75_stress_alcohol_users,-0.033210934048980956
LDA100_abstract_weight__83_cortex_anterior_cingulate,-0.035408590592746876
LDA100_abstract_weight__82_somatosensory_stimulation_tactile,-0.03724841697965827
LDA100_abstract_weight__61_caudate_ofc_thalamus,-0.03792009298701077
