Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
BD.Cognition.Social Cognition,9.134106328523295e-06,4.436717443273416,7.105818321195861,1.655553942249034e-09,6.028434571621895,0.028596494978514256
BD.Emotion,0.011351776173246342,2.5316793039494145,2.1356473434280083,0.018388204478905268,2.3577069126512566,0.037526326495165435
RT.Button Press,0.06427686856543346,1.8502545599670626,1.3884925912640382,0.03721918897212648,2.0833515732873598,0.07523979500276351
ST.Pictures,0.020389412739042267,2.319103726966579,1.9421461745294548,0.051722326433427564,1.9454376551833652,0.03873116537380921
RM.Hand,0.09312562416182824,1.6791355759143425,1.3127986517299497,0.0549422569773217,1.919332582902554,0.07887779893413382
ST.Words,0.04755166589881954,1.9813533097162468,1.5728635058893399,0.08854535640107898,1.703121375948922,0.04948933185759204
SM.Visual,0.23198899152851382,1.1952509653702044,1.1362483667778234,0.14922450812253246,1.442276070218519,0.08418705152897223
BD.Cognition,0.07117165538851677,1.8043806434294598,1.7433122696155874,0.22329373881788564,1.2178164312251711,0.020622720033802402
Instruct.Discriminate,0.12198258661047368,1.546505277089747,1.325290426883252,0.3062959127152647,1.0230252388585555,0.054421765481344773
PC.Whistling,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Ocular,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Wisconsin Card Sorting Test,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Leg,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Generation (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Foot,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Generation (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.n-back,1.0,0.0,2.348949002217295,1.0,0.0,0.007616635407690827
RM.Oral/Facial,1.0,0.0,0.31611840534733826,1.0,-0.0,0.003755766421633591
PC.Writing,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Stem Completion (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Stem Completion (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Arm,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Other,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Pursuit/Tracking,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Pelvis,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Shoulder,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Torso,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Unknown,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Wrist,1.0,-0.0,0.0,1.0,-0.0,0.0
