Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
LDA50_abstract_weight__8_mpfc_social_medial,0.0021076429292665733,-3.0746293669195364,1.4823173517445303,0.0036797553240304954,2.9043848515337762,0.016300190253952122
LDA50_abstract_weight__1_anxiety_trait_personality,0.001302908981306694,-3.215338250279079,1.674640083639472,0.024864296245163994,2.243504558330713,0.012273590542608808
LDA50_abstract_weight__0_network_state_resting,0.022744266901560173,2.277703200922399,1.2044581734210467,0.03088199709527229,2.1585898990111048,0.033007780847563464
LDA50_abstract_weight__3_cortex_anterior_cingulate,0.028741997120316,2.1870072173885116,1.1580778748419025,0.03379471231187375,2.122512640900097,0.04807952124987464
LDA50_abstract_weight__28_social_empathy_moral,0.025086059240727376,-2.240074922974453,1.3445299550257819,0.051082217752749556,1.9507884383483858,0.0122821340133996
LDA50_abstract_weight__49_depression_mdd_state,0.0012290850805357634,-3.2320431191511934,1.6462040856015363,0.08794337570611378,1.706347625984284,0.014340590977280998
LDA50_abstract_weight__31_model_models_prediction,0.04861481347735308,-1.9719543896644556,1.2492488928891419,0.1093790214389646,1.6009905083432725,0.015178535218154652
LDA50_abstract_weight__18_number_ips_numerical,0.08601519398500423,-1.7168028832132367,1.2973008180751766,0.1582765714667483,1.4108916268228082,0.006623088547973485
LDA50_abstract_weight__23_asd_autism_group,0.1488272627656404,-1.443686207955049,1.2222705189667922,0.17413495519442143,1.3590367135762476,0.005408940884669539
LDA50_abstract_weight__30_decision_making_risk,0.07026315741146649,-1.8102104517612911,1.253921815515428,0.18480423024695505,1.3261070832769644,0.011237789644100712
LDA50_abstract_weight__13_fear_threat_smokers,0.07669805670792362,-1.7701746151999838,1.3021577384767637,0.2455523212223572,1.161220300381773,0.007634906657301309
LDA50_abstract_weight__35_schizophrenia_risk_genetic,0.3448575567200054,-0.9446109067584904,1.054297599920288,0.31697375470056455,1.0006960974521328,0.009219567689955865
LDA50_abstract_weight__20_control_conflict_task,0.13054643849705383,-1.511950567271073,1.1543522383506493,0.337731498202783,0.9586571371955028,0.015518153687017254
LDA50_abstract_weight__7_reward_feedback_striatum,0.09198528493308233,-1.6850170348634506,1.202660012897765,0.34129362653487605,0.9516123289566,0.013942177328722806
LDA50_abstract_weight__41_imagery_mental_events,0.23720133631808227,-1.1820109997514445,1.1087137532463969,0.3759097899451108,0.8854577634343874,0.009448248692658855
LDA50_abstract_weight__33_memory_retrieval_encoding,0.23266840550990342,1.1935133025639515,1.0727646351031255,0.3935635052519272,0.8531727630983519,0.02508790077873029
LDA50_abstract_weight__14_disease_ad_pd,0.11784435234683355,-1.5638859596695203,1.2108268289077808,0.41367609470907307,0.8174416277209466,0.009792054985658723
LDA50_abstract_weight__26_emotional_amygdala_negative,0.18782298687821464,1.3170466536079752,1.0726677142205436,0.4556637302734028,0.7460060998136154,0.04108400333458284
LDA50_abstract_weight__21_matter_volume_structural,0.25394134213851727,-1.140828394215258,1.0860592660149269,0.48385157980236104,0.700121260054326,0.01598018666182594
LDA50_abstract_weight__36_placebo_treatment_dopamine,0.09872904029243212,-1.6510466959819818,1.2546641368018572,0.5281041660995163,0.6309026697849291,0.008789965243498708
LDA50_abstract_weight__39_stimulation_tms_bpd,0.15103820841777005,-1.4358739635940332,1.2195923802798025,0.5831272771393115,0.5488224863146094,0.006396298478349679
LDA50_abstract_weight__24_age_adults_older,0.20604919328858684,1.2645039794597275,1.0865105931743602,0.6107519243812992,0.5090004276158232,0.024095297891487524
LDA50_abstract_weight__45_motion_perception_visual,0.2697812073350625,-1.1035665517294917,1.0975784033197449,0.7267953213700377,0.34939162307567,0.00808707375484798
LDA50_abstract_weight__29_stress_ptsd_trauma,0.09907616854076473,-1.6493489413208968,1.3096693121729026,0.7418763877357759,0.329369540448991,0.006481850542864134
LDA50_abstract_weight__38_semantic_category_representations,0.43026179252689534,-0.7887437487673209,1.0115966873057205,0.7967959508402602,0.25749593772088075,0.0181884695499687
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.3596881641411447,0.915959448918288,1.0226245856273497,0.8859011476963322,0.143492609398135,0.055525023461935955
LDA50_abstract_weight__27_disorder_adhd_group,0.23052675810336176,-1.199003053979223,1.1089349905349115,0.92905790197813,0.08903020919236766,0.011959456741411469
LDA50_abstract_weight__47_attention_attentional_target,0.4310583910997656,0.7873818110814889,1.0103978126862214,0.9505398487226353,0.06202886071296716,0.03353501917545429
LDA50_abstract_weight__12_women_men_sex,0.3557191709067695,-0.9235528521927809,1.051929515830697,0.979002989039455,0.02631888880766913,0.004977585482226046
LDA50_abstract_weight__40_face_faces_facial,0.5433995710548531,-0.6076802400268181,0.9657396098663487,0.8341954699290776,-0.2093238046817173,0.010603534807525941
LDA50_abstract_weight__4_stimulus_time_repetition,0.5809251557292687,-0.5520338588015085,0.9668960137983589,0.6026935642974496,-0.5205309466935912,0.019987616077364514
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,0.5541500263725119,-0.591552892815851,0.968215434668377,0.5630496720549932,-0.5783176622215493,0.012589576936369182
LDA50_abstract_weight__22_method_group_approach,0.4966872966740076,0.6797112730306466,0.9979820528196457,0.5298688099624893,-0.6282062905472914,0.07426102219419382
LDA50_abstract_weight__10_food_taste_weight,0.5682075785531003,-0.5706932744907355,0.8814086977380421,0.4664827805420617,-0.7282137002961261,0.0028099445924593494
LDA50_abstract_weight__46_hemisphere_language_stroke,0.7096439914292062,-0.37233426285608767,0.8975198043568111,0.3648344787171901,-0.9061915425625574,0.010389746054380205
LDA50_abstract_weight__44_eye_sleep_gaze,0.805316703359423,-0.24647222401511065,0.7764491170938834,0.363550365959182,-0.9086207191776685,0.0040808355041244086
LDA50_abstract_weight__32_pain_somatosensory_stimulation,0.9238332363398092,-0.09560633161288998,0.7236803501551619,0.3403861357972641,-0.9534025778737593,0.005178884197422304
LDA50_abstract_weight__34_frequency_hz_ms,0.6182271383483251,-0.49836452166142714,0.932359214157883,0.33579807631098635,-0.962500850230984,0.010330564247888224
LDA50_abstract_weight__11_learning_training_practice,0.8755336018115665,-0.15663362359853109,0.825397470296378,0.2414558285383719,-1.1713557062857927,0.010930347405938335
LDA50_abstract_weight__6_auditory_speech_temporal,0.876966924810186,-0.15481530529438375,0.8079245563149885,0.2194950356472612,-1.2278719636080893,0.009082409987764254
LDA50_abstract_weight__16_response_inhibition_control,0.8656517640647698,-0.16918419128993226,0.8033606904755801,0.2134219802404998,-1.2442108263495595,0.008077398442303556
LDA50_abstract_weight__9_memory_working_wm,0.9174200039511805,-0.10368415172611051,0.7950621471284999,0.1544669745009618,-1.4239291778058039,0.010665999605620754
LDA50_abstract_weight__42_visual_cortex_sensory,0.8786782908852327,0.15264493033553747,0.8782604635720361,0.09884539572082429,-1.6504770880498674,0.024641148141169657
LDA50_abstract_weight__37_language_reading_word,0.9792422322711488,-0.026018939195032256,0.7488235362792176,0.05647869072218489,-1.9073236404529876,0.013038118000375735
LDA50_abstract_weight__17_motor_cortex_hand,0.9945032776342212,-0.006889174343740295,0.7294824474282773,0.056318077545978,-1.9085661853850482,0.015551442602190846
LDA50_abstract_weight__25_spatial_body_human,0.9903167015115818,-0.01213651282595966,0.7079301005950398,0.01837658430403286,-2.357941587689245,0.011911813560839717
LDA50_abstract_weight__19_action_actions_observation,0.9990906602226691,-0.001139688645273804,0.523191473033117,0.006707431227360617,-2.7110312111370503,0.005105887000821037
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.48428038907466764,0.6994347312259233,1.0,0.15729920705028105,,0.08009610277439064
LDA50_abstract_weight__15_task_performance_cognitive,0.48428038907466764,0.6994347312259233,1.0,0.15729920705028105,,0.08009610277439064
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.48428038907466764,0.6994347312259233,1.0,0.15729920705028105,,0.08009610277439064
