Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
BD.Cognition.Social Cognition,3.310743158809841e-11,6.6320420098380835,0.012374495177955473,1.655553942249034e-09,6.028434571621895,0.9007637608638399
PC.Deception,0.21485519371697198,1.2403250417082348,0.020745721147512743,8.216040341832723e-06,4.459475657924289,0.9269752106484308
PC.Theory of Mind,0.0006871545686075079,3.3946537016484766,0.011614045376442506,2.0738109932103036e-05,4.256792029946147,0.8785983954695611
ST.Inhalation,0.8764857515423521,0.15542566592471846,0.030985328828620352,5.921340073533115e-05,4.015923745897903,0.9492158327109784
PC.Self-Reflection,0.8766666089287503,0.15519624442968163,0.029351548269581054,0.00010044522626915508,3.8895138745901927,0.9463820280501428
Contrast.Group,0.02057817436825268,2.3156355817239627,0.01202985141887185,0.0001688507300390433,3.761569142236689,0.8780973192336208
BD.Interoception,0.8772206399178343,0.15449349495538428,0.024301869236917132,0.0005200775386748246,3.4701965998042854,0.9352067738372807
BD.Emotion.Sadness,0.21631995355923567,1.2363729837593687,0.013426127164716924,0.0009164521601982532,3.3149936207386186,0.8866862170087977
BD.Emotion.Anxiety,0.8782860519489638,0.15314230857286207,0.014398629601154588,0.014170120247329545,2.4529216411316286,0.8903981264637002
PC.Rest,0.8782860519489638,0.15314230857286207,0.014398629601154588,0.014170120247329545,2.4529216411316286,0.8903981264637002
PC.Oddball Discrimination,0.8783523818148006,0.15305819638668983,0.01377365391649181,0.017562284256522377,2.374719634823285,0.8853948287910551
BD.Emotion,1.5933725352079953e-18,8.782882746376565,0.00455778591524137,0.018388204478905268,2.3577069126512566,0.7201469687691366
PC.Delay Discounting,0.8783831409849522,0.15301919138291856,0.01348350154428302,0.019409599088692248,2.3375693574027547,0.8829132303403415
PC.Reasoning/Problem Solving,0.21731735546419617,1.233692913764291,0.008430294055426274,0.025066654924667392,2.2403739666509264,0.8180677540777918
RT.Button Press,2.899882754052022e-85,19.56797292901801,0.0031254025661732214,0.03721918897212648,2.0833515732873598,0.7189234706879549
ST.Pictures,1.5980209858521622e-18,8.782555201565128,0.004206307174926716,0.051722326433427564,1.9454376551833652,0.6875462794462782
RM.Hand,1.0503600267691692e-94,20.646462076091566,0.0029791294907110643,0.0549422569773217,1.919332582902554,0.7160164768597044
BD.Cognition.Memory,0.8787135391251599,0.15260023568695158,0.010353791148052044,0.05818545983953693,1.894298049048124,0.8472191199463927
BD.Cognition.Soma,0.8787447592156972,0.1525606489726926,0.010056854752199099,0.06472018155299378,1.8471860424853923,0.8426666666666667
ST.Words,2.8584172120890097e-33,12.017989539165406,0.0036968831409472276,0.08854535640107898,1.703121375948922,0.6610952416348982
PC.Encoding,0.21768923780877428,1.2326959114542486,0.006569993978489978,0.0896740081012506,1.6971198288754454,0.7648600051374261
BD.Interoception.Sexuality,0.8789246477963465,0.15233255698531892,0.008342170946213753,0.12098894418664047,1.5506359816335062,0.8099518459069021
BD.Cognition.Reasoning,0.21778036380388766,1.2324517929910157,0.006115240218075893,0.12322091146780362,1.5413940491723366,0.7466934875534322
SM.Visual,4.239030175109444e-115,22.803435473520775,0.002708370377348219,0.14922450812253246,1.442276070218519,0.7025571543725454
BD.Emotion.Disgust,0.8790011281874184,0.1522355851135882,0.007611397972843756,0.1590945251319095,1.4081234271152168,0.7914572864321608
PC.Stroop-Color Word,0.8790300025879585,0.15219897473343416,0.00733526831078902,0.1766864671006203,1.3510279888162302,0.7834923268353381
PC.n-back,0.21790217155431035,1.2321255954835812,0.005508726138837334,0.1892331613678234,1.31285099857554,0.7175105587649886
Instruct.Choose,0.8790861131537626,0.15212783170490293,0.006798369109138289,0.2172205355597341,1.2339526854983254,0.7661151152167293
BD.Cognition,7.900301314386869e-06,4.467868040492387,0.004196654284682454,0.22329373881788564,1.2178164312251711,0.6454091432961966
