feature,r
BD.Cognition.Social Cognition,0.07239980223575129
ST.Stories,0.07131188654333268
BD.Emotion,0.06040359172130293
BD.Emotion.Anxiety,0.05752588165517955
PC.Reward,0.0574428105236845
PC.Theory of Mind,0.057024356610410644
BD.Cognition,0.054142430253108595
PC.Self-Reflection,0.05139670637272874
BD.Emotion.Sadness,0.049692107553014016
BD.Emotion.Fear,0.04483290642546561
ST.Words,0.04365919525668681
PC.Autobiographical Recall,0.03430072797562212
BD.Interoception.Sexuality,0.03336348124802241
Instruct.Choose,0.032783485374655044
PC.Delay Discounting,0.029029425762278637
SM.Visual,0.02900877810123065
RT.Button Press,0.027914450105839095
PC.Deception,0.02674256788095093
ST.Faces,0.024465919533451945
BD.Interoception.Bladder,0.021699954205464014
PC.Classical Conditioning,0.019999463689770347
Contrast.Group,0.019231583861532058
ST.Inhalation,0.018687350821834117
PC.Encoding,0.017870134280999105
ST.Infusion,0.01722640903327156
ST.Pictures,0.01720107230402302
PC.Face Monitor/Discrimination,0.017011834606647493
PC.Stroop-Color Word,0.01695728573520854
PC.Taste,0.016548762638789526
RM.Pelvis,0.016469756744383963
BD.Cognition.Memory,0.016432597816684665
BD.Emotion.Happiness,0.016424538382432224
PC.Micturition,0.01627694787489536
RM.Hand,0.016273091158162115
Contrast.External Variable,0.0146661522988913
PC.Rest,0.01454345136515763
BD.Interoception,0.014342524685986827
PC.Pain Monitor/Discrimination,0.013879647034443051
ST.Shapes,0.013661926775161004
Contrast.Experience Dependent Change,0.012828818600973525
Instruct.Encode,0.012727917118149013
PC.Oddball Discrimination,0.012586518400021576
BD.Perception.Somesthesis.Pain,0.012521278078047711
BD.Perception.Gustation,0.012321442731944096
Instruct.Discriminate,0.012288615079939225
BD.Emotion.Disgust,0.012195055678774906
ST.Sounds (Environmental),0.011862578296194972
RT.Drink,0.011549140912515736
BD.Cognition.Soma,0.011113697521705322
SM.Interoceptive,0.010626675194306734
PC.Tactile Monitor/Discrimination,0.01007151341905437
PC.Emotion Induction,0.009668866420091482
ST.Pseudowords,0.008831399284782843
Instruct.Inhibit,0.007441563835802178
BD.Pharmacology.Alcohol,0.006915759465759813
PC.Word Generation (Covert),0.006730175079431044
PC.Passive Viewing,0.0067219800226347715
ST.Heat,0.0066463649429214
Instruct.Recall,0.00655146067104053
ST.Faces and Scenes,0.006141344494556282
PC.Paired Associate Recall,0.005980097010257826
ST.Electricity,0.005778772233308613
PC.Pitch Monitor/Discrimination,0.005240115100727086
PC.Reasoning/Problem Solving,0.005073858504341147
PC.Wisconsin Card Sorting Test,0.004846468005495533
PC.Cued Explicit Recognition/Recall,0.004731532934192185
Instruct.Detect,0.004646826081247559
PC.Stroop-Emotional,0.0033231311352576545
BD.Cognition.Memory.Explicit,0.002946901254626102
ST.Dots,0.002910025003140331
BD.Cognition.Language,0.002609285002071113
PC.Tower of London,0.002179402393241177
PC.Stroop-Other,0.0013639935086425885
Instruct.Report,0.001344065604488477
PC.Film Viewing,0.0010595684094618233
RT.Manipulate,0.001000394470774483
BD.Action.Rest,0.0009021773348198028
PC.Semantic Monitor/Discrimination,0.0008588312112963998
ST.Pain,0.0008480119785079536
PC.Stroop-Counting,0.0008095578942746713
PC.Go/No-Go,-0.0007906464652633892
Instruct.Repeat,-0.001048310910565686
ST.Video,-0.0012236228866592338
BD.Action.Inhibition,-0.0013956869988224956
BD.Cognition.Language.Orthography,-0.0015196211450846935
Instruct.Name,-0.001549069663057032
PC.Affective Pictures,-0.001562086910861436
ST.Blurred disk,-0.0018160259918074367
Instruct.Answer,-0.0018713241836250322
BD.Pharmacology.Caffeine,-0.001957862140736845
ST.Interactive Computer Program,-0.0019578621407368457
ST.Interactive Computer Game,-0.0019578621407368457
PC.Multi-Tasking,-0.001957862140736846
RM.Wrist,-0.001957862140736846
Instruct.Maintain,-0.0019578621407368474
ST.Arrow,-0.001957862140736848
Instruct.Add,-0.001957862140736848
PC.n-back,-0.0019964181476479245
PC.Flanker,-0.0020938003368544313
BD.Interoception.Thermoregulation,-0.0027690163695359197
RT.Breath-Hold,-0.0027690163695359205
ST.Letters and abstract objects,-0.002769016369535922
ST.Spinner,-0.0027690163695359227
RM.Unknown,-0.002769016369535923
RT.Unknown,-0.002769016369535923
BD.Action.Motor Learning,-0.002824438651276087
PC.Episodic Recall,-0.002843762438823174
PC.Grasping,-0.0030227565771607473
BD.Interoception.Hunger,-0.0031059128616516152
Instruct.Sing,-0.003247889362307517
ST.Braille,-0.0033915605363695747
RM.Shoulder,-0.0033915605363695816
PC.Visual Motion,-0.0033915605363695864
PC.Cued Speech,-0.003391560536369598
PC.Fluency Induction,-0.003391560536369598
ST.Playing Cards,-0.0033915605363695985
Instruct.Predict,-0.0033915605363696016
ST.Instruction,-0.0033915605363696068
ST.Vignettes,-0.003391560536369609
PC.Lexical Decision,-0.003591460655316256
PC.Gambling,-0.0038299312312142756
ST.Syllables,-0.0038492515844670743
RT.Whistle,-0.003916493100673097
PC.Whistling,-0.003916493100673097
ST.Air Puff,-0.0039164931006731
ST.Abstract Patterns,-0.0039164931006731105
PC.Luminance,-0.003916493100673115
PC.Physical Size,-0.003916493100673115
PC.Music Production,-0.004001959247070664
PC.Recitation/Repetition (Overt),-0.004341900205704768
RT.Blink,-0.00437905903778767
PC.Thirst Induction,-0.004379059037787685
ST.Film Clip,-0.004379059037787699
RM.Other,-0.004379059037787706
PC.Trauma Recall,-0.004379059037787708
PC.Sexual Arousal/Gratification,-0.004475893301372788
BD.Cognition.Reasoning,-0.004559999863075474
BD.Emotion.Anger,-0.004684940981195579
BD.Interoception.Sleep,-0.004773940776649332
BD.Emotion.Happiness.Humor,-0.004797332885352711
PC.Driving,-0.004797332885352711
RT.Micturate,-0.004797332885352713
ST.Animations,-0.004797332885352717
PC.Word Stem Completion (Covert),-0.004797332885352717
PC.Magnitude Comparison (Non-symbolic),-0.0047973328853527265
ST.Cartoons,-0.004797332885352731
Instruct.Rate,-0.0049671087640221784
PC.Digit/Numerical,-0.005182051029447083
PC.Magnitude Comparison (Symbolic),-0.005182051029447083
PC.Hand-Eye Coordination,-0.0051820510294471045
ST.Scenes,-0.005182051029447136
PC.Meditation,-0.005182051029447145
PC.Phonological Discrimination,-0.005378076553946632
BD.Not Defined.,-0.005530465657555577
ST.Not Defined.,-0.005530465657555577
SM.Not Defined.,-0.005530465657555577
RM.Not Defined.,-0.005530465657555577
RT.Not Defined.,-0.005530465657555577
Instruct.Not Defined.,-0.005530465657555577
Instruct.Update,-0.005540208356024382
PC.Writing,-0.005540208356024455
BD.Action.Observation,-0.0057553078188909024
PC.Estimation,-0.0058641418121110804
Instruct.Experience,-0.005876663209442128
ST.Symbols,-0.005928921734270254
SM.Gustatory,-0.0059464938739977324
BD.Cognition.Attention,-0.006062160177034524
RM.Leg,-0.006194952688629811
ST.Reversed Speech,-0.006194952688629811
ST.Food,-0.0064837657557751845
ST.Uniform Screen,-0.006497746842964157
RM.Torso,-0.00649774684296417
ST.Tools,-0.006497746842964205
BD.Interoception.Respiration Regulation,-0.00678711989990697
PC.Hypercapnia,-0.00678711989990697
ST.Objects,-0.006993078100991795
RT.Write,-0.0070647212762996285
RT.Flexion/Extension,-0.007121054140339251
ST.Digits,-0.007263088750528469
PC.Word Stem Completion (Overt),-0.007331888226082196
PC.Sequence Recall/Learning,-0.007480828592590611
ST.Acupuncture,-0.007524367167751353
PC.Flashing Checkerboard,-0.007589722766746403
PC.Imagined Objects/Scenes,-0.007606332382867756
RT.Swallow,-0.007713230631494304
PC.Acupuncture,-0.007761630475718677
PC.Reading (Overt),-0.007873185327622453
BD.Action.Imagination,-0.008025429545843323
PC.Object Manipulation/Discrimination,-0.008080936338109839
PC.Video Games,-0.008080936338109863
BD.Perception.Vision.Color,-0.008296559270785119
BD.Interoception.Thirst,-0.008315760133791778
PC.Visuospatial Attention,-0.008368759491429881
PC.Orthographic Discrimination,-0.008461379271687592
PC.Hunger/Satiety,-0.008544191662246911
Instruct.Track,-0.008648898317221402
PC.Task Switching,-0.008670650015447218
BD.Cognition.Language.Semantics,-0.008697956703413898
PC.Divided Auditory Attention,-0.008747355993926021
PC.Isometric Force,-0.008766730643371499
PC.Recitation/Repetition (Covert),-0.008766730643371565
BD.Perception.Olfaction,-0.008880472762571411
ST.Mathematical Equation,-0.008983815004614447
PC.Affective Words,-0.008983815004614449
PC.Syntactic Discrimination,-0.008983815004614568
ST.Fixation Point,-0.00905969193405894
SM.Tactile,-0.009169530227142453
RT.Smile,-0.009195831074473415
PC.Mental Rotation,-0.009210379492247891
PC.Olfactory Monitor/Discrimination,-0.009225488370086434
ST.Odor,-0.009225488370086434
PC.Chewing/Swallowing,-0.009252316463542621
ST.Abstract/Geometrical,-0.009342162380502894
SM.Olfactory,-0.00956267882015585
PC.Anti-Saccades,-0.009605992854329235
ST.Numbers,-0.009804718862281188
RT.Grasp,-0.010522047037570667
Contrast.Stimulus Type,-0.010605713647102364
BD.Cognition.Language.Phonology,-0.010640921637440775
PC.Fixation,-0.010744057839256497
PC.Naming (Overt),-0.010780042643612878
Instruct.Generate,-0.010808441721428969
ST.Tactile Stimulation,-0.010840688464592378
BD.Cognition.Memory.Working,-0.010856775361989144
PC.Naming (Covert),-0.011033978083905736
PC.Figurative Language,-0.011270683824420494
Contrast.Session,-0.011404489076197566
PC.Transcranial Magnetic Stimulation,-0.011430838407065989
PC.Pointing,-0.011440929030897747
ST.Asian Characters,-0.011548919257063679
ST.TMS,-0.0115987596474817
Instruct.None,-0.01160872158127061
PC.Drawing,-0.012088799559640274
BD.Action.Preparation,-0.012098396521604254
RT.Draw,-0.012247876245755783
ST.False Font,-0.012674075759977184
PC.Reading (Covert),-0.012731115070000385
BD.Cognition.Time,-0.012857749506139129
RM.Arm,-0.013023680730883594
BD.Perception.Vision.Shape,-0.013029796971712837
PC.Tone Monitor/Discrimination,-0.013456175713978264
RM.Foot,-0.0135768480849241
PC.Music Comprehension,-0.013786155835255703
BD.Cognition.Music,-0.013877687023562674
PC.Imagined Movement,-0.014125731399772785
PC.Saccades,-0.014158310462597697
RT.Point,-0.014165692209879021
ST.Music,-0.01459283213980654
ST.Noise,-0.014723404687308535
PC.Delayed Match to Sample,-0.016078159365523134
Instruct.Attend,-0.01627613440053375
BD.Cognition.Language.Syntax,-0.017250150502669814
PC.Visual Pursuit/Tracking,-0.017602873518924783
RT.Saccades,-0.018131033006675387
BD.Perception.Vision,-0.018257789751075972
Instruct.Count,-0.018391792531102756
RM.Ocular,-0.018631174330542073
PC.Flexion/Extension,-0.01898691393790733
BD.Action.Execution.Speech,-0.01903768838445144
ST.Clicks,-0.019378334167902474
Instruct.Imagine,-0.02039188596390329
PC.Passive Listening,-0.020776504312999947
BD.Perception.Audition,-0.02125046526119804
ST.Letters,-0.021776581071617847
Instruct.Read,-0.021876430390944328
PC.Word Generation (Overt),-0.02205629211612065
RT.Speech,-0.02235128896278901
PC.Vibrotactile Monitor/Discrimination,-0.022425642005502854
ST.Vibration,-0.022513893476155126
PC.Visual Object Identification,-0.022768056518371917
BD.Perception.Somesthesis,-0.02286017003086059
BD.Cognition.Space,-0.0230994908855572
RT.Finger Tapping,-0.02360230036879308
BD.Cognition.Language.Speech,-0.023914570138895117
Instruct.Fixate,-0.024542023505434506
BD.Perception.Vision.Motion,-0.024807032097633776
PC.Finger Tapping/Button Press,-0.025003194192388
PC.Counting/Calculation,-0.02515545234307394
SM.Auditory,-0.02654109842049906
RM.Oral/Facial,-0.027865890734658345
RM.None,-0.029689745019693417
RT.None,-0.029822577410215937
ST.Tones,-0.030952316926131356
SM.None,-0.03347745531859102
ST.None,-0.03412735886589318
Instruct.Passive/Rest,-0.035344687460230825
Contrast.Stimulus Modality,-0.0398774085853878
Instruct.Move,-0.04084759825644733
Contrast.Response Type,-0.043240046324038675
BD.Action.Execution,-0.04787021945440288
Contrast.Response Modality,-0.04829230639166972
Contrast.Instruction,-0.04960679299770555
