feature,r
LDA400_abstract_weight__173_network_default_dmn,0.10212280410441338
LDA400_abstract_weight__70_mpfc_medial_prefrontal,0.08303207688150772
LDA400_abstract_weight__227_cortex_anterior_cingulate,0.06679442391267364
LDA400_abstract_weight__358_autobiographical_memories_memory,0.0478672910635585
LDA400_abstract_weight__366_mental_mentalizing_states,0.04715303591808705
LDA400_abstract_weight__63_negative_positive_valence,0.04684523556317218
LDA400_abstract_weight__236_social_cognition_interactions,0.0460038656294423
LDA400_abstract_weight__20_emotional_emotion_amygdala,0.045765889075653675
LDA400_abstract_weight__81_vmpfc_ventromedial_prefrontal,0.044905443486086945
LDA400_abstract_weight__67_cortex_lateral_prefrontal,0.03752989230869008
LDA400_abstract_weight__94_events_future_past,0.03670019139200874
LDA400_abstract_weight__370_acc_cingulate_anterior,0.03628463116685849
LDA400_abstract_weight__172_anterior_insula_cortex,0.036124533358727645
LDA400_abstract_weight__280_pcc_cingulate_precuneus,0.03528826161494842
LDA400_abstract_weight__272_retrieval_memory_episodic,0.034903177989196774
LDA400_abstract_weight__135_internal_external_intention,0.0337602116900884
LDA400_abstract_weight__56_cortex_prefrontal_orbitofrontal,0.029655881768198607
LDA400_abstract_weight__267_injury_tbi_traumatic,0.02950260685672216
LDA400_abstract_weight__105_motivation_avoidance_approach,0.029155582548523764
LDA400_abstract_weight__144_decision_making_choice,0.028651459474475723
LDA400_abstract_weight__39_dmpfc_balance_dorsomedial,0.026875314596098494
LDA400_abstract_weight__335_regulation_emotion_reappraisal,0.026787226886726127
LDA400_abstract_weight__62_familiar_unfamiliar_familiarity,0.02669470323450095
LDA400_abstract_weight__315_status_engaged_thought,0.026557924328818722
LDA400_abstract_weight__231_age_young_adults,0.02578502903895985
LDA400_abstract_weight__312_placebo_mg_blind,0.024905110661335245
LDA400_abstract_weight__298_asd_autism_spectrum,0.02409574394082127
LDA400_abstract_weight__224_limbic_amygdala_paralimbic,0.022516821487754916
LDA400_abstract_weight__183_moral_psychopathy_harm,0.02212923133946702
