Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
PC.Estimation,0.7699177624935192,-0.2924824681956706,0.09523299028016009,9.846007002543983e-10,6.111886715507088,0.9545966228893058
PC.Paired Associate Recall,0.002719172354679406,2.9978211069486833,0.03251113561667531,1.085120191257794e-08,5.716857532220339,0.8752473272034984
RT.Button Press,5.609439418770172e-225,32.020744741026476,0.008492085808754577,0.00042493403572706597,3.5240936482894316,0.7241424307175364
Instruct.Recall,3.906995951207764e-21,9.435079033825755,0.013236088734418235,0.0006652097251855349,3.4035305560595877,0.7143311089926915
BD.Emotion.Anxiety,0.7895070308671498,-0.2669508152982531,0.0299808467877905,0.004713181607906016,2.826009840635009,0.8552468788662693
RM.Hand,5.772216831084836e-225,32.01985225719446,0.008253350889046737,0.010050472180819996,2.574087948394176,0.671978589046128
ST.Heat,0.2977348096248086,1.0413032914027232,0.01875657774044357,0.011210433999727131,2.5360699471963386,0.7726757953258518
PC.Tower of London,0.32394581021914376,-0.9863817642526739,0.03772504806851949,0.0170787249521949,2.385008538501359,0.8835862388509208
Instruct.Sing,0.32394581021914376,-0.9863817642526739,0.03772504806851949,0.0170787249521949,2.385008538501359,0.8835862388509208
Contrast.External Variable,7.321729668378784e-12,6.851230759300945,0.012211319851621397,0.017566846355448196,2.374623753904972,0.6712395884370406
PC.Delayed Match to Sample,0.09162592804267952,1.6868826022213168,0.015658520803810423,0.02587560903153604,2.228073575943367,0.7290295971875798
PC.Music Production,0.3293080479569096,-0.9755085796480112,0.03380463121519261,0.028191644433981082,2.1946091805713888,0.8700513405590417
BD.Cognition,6.578863561773951e-14,7.496012269410237,0.011601822473301347,0.03048772268029382,2.16369555109343,0.6536874140159252
PC.Wisconsin Card Sorting Test,0.7916040397303303,-0.26422825555762525,0.02189397828872207,0.034547302570922485,2.1136250735173134,0.8013098130347522
BD.Cognition.Soma,0.791755598453361,-0.264031562030184,0.02130041836515769,0.040072546340563515,2.0530003213541423,0.7957192319798553
PC.Recitation/Repetition (Covert),0.3351984364185973,-0.9636958483231253,0.029394595303686214,0.049985670664384106,1.960086587331163,0.8504964855517126
SM.Visual,4.1401346558732765e-282,35.89153661422825,0.007701717783226694,0.06242330979735099,1.8632769612872149,0.6513395172671677
Instruct.Discriminate,2.3734077047010764e-104,21.693299165832958,0.009222392936965761,0.06431460521428929,1.8499926759331782,0.6091670097433786
BD.Cognition.Memory.Explicit,1.973912040895446e-05,4.2678214634691845,0.011724461079168195,0.09406796335006286,1.6743187912239437,0.6429027646826241
