feature,r
PC.Paired Associate Recall,0.0610946694079474
RT.Button Press,0.05433893361380825
ST.Interactive Computer Program,0.053117963823746506
ST.Interactive Computer Game,0.053117963823746506
BD.Action.Inhibition,0.04957767927197372
BD.Cognition,0.04691236823915995
PC.Reward,0.04317025444625885
BD.Emotion,0.04097010508617422
ST.False Font,0.04054158107251629
PC.Go/No-Go,0.04042479447981132
Contrast.External Variable,0.03826344894904198
Instruct.Recall,0.035611244424975146
RM.Hand,0.03534993868555628
PC.Estimation,0.03427652539949474
PC.Delay Discounting,0.033736195043902725
BD.Cognition.Memory.Explicit,0.03359529247584974
ST.Digits,0.033457867636876755
Instruct.Discriminate,0.03323005605295674
PC.Taste,0.03291434688034974
ST.Syllables,0.03091102942826203
Contrast.Stimulus Type,0.03052215041985254
ST.Pain,0.029932959115272762
SM.Visual,0.02777439333593599
ST.Blurred disk,0.027343462863314613
ST.Video,0.026200514130595712
BD.Perception.Gustation,0.024609781557715118
RT.Swallow,0.024572045324702963
BD.Perception.Somesthesis.Pain,0.02454874211919643
PC.Thirst Induction,0.023182419293356432
PC.Oddball Discrimination,0.021601819572005763
RT.Not Defined.,0.019353264092209978
SM.Not Defined.,0.019353264092209978
Instruct.Not Defined.,0.019353264092209978
BD.Not Defined.,0.019353264092209978
RM.Not Defined.,0.019353264092209978
ST.Not Defined.,0.019353264092209978
PC.Pain Monitor/Discrimination,0.018954081248777656
SM.Gustatory,0.018604187110004583
PC.Film Viewing,0.01812100417218008
BD.Emotion.Anxiety,0.01797385206552315
ST.Food,0.01782078510912776
PC.Tower of London,0.01734958939477795
BD.Cognition.Attention,0.017327589113885038
PC.Stroop-Other,0.017158771765140222
ST.Shapes,0.017135075104394215
PC.Recitation/Repetition (Covert),0.015007652369324647
Instruct.Sing,0.014909758138944303
PC.Delayed Match to Sample,0.01464090836969113
BD.Cognition.Soma,0.014051327179163922
PC.Meditation,0.013613655236563495
PC.Cued Explicit Recognition/Recall,0.013538728321467687
Instruct.Attend,0.012730292737621884
PC.Visuospatial Attention,0.01270296852850596
PC.Music Production,0.012622099323195178
ST.Letters,0.012499243597015828
Instruct.Encode,0.012232237205784272
BD.Cognition.Space,0.011279777283929033
ST.Heat,0.011080757949751843
RT.Drink,0.01098486867634914
BD.Emotion.Sadness,0.009965084725797454
Instruct.Repeat,0.009828589789340073
PC.Tone Monitor/Discrimination,0.009062072529806236
PC.Wisconsin Card Sorting Test,0.009045814390862194
BD.Cognition.Reasoning,0.00853829833498196
ST.Uniform Screen,0.008437809658335607
PC.Flanker,0.008423452072065905
BD.Cognition.Memory.Working,0.00753368584827705
BD.Action.Rest,0.007141404626981324
PC.Sexual Arousal/Gratification,0.006057000887218422
PC.Affective Pictures,0.005626209563416675
ST.Tones,0.005540244153702735
BD.Interoception.Sexuality,0.005434830438596006
