feature,r
LDA400_abstract_weight__172_anterior_insula_cortex,0.07270760455482897
LDA400_abstract_weight__131_inhibition_response_stop,0.0631957689331935
LDA400_abstract_weight__338_reward_striatum_monetary,0.06124239057730296
LDA400_abstract_weight__111_pictures_neutral_picture,0.05414544123014357
LDA400_abstract_weight__20_emotional_emotion_amygdala,0.052669694249449346
LDA400_abstract_weight__244_game_social_trust,0.045363509139468426
LDA400_abstract_weight__243_prefrontal_cortex_dorsolateral,0.04161077098981134
LDA400_abstract_weight__56_cortex_prefrontal_orbitofrontal,0.041138860419672865
LDA400_abstract_weight__189_risk_risky_taking,0.04110189126172093
LDA400_abstract_weight__58_autonomic_skin_arousal,0.038525882195515185
LDA400_abstract_weight__130_frontal_inferior_gyrus,0.03767396588997863
LDA400_abstract_weight__370_acc_cingulate_anterior,0.03706490938860585
LDA400_abstract_weight__101_feedback_negative_performance,0.03669193797548039
LDA400_abstract_weight__105_motivation_avoidance_approach,0.036656557396794534
LDA400_abstract_weight__266_ofc_orbitofrontal_cortex,0.036440736317640686
LDA400_abstract_weight__273_threat_fear_anxiety,0.035947454645432975
LDA400_abstract_weight__65_pfc_prefrontal_cortex,0.03447338033552895
LDA400_abstract_weight__43_task_recruitment_recruited,0.03425513541795303
LDA400_abstract_weight__260_social_partner_interaction,0.03192401234815895
LDA400_abstract_weight__296_effort_fnc_reporting,0.03172233184891112
LDA400_abstract_weight__32_fear_conditioning_extinction,0.03099692697029562
LDA400_abstract_weight__224_limbic_amygdala_paralimbic,0.030590276352487497
LDA400_abstract_weight__317_insula_disgust_insular,0.02906656968927954
LDA400_abstract_weight__335_regulation_emotion_reappraisal,0.028960268795408695
LDA400_abstract_weight__144_decision_making_choice,0.028851662937415746
LDA400_abstract_weight__112_error_errors_monitoring,0.02879252647056486
LDA400_abstract_weight__382_influence_cortex_influences,0.02786077156815836
LDA400_abstract_weight__8_arousal_subjective_ratings,0.02744997172597762
LDA400_abstract_weight__236_social_cognition_interactions,0.026924619016690535
LDA400_abstract_weight__21_strategies_strategy_strategic,0.026547295144718187
LDA400_abstract_weight__361_mechanisms_automatic_underlying,0.025195822890014874
LDA400_abstract_weight__151_loss_gain_losses,0.02461468507775438
LDA400_abstract_weight__312_placebo_mg_blind,0.024582431871725152
LDA400_abstract_weight__117_food_eating_weight,0.02412962133675634
LDA400_abstract_weight__314_people_person_situation,0.024016741127616027
LDA400_abstract_weight__222_interference_stroop_control,0.023764079853385828
LDA400_abstract_weight__310_common_suggest_overlap,0.023533191543127132
LDA400_abstract_weight__213_sexual_love_romantic,0.023410642826059494
LDA400_abstract_weight__72_cognitive_control_cognition,0.023333247903393434
LDA400_abstract_weight__254_empathy_social_empathic,0.023273417404053826
LDA400_abstract_weight__7_passive_viewing_listening,0.02306263332517095
LDA400_abstract_weight__196_uncertainty_ambiguous_ambiguity,0.022852618733155878
LDA400_abstract_weight__135_internal_external_intention,0.022621927104321555
LDA400_abstract_weight__306_understood_poorly_mechanisms,0.020829561354718463
LDA400_abstract_weight__143_taste_swallowing_gustatory,0.02078309331669112
