Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
SM.Auditory,0.014891878478915044,2.4349978428632135,1.7185303426269742,0.01163743335768496,2.522951852231475,0.02640957146464185
ST.Words,0.024882625085625554,2.243220094986001,1.4838334961220188,0.039468477222078024,2.0592689917731457,0.04266846130094708
BD.Cognition.Language.Speech,0.0381642744443601,2.0730860240159767,1.7955647156929877,0.045154526635324495,2.003212107629077,0.012471711917029796
PC.Semantic Monitor/Discrimination,0.022051476375732015,2.2894800391751735,2.076174989697002,0.08924533828556869,1.6993920532472953,0.013375097581211354
ST.Tones,0.08296884958986661,1.7337139528960228,1.6714799985862943,0.09107903379914038,1.6897330684368925,0.006871928230935239
BD.Emotion,0.0393064925638964,2.0609638127366177,1.5670368348004253,0.1064988370951361,1.6141318183010303,0.025164422867790373
Contrast.Stimulus Modality,0.12166067841098271,1.547840601721946,1.3525497697221809,0.13915700375307277,1.478937559632444,0.01668214687730639
Instruct.Generate,0.08345098363922698,1.7310043779215634,1.668800629098846,0.2598438730270455,1.1267602215544699,0.008698307975881451
RM.None,0.352602275709162,0.929553571638026,1.04901473163638,0.29316568921238495,1.051202295308324,0.042882226733100964
RT.None,0.35657350436142476,0.9219138689144748,1.0468798439653755,0.2958500768595912,1.0453741550648168,0.04283174206340664
BD.Cognition.Language.Semantics,0.08751742461567313,1.7086412401270423,1.516327295941006,0.3288704459127261,0.9763915932124388,0.014830293397355136
ST.Letters,0.15521108395928374,1.4213635959191715,1.3663115030368898,0.3951294277368129,0.8503519755790995,0.009954293095388792
Instruct.Discriminate,0.15106968461188064,1.4357633757143908,1.2021865265631821,0.43706608807731917,0.7771571017840591,0.04511642492528865
BD.Cognition,0.1610909984175235,1.401411690419151,1.3157073732947826,0.4986553353799308,0.676607001911928,0.014224313784871991
SM.None,0.27520945286616993,1.0911441627804095,1.131170002665154,0.5340584410729554,0.6218227260201208,0.015965599883708374
ST.None,0.2841004880331244,1.0711533394212083,1.121522713837325,0.5584324790247707,0.5851713916487062,0.016000209772541726
Contrast.Stimulus Type,0.44767053588645545,0.7593043166819874,1.0041509130643809,0.7130895513557771,0.367709908705816,0.06584187596009514
SM.Tactile,0.2130503710600511,1.245221419944242,1.25352613981878,0.7488807781737026,0.3201154972907865,0.009235371178001866
Contrast.External Variable,0.2233516848522752,1.21766399457499,1.2243686549592252,0.8208497122773393,0.2264522259379439,0.011372493692978358
PC.Reward,0.24524875501592125,1.161967282422114,1.1931844803661855,0.8740194093119372,0.15855509603688564,0.009419715953343488
RM.Leg,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Other,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Foot,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Arm,1.0,-0.0,0.0,1.0,-0.0,0.0
