Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
LDA200_abstract_weight__93_language_sentences_comprehension,3.2532628551185105e-05,4.154972768813973,1.722969440037105,3.177295840470211e-06,4.659012711657567,0.005234760382619554
LDA200_abstract_weight__145_mind_mental_social,8.879897231661715e-05,-3.9193204847388117,1.7084439463029815,9.643531603407969e-06,4.425015595905294,0.004668770191275043
LDA200_abstract_weight__73_ifg_gyrus_frontal,8.88293651858385e-05,-3.9192379995313047,1.7460660423979033,2.7512500304530982e-05,4.193135491235625,0.004457286567060657
LDA200_abstract_weight__159_inhibition_response_inhibitory,5.088847655088102e-05,4.051508502360894,1.7195755897686877,4.9760618952079834e-05,4.056748479987119,0.005266657414810846
LDA200_abstract_weight__66_emotional_negative_amygdala,0.000622194531978093,3.421750181920579,1.3905370150496148,0.00034984237639938806,3.5752881427304146,0.008976661598020396
LDA200_abstract_weight__137_regulation_emotion_reappraisal,0.005136305496876048,-2.7983585874523045,1.5480235392747534,0.005241067958890983,2.7918312617489094,0.0031115665188690845
LDA200_abstract_weight__193_mirror_video_imitation,0.06473351798227067,-1.847093999673562,1.2705391856757138,0.005770607728390614,2.7605389454670815,0.0026543053059936736
LDA200_abstract_weight__13_fear_conditioning_extinction,0.007428153577936358,-2.677013978638257,1.7170570396818994,0.006057103674383006,2.744673989180455,0.0017654690734320237
LDA200_abstract_weight__182_experience_subjective_ratings,0.004952779544855179,-2.8100890419485385,1.4299570321231165,0.007689607809423159,2.6654031467156285,0.004777416642433537
LDA200_abstract_weight__112_context_empathy_contextual,0.0038840855844285427,-2.8874255138076967,1.5765579805586825,0.00771650512695171,2.6642288324028027,0.00323341783489472
LDA200_abstract_weight__155_temporal_sulcus_superior,0.028505600521077423,-2.1902570406171,1.2922455365626082,0.014955600650248849,2.4334524252929635,0.004447730223355693
LDA200_abstract_weight__154_social_interactions_interaction,0.006945351807362443,-2.6994532263095854,1.4135586563536522,0.015120013397598844,2.4294916451560056,0.004657091924167262
LDA200_abstract_weight__75_asd_autism_group,0.04942559207097186,-1.964901906225543,1.3442899317068788,0.02238528024612567,2.2837661124915476,0.002258435540966509
LDA200_abstract_weight__30_events_future_personal,0.01844755371883333,-2.3565103468012207,1.5025271836804728,0.023948059480214796,2.2579615054150235,0.00222103634871929
LDA200_abstract_weight__133_pd_error_errors,0.00916138439880465,-2.6059723982167,1.645050165504975,0.0383093112356031,2.0715298142308676,0.0021714935787194647
LDA200_abstract_weight__61_individuals_people_group,0.0211953976144984,-2.3044856384956907,1.3200114689696405,0.05443790006315139,1.9233357304067031,0.004748501086887271
LDA200_abstract_weight__187_speech_auditory_temporal,0.09773949618624778,-1.6559127155702635,1.177802111515694,0.062192617503659835,1.8649200077795836,0.004635245076289769
LDA200_abstract_weight__47_parietal_network_fronto,0.1725923584763468,1.3639212294502492,1.102375825874059,0.06928768058588589,1.8165393293530725,0.006551201428646866
LDA200_abstract_weight__143_action_actions_observation,0.12275223002508373,-1.543323807357811,1.1720796721714908,0.0720281477955844,1.7989401549362884,0.00374004680481632
LDA200_abstract_weight__126_anxiety_aggression_anxious,0.016445504822547807,-2.3988755075429906,1.6080881396094735,0.08746243108529195,1.7089380191684738,0.0019341158318127564
LDA200_abstract_weight__138_real_virtual_reality,0.04875325596807967,-1.9707432049934328,1.3756952408606333,0.10023375398712041,1.643721445840436,0.0021798791066538945
LDA200_abstract_weight__43_conflict_interference_incongruent,0.07413077013943759,-1.785805412076533,1.2413805745794777,0.13057947535683365,1.5118207257865026,0.0035379792151671316
LDA200_abstract_weight__52_control_cognitive_task,0.04101092748317403,-2.0434195128116084,1.2588497790591497,0.13147308596996737,1.5083182835806708,0.00497824139627748
LDA200_abstract_weight__144_integration_process_task,0.05772849933247981,1.8977539703054873,1.1705139173479864,0.1342053481497968,1.4977225591958283,0.008526769271169021
LDA200_abstract_weight__115_face_faces_fusiform,0.12510980988335252,-1.5336742572391795,1.1757110324692046,0.13709126264968424,1.4867105970832826,0.0036394059151634507
LDA200_abstract_weight__139_faces_emotional_facial,0.04735819410167452,-1.98308268728356,1.2684842504893874,0.14103491337120824,1.4719480253563089,0.0042344844150331955
LDA200_abstract_weight__100_gestures_abstract_race,0.07424933270254441,-1.7850738884956858,1.3968761909214846,0.14352704744853098,1.462781972629267,0.001363876301803672
LDA200_abstract_weight__146_pain_painful_chronic,0.22963645971959434,-1.201295849902194,1.1196070635715323,0.163878114915271,1.3921462513771738,0.0023756325563289303
LDA200_abstract_weight__181_creative_creativity_generation,0.058392532721402324,-1.892739409714184,1.5216450275894802,0.18563268163816166,1.3236097612681976,0.0010955982241163838
LDA200_abstract_weight__172_verbal_fluency_overt,0.22707756973934856,-1.2079212114704596,1.1308414656411778,0.18603482144900532,1.3224005030435741,0.001992362158164253
LDA200_abstract_weight__88_network_frontoparietal_identified,0.2704816722752592,1.1019539957649642,1.0485021619193364,0.19010977156289202,1.3102544487775694,0.011544154256065505
LDA200_abstract_weight__7_single_trial_task,0.14902155104362202,-1.4429961667951627,1.1434051441328272,0.2331240766069177,1.1923498985270768,0.004428152079021461
LDA200_abstract_weight__173_touch_ct_tactile,0.17981258774281117,-1.3413322985400258,1.2385417917718058,0.2716080477520593,1.0993669335350362,0.0009491853508185051
LDA200_abstract_weight__128_prediction_error_outcome,0.06947996006723622,-1.815286060366855,1.2517232602534407,0.27310627865769305,1.0959371530104705,0.0036937680884990484
LDA200_abstract_weight__90_imagery_mental_rotation,0.41457510529320607,-0.8158689278004425,1.0166324740625017,0.28219200163525227,1.0754082235165672,0.0017966894828894745
LDA200_abstract_weight__113_network_global_local,0.0770711443964276,-1.7679387463899465,1.3143733394954211,0.28473509066456315,1.06974281067979,0.002222513831696131
LDA200_abstract_weight__18_color_shape_shapes,0.08167943247528275,-1.7410236534215164,1.34503007035465,0.2859629888067521,1.0670195923645438,0.001753452202939261
LDA200_abstract_weight__36_group_control_pattern,0.2204326447509748,-1.225378497386433,1.1046619742855988,0.2879615712139195,1.0626040023724823,0.0039015144036092532
LDA200_abstract_weight__64_attention_attentional_visual,0.17660212546338316,1.3512913386274708,1.0939765581398078,0.2968329505046926,1.0432490738880296,0.008124370095348575
LDA200_abstract_weight__28_memory_retrieval_episodic,0.3616446745689992,-0.9122356621065917,1.0405273956400782,0.30540458053794073,1.02491227845102,0.0030194593597489402
LDA200_abstract_weight__68_high_level_higher,0.06317940501203889,1.857926835015407,1.1705063134482012,0.32713260530049937,0.9799058291882458,0.008351135720261227
LDA200_abstract_weight__125_expertise_experts_ic,0.09679513825438602,-1.6605933858687034,1.4333003998581066,0.34970880341276234,0.9351542666893136,0.0009342630321053893
LDA200_abstract_weight__31_hearing_deaf_sign,0.16923712610416664,-1.3746591990835588,1.2994595403646496,0.3765428150459442,0.8842842003544511,0.0006662767410638151
LDA200_abstract_weight__111_memory_encoding_hippocampal,0.2774610952031632,1.0860404532417371,1.0673688462263147,0.4000104113808467,0.8416026394380987,0.005123435015831628
LDA200_abstract_weight__51_sustained_transient_monitoring,0.11963480817921623,-1.5563082601469667,1.3426457516167087,0.4134543949421129,0.8178297729182273,0.0011131894126912912
LDA200_abstract_weight__0_symptoms_severity_symptom,0.03721126601616742,-2.083438565901747,1.3890764527188724,0.41513604538827475,0.8148886590474077,0.002917097305375077
LDA200_abstract_weight__96_hd_psychopathy_fcd,0.18207776380347052,-1.3343848461428904,1.2530812553338315,0.43047634584272687,0.7883767849443677,0.0008543843482021735
LDA200_abstract_weight__65_recognition_correct_familiarity,0.18973036986248348,-1.3113771646260899,1.158584489885303,0.4346868966685369,0.7811965599773135,0.0023540626922976277
LDA200_abstract_weight__84_research_previous_important,0.4710492963652597,0.7207728271115631,1.001943161059447,0.45772886648445965,0.7425917802926154,0.03922383639333127
