feature,r
LDA50_abstract_weight__26_emotional_amygdala_negative,0.05425560160629572
LDA50_abstract_weight__16_response_inhibition_control,0.05349265398724996
LDA50_abstract_weight__37_language_reading_word,0.04052471715717718
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.038301889770698365
LDA50_abstract_weight__8_mpfc_social_medial,0.03345575333742007
LDA50_abstract_weight__28_social_empathy_moral,0.0315816122097204
LDA50_abstract_weight__3_cortex_anterior_cingulate,0.03109308335518978
LDA50_abstract_weight__6_auditory_speech_temporal,0.0309005994465413
LDA50_abstract_weight__32_pain_somatosensory_stimulation,0.02343710695591133
LDA50_abstract_weight__23_asd_autism_group,0.022709386646669064
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.02244562398473668
LDA50_abstract_weight__47_attention_attentional_target,0.01952347163527797
LDA50_abstract_weight__20_control_conflict_task,0.018706693185778063
LDA50_abstract_weight__19_action_actions_observation,0.015545452843350934
LDA50_abstract_weight__40_face_faces_facial,0.012834080077332648
LDA50_abstract_weight__13_fear_threat_smokers,0.009254555550311913
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.004683584079762639
LDA50_abstract_weight__30_decision_making_risk,0.004219188695442315
LDA50_abstract_weight__12_women_men_sex,0.0035774374150175947
LDA50_abstract_weight__41_imagery_mental_events,0.0015719574364943334
LDA50_abstract_weight__46_hemisphere_language_stroke,0.0004246842419441022
LDA50_abstract_weight__15_task_performance_cognitive,-0.0004025418665069819
LDA50_abstract_weight__4_stimulus_time_repetition,-0.002595120895760125
LDA50_abstract_weight__33_memory_retrieval_encoding,-0.003305759157918374
LDA50_abstract_weight__24_age_adults_older,-0.003410749606078846
LDA50_abstract_weight__1_anxiety_trait_personality,-0.004241849261348448
LDA50_abstract_weight__10_food_taste_weight,-0.004625173919477539
LDA50_abstract_weight__7_reward_feedback_striatum,-0.0050714670996753215
LDA50_abstract_weight__17_motor_cortex_hand,-0.005586695039100785
LDA50_abstract_weight__9_memory_working_wm,-0.006607290668776947
LDA50_abstract_weight__39_stimulation_tms_bpd,-0.006976606978109987
LDA50_abstract_weight__29_stress_ptsd_trauma,-0.01102406123098519
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,-0.012259342137666234
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.012683717003629517
LDA50_abstract_weight__27_disorder_adhd_group,-0.018044636737151596
LDA50_abstract_weight__35_schizophrenia_risk_genetic,-0.01808874991778996
LDA50_abstract_weight__11_learning_training_practice,-0.01826408943032802
LDA50_abstract_weight__14_disease_ad_pd,-0.018869818918522727
LDA50_abstract_weight__38_semantic_category_representations,-0.01969166905600936
LDA50_abstract_weight__31_model_models_prediction,-0.02014584934087154
LDA50_abstract_weight__0_network_state_resting,-0.021826196891300925
LDA50_abstract_weight__18_number_ips_numerical,-0.023037807818766798
LDA50_abstract_weight__44_eye_sleep_gaze,-0.025507509402640564
LDA50_abstract_weight__45_motion_perception_visual,-0.027351774257052642
LDA50_abstract_weight__22_method_group_approach,-0.031448142257524236
LDA50_abstract_weight__34_frequency_hz_ms,-0.0331199570527069
LDA50_abstract_weight__42_visual_cortex_sensory,-0.03715559355251208
LDA50_abstract_weight__49_depression_mdd_state,-0.04071865201177222
LDA50_abstract_weight__25_spatial_body_human,-0.044450137584035716
LDA50_abstract_weight__21_matter_volume_structural,-0.04839648709351438
