Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
PC.n-back,0.0012492902767494707,3.2273809202363655,4.317920959958262,0.00019730077603071413,3.7224477118994317,0.013794959004716273
RT.Button Press,0.009129215758453935,2.6071769934706666,1.5582927688334791,0.00042587221064630123,3.5235092629032,0.08319730122253698
SM.Visual,0.08513795834493798,1.7216223138963735,1.2532151104167168,0.003543060252638416,2.9162152022722156,0.09148582247201478
RM.Hand,0.032338420410382596,2.1402023120838103,1.3996750330944314,0.004040908352289141,2.8749505067656234,0.08285906411068988
ST.Shapes,0.025680935150756312,2.2310029266986033,1.812867578608431,0.010356603939447588,2.56368986448784,0.02472378978608293
Contrast.External Variable,0.005101623153032087,2.8005460277718734,2.5447662240328994,0.011707702682957259,2.5208341268896257,0.025482749435128623
BD.Cognition.Memory.Working,0.028508055281852518,2.190223175126141,2.071683354192741,0.023705755947297978,2.2618648291761145,0.014937732898215202
Instruct.Discriminate,0.03155826452228583,2.149961446137765,1.4991973154787916,0.045295806851064255,2.0018970328581407,0.060656382820758185
Instruct.Recall,0.059619728657555604,1.8835953697059973,1.6923248256472048,0.10937898889952741,1.6009906552546576,0.019211824994920027
BD.Emotion,0.0666161093576233,1.8342552780232881,1.5703289289911826,0.19371585171480188,1.2996648816400267,0.02718649943914546
BD.Cognition.Attention,0.15442660348948234,1.4240686394745503,1.347536226827623,0.25589679320985176,1.1361428282172907,0.018037299621842216
Contrast.Instruction,0.2877912840306217,1.0629794206414063,1.0971168185584093,0.2735974062175339,1.0948156556887467,0.052368468990837184
BD.Cognition,0.10052502381041839,1.642313630197393,1.5382167084843417,0.31776540886857607,0.9990604495528957,0.017928519596657665
ST.Pictures,0.29855691346011004,1.0395330113867884,1.1107045115773027,0.9734015602412248,0.033342377415500564,0.021823948762232245
RM.Arm,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Foot,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Other,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Leg,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Writing,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Stem Completion (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Stem Completion (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Generation (Overt),1.0,-0.0,1.9319269374416432,1.0,0.0,0.0031226684289488867
RM.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Ocular,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Oral/Facial,1.0,0.0,0.6973200117955991,1.0,-0.0,0.008162760753717056
BD.Action.Execution,1.0,0.0,0.5146359283671186,1.0,-0.0,0.004887009100485017
RM.Torso,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Pelvis,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Shoulder,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Wisconsin Card Sorting Test,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Unknown,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Wrist,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Blink,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Breath-Hold,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Draw,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Drink,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Finger Tapping,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Flexion/Extension,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Grasp,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Manipulate,1.0,-0.0,2.3073250627265125,1.0,0.0,0.0018355851591377568
RT.Micturate,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Generation (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Object Identification,1.0,-0.0,1.6573466833541928,1.0,0.0,0.0028253505306606685
PC.Whistling,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visuospatial Attention,1.0,-0.0,0.6237611636582884,1.0,-0.0,0.0026150597717767023
PC.Stroop-Color Word,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Sexual Arousal/Gratification,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Sequence Recall/Learning,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Semantic Monitor/Discrimination,1.0,0.0,0.9246829786045473,1.0,-0.0,0.006422154621502786
PC.Self-Reflection,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Saccades,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Reward,1.0,0.0,1.487971234339008,1.0,0.0,0.012664254711559469
PC.Rest,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Recitation/Repetition (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
