Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
LDA50_abstract_weight__47_attention_attentional_target,1.0649396718327387e-21,9.570398918765383,0.021258106984257723,0.0003795676642752433,3.5538971198818414,0.600353764342638
LDA50_abstract_weight__41_imagery_mental_events,0.0013094691747109948,-3.213896385012384,0.024449186668702445,0.009394620763695667,2.5973497627812354,0.601880975691045
LDA50_abstract_weight__0_network_state_resting,3.847103833428956e-09,5.890636741595509,0.02150670454701418,0.012837334269123023,2.488250316746533,0.5721123165283982
LDA50_abstract_weight__8_mpfc_social_medial,0.04637526074579235,-1.9919616961356905,0.023617145711335975,0.013193660190132359,2.478498672986645,0.5901714542889537
LDA50_abstract_weight__48_prefrontal_cortex_pfc,5.468973514815865e-65,17.023813575404024,0.019675870334296484,0.058603406558002315,1.891156871991472,0.5608237372470902
LDA50_abstract_weight__4_stimulus_time_repetition,0.027533288285459277,2.2038728376854615,0.021746231251718595,0.06234290576597267,1.8638490471962719,0.55791967673009
LDA50_abstract_weight__23_asd_autism_group,3.747962046619482e-10,-6.264178397587025,0.023314775747768718,0.22607429330291628,1.2105333718832494,0.5672017395006297
LDA50_abstract_weight__33_memory_retrieval_encoding,0.005148165882231619,2.7976136068508395,0.021148314880440715,0.2512734172273836,1.147261847308579,0.5352816579679648
LDA50_abstract_weight__31_model_models_prediction,0.013538266448118872,-2.469286800947256,0.021704630201705426,0.305364339536229,1.024997558800987,0.538928680088865
LDA50_abstract_weight__28_social_empathy_moral,8.354388224833065e-05,-3.9339997142358976,0.02195090720857852,0.3216086514463742,0.9911575575083121,0.5420048639279056
LDA50_abstract_weight__24_age_adults_older,0.0372423927920006,2.083096890230359,0.02109518486294772,0.3357661085851077,0.9625645227315107,0.5301548468899357
LDA50_abstract_weight__17_motor_cortex_hand,0.10817247132295438,1.606461847266453,0.02106749267758181,0.38818997585277504,0.8629045008438647,0.5274054810962193
LDA50_abstract_weight__3_cortex_anterior_cingulate,7.838825375558238e-26,10.509160445003749,0.020491213506200246,0.4037858082207425,0.8348790559307065,0.5241122786759956
LDA50_abstract_weight__42_visual_cortex_sensory,4.65505362204979e-06,4.579761986845494,0.020832527524411594,0.41114628140802223,0.8218780944223129,0.5244541350926285
LDA50_abstract_weight__18_number_ips_numerical,1.059762802445396e-09,-6.100138980280471,0.022153661160686032,0.44138145892605085,0.7698625027552154,0.5420654192258249
LDA50_abstract_weight__20_control_conflict_task,0.035273986651565274,-2.1051990302193477,0.021270123169585636,0.47991373967998285,0.7064413083942286,0.5262795030144782
LDA50_abstract_weight__22_method_group_approach,4.916040347679566e-131,24.356759408655474,0.01919728418668793,0.5008885201943407,0.6730923818786951,0.5403761633177651
LDA50_abstract_weight__12_women_men_sex,8.51094868983727e-11,-6.4912811348939865,0.021395225753468285,0.6948409928331535,0.39229400480697096,0.5229968121618265
LDA50_abstract_weight__37_language_reading_word,0.4340801212831056,-0.7822288009396352,0.020628277940556522,0.9009933672591757,0.12440657555150429,0.5043236810789369
LDA50_abstract_weight__26_emotional_amygdala_negative,5.562510074917918e-17,8.374147402666244,0.02053314132221898,0.9122845827671151,0.110157354237026,0.5031758647509728
LDA50_abstract_weight__9_memory_working_wm,0.009727395232326116,-2.5853721099298714,0.020625423563308674,0.9258890129393139,0.09301831260781065,0.5035713834744069
LDA50_abstract_weight__45_motion_perception_visual,6.146785872606854e-08,-5.4144777125172645,0.020480786431777163,0.9777054281703679,-0.02794573907098245,0.4986039152640956
LDA50_abstract_weight__39_stimulation_tms_bpd,1.0313867830874684e-10,-6.462277581749418,0.02037114553915568,0.9400319346859034,-0.0752297244268185,0.49558543056132814
LDA50_abstract_weight__38_semantic_category_representations,0.43425034421873787,-0.7819391350991174,0.020392924024379082,0.8632527630063127,-0.17223502542280603,0.4940142730009786
LDA50_abstract_weight__7_reward_feedback_striatum,0.00023834417517990518,-3.674469432385287,0.020188533041687787,0.7765891029556731,-0.28376679462019655,0.4881864972763408
LDA50_abstract_weight__29_stress_ptsd_trauma,1.758278137862043e-11,-6.724804948909827,0.019881350422587533,0.7640768262893993,-0.30013153450168817,0.48145985401459857
LDA50_abstract_weight__16_response_inhibition_control,1.0413835220577557e-05,-4.408397359912485,0.020045218383345532,0.718310609704476,-0.3607175421036195,0.48393911220891533
LDA50_abstract_weight__30_decision_making_risk,9.42225288120061e-07,-4.903336172427716,0.019981699470991043,0.70783800323835,-0.3747612932531617,0.4824065889180836
LDA50_abstract_weight__6_auditory_speech_temporal,8.955283390673547e-05,-3.9172823600548776,0.020028840175009104,0.6839119780144742,-0.40713072510545506,0.4826951244191801
LDA50_abstract_weight__13_fear_threat_smokers,5.4947454396897606e-11,-6.556873856980153,0.018953811659320842,0.416829862769868,-0.811933374309717,0.4513674206338747
LDA50_abstract_weight__27_disorder_adhd_group,1.0713490562454537e-05,-4.402248177714384,0.019497449681386787,0.41588818475004785,-0.813575488260001,0.46385182659107377
LDA50_abstract_weight__34_frequency_hz_ms,1.0825234853608451e-05,-4.399997052472357,0.01930108065009617,0.32229337843933015,-0.9897560357498844,0.456078965783949
LDA50_abstract_weight__11_learning_training_practice,0.000246043019553101,-3.6663438736045775,0.01921569102165184,0.21832326237758018,-1.2309989356049376,0.44900524879507786
LDA50_abstract_weight__14_disease_ad_pd,3.9616708596343615e-09,-5.885785820608346,0.01845188436287134,0.18520142814909607,-1.32490872049377,0.4295262433654414
LDA50_abstract_weight__36_placebo_treatment_dopamine,1.5901895148179376e-10,-6.396461454249291,0.01808078208729301,0.15660158940454497,-1.4165942541682688,0.4179950276632366
LDA50_abstract_weight__19_action_actions_observation,1.470593053163803e-07,-5.256203819928081,0.01857387809184881,0.1531078742824235,-1.428639502215926,0.43046644016094976
LDA50_abstract_weight__49_depression_mdd_state,8.723454080644831e-09,-5.753848111479544,0.018256868607791917,0.12661348120108315,-1.5275935620520746,0.42052902669758463
LDA50_abstract_weight__10_food_taste_weight,1.1900625237591812e-16,-8.28409933214255,0.015716528561662266,0.08402037219931749,-1.7278207156405467,0.33370952269631043
LDA50_abstract_weight__35_schizophrenia_risk_genetic,4.245284565094663e-09,-5.8743410998629475,0.01795284934466402,0.08240502416915602,-1.7368988629691489,0.4082643986389615
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,3.357838449935169e-05,-4.147732880527219,0.018645770035123094,0.08232008900427884,-1.7373801704805816,0.42528167131344763
LDA50_abstract_weight__40_face_faces_facial,5.646549769717376e-07,-5.002929832417138,0.018298835405856004,0.07416646208122249,-1.7855850944945237,0.4161037043664996
LDA50_abstract_weight__46_hemisphere_language_stroke,1.0729678704258806e-06,-4.877761063473506,0.01819963141831108,0.0515698448324786,-1.9467072258653206,0.4100460276165699
LDA50_abstract_weight__44_eye_sleep_gaze,9.650021931325015e-14,-7.445606262427888,0.01640736771046461,0.04707925405905097,-1.985586523587357,0.3554774740084713
LDA50_abstract_weight__1_anxiety_trait_personality,3.331235621091347e-11,-6.631131379269227,0.01711032440542757,0.04144226877623816,-2.0390777466692365,0.3777764917739251
LDA50_abstract_weight__25_spatial_body_human,0.0022430772026751124,-3.056004726076324,0.018585647138244253,0.021074371333007956,-2.306649433849625,0.40990860515117483
LDA50_abstract_weight__32_pain_somatosensory_stimulation,1.0605497163284378e-12,-7.122411345333844,0.015836355880499708,0.005872327029243545,-2.7548264776107194,0.3196635219712186
LDA50_abstract_weight__21_matter_volume_structural,1.2096180827578658e-08,-5.6983650755118305,0.016096046992816235,4.501092390061602e-06,-4.586791756020504,0.2823957054476301
LDA50_abstract_weight__5_gyrus_frontal_inferior,1.422054968740948e-154,26.485550406283288,,0.15729920705028105,,
LDA50_abstract_weight__15_task_performance_cognitive,1.422054968740948e-154,26.485550406283288,,0.15729920705028105,,
LDA50_abstract_weight__43_magnetic_mechanisms_human,1.422054968740948e-154,26.485550406283288,,0.15729920705028105,,
