feature,r
PC.n-back,0.1039909141225956
BD.Cognition.Memory.Working,0.0786314254701579
RT.Button Press,0.06422257659168085
Instruct.Inhibit,0.05999770878620971
RM.Hand,0.059780211947898905
Instruct.Recall,0.050689149277976485
ST.Dots,0.04874830180413157
BD.Action.Inhibition,0.04652540120229638
PC.Delay Discounting,0.0404024181834376
Instruct.Add,0.03693103531660702
ST.Faces and Scenes,0.036726876295261855
PC.Cued Explicit Recognition/Recall,0.036706699191075054
ST.Vignettes,0.03496107248218524
ST.Letters and abstract objects,0.03478876226402121
BD.Cognition.Attention,0.034713226468794184
ST.Letters,0.03470708838592969
PC.Delayed Match to Sample,0.0323195339999824
PC.Go/No-Go,0.03218667021579319
BD.Cognition.Time,0.02965345530110225
Contrast.Instruction,0.028807611789674524
BD.Perception.Vision,0.028184110147534885
PC.Deception,0.027976056826671515
Instruct.Count,0.027796554448601313
ST.Braille,0.027575759624505963
Contrast.External Variable,0.026960289112250298
RT.Manipulate,0.026668387636285634
ST.Heat,0.026493979376907135
Instruct.Track,0.02558084790952727
Instruct.Discriminate,0.025554966719635506
PC.Recitation/Repetition (Covert),0.024645396043135145
PC.Wisconsin Card Sorting Test,0.02455855033322775
SM.Visual,0.023762795738443157
Instruct.Detect,0.02352418959251549
PC.Tone Monitor/Discrimination,0.022667760974395993
Instruct.None,0.022110749750873897
PC.Video Games,0.020011416935651637
BD.Perception.Somesthesis.Pain,0.018230178483160494
Instruct.Encode,0.017954059558887226
RT.Saccades,0.016730985133663435
PC.Syntactic Discrimination,0.016153000630477313
BD.Cognition,0.01568092844801103
RM.Ocular,0.015550928519210016
ST.Abstract/Geometrical,0.014978532394591631
BD.Cognition.Music,0.014845827036269571
ST.Air Puff,0.014025600032133975
PC.Pain Monitor/Discrimination,0.013965837398318238
PC.Anti-Saccades,0.013856567173910922
ST.Noise,0.012914093216983112
PC.Visual Object Identification,0.012322191679311038
BD.Perception.Vision.Motion,0.012156394100692755
PC.Estimation,0.012037408511802083
PC.Saccades,0.011977537877370312
PC.Counting/Calculation,0.01132989427710023
PC.Stroop-Color Word,0.0110271476267152
BD.Cognition.Social Cognition,0.010916381672650613
Instruct.Choose,0.01020563882451902
RM.Not Defined.,0.010188798760523761
Instruct.Not Defined.,0.010188798760523761
BD.Not Defined.,0.010188798760523761
RT.Not Defined.,0.010188798760523761
SM.Not Defined.,0.010188798760523761
ST.Not Defined.,0.010188798760523761
PC.Imagined Objects/Scenes,0.009506892867075135
BD.Cognition.Reasoning,0.00864404654497071
PC.Episodic Recall,0.008470782346930874
PC.Reading (Overt),0.008398732211445123
BD.Cognition.Memory.Explicit,0.007108289272660738
ST.Shapes,0.007039769618894259
Contrast.Session,0.007010270075004614
BD.Cognition.Language.Syntax,0.0069175312916790995
Contrast.Response Type,0.006525122456495779
ST.Tones,0.006293392694221899
BD.Interoception.Sleep,0.005759517498660204
BD.Action.Observation,0.005349659462545397
PC.Pointing,0.005093591969205797
PC.Object Manipulation/Discrimination,0.004928538866495485
PC.Grasping,0.004100232675748903
ST.Uniform Screen,0.0040440251327342166
PC.Stroop-Emotional,0.0034927573134882085
PC.Task Switching,0.003359185748542468
ST.Pain,0.002986400257057405
ST.Digits,0.002638387686709885
PC.Theory of Mind,0.0025279366190330086
Instruct.Report,0.0019030746454119787
PC.Film Viewing,0.0018943696065457285
ST.Video,0.0017996005174396744
ST.Syllables,0.0014965002927341982
SM.Interoceptive,0.0013719464327054483
PC.Fixation,0.0012936316594795959
ST.Mathematical Equation,0.0011815007058168458
PC.Paired Associate Recall,0.0010162742290765667
ST.Infusion,0.0009698394771686248
RM.Other,0.0008678166928112266
BD.Interoception.Respiration Regulation,0.00028936565150340096
PC.Hypercapnia,0.00028936565150340096
ST.Animations,-0.0001685558643296273
ST.Acupuncture,-0.0001718765937870894
RT.Point,-0.0002434861250971047
PC.Thirst Induction,-0.000358194949177017
PC.Acupuncture,-0.0006222300422747698
PC.Micturition,-0.0008019989555436677
PC.Phonological Discrimination,-0.001062567670864738
PC.Divided Auditory Attention,-0.0010845663875294514
PC.Magnitude Comparison (Symbolic),-0.0013910951447663417
PC.Digit/Numerical,-0.0013910951447663417
BD.Cognition.Language.Orthography,-0.001585913231742584
Instruct.Answer,-0.0022120392771061235
BD.Cognition.Language,-0.0023319791093115777
Instruct.Maintain,-0.002352729970730684
ST.Arrow,-0.0023527299707306847
RM.Wrist,-0.0023527299707306886
ST.Interactive Computer Game,-0.0023527299707306907
ST.Interactive Computer Program,-0.0023527299707306907
PC.Multi-Tasking,-0.002352729970730691
BD.Pharmacology.Caffeine,-0.0023527299707306985
ST.Inhalation,-0.002612900168082528
PC.Oddball Discrimination,-0.0026589267460994147
BD.Emotion,-0.002770694536741194
PC.Finger Tapping/Button Press,-0.0029083498981742413
RM.Unknown,-0.003327480350378091
RT.Unknown,-0.003327480350378091
ST.Spinner,-0.0033274803503780914
RT.Breath-Hold,-0.003327480350378103
BD.Interoception.Thermoregulation,-0.0033274803503781053
RT.Whistle,-0.0033357508538648223
PC.Whistling,-0.0033357508538648223
BD.Cognition.Space,-0.0033925470231987755
BD.Interoception.Bladder,-0.003981760577808399
BD.Pharmacology.Alcohol,-0.004075581194118765
ST.Instruction,-0.004075581194118777
Instruct.Predict,-0.0040755811941188
PC.Fluency Induction,-0.004075581194118809
PC.Cued Speech,-0.004075581194118809
ST.Playing Cards,-0.0040755811941188096
PC.Visual Motion,-0.004075581194118858
RM.Shoulder,-0.0040755811941188755
ST.None,-0.004616700240929437
PC.Stroop-Counting,-0.004706383818548939
ST.Blurred disk,-0.004706383818548967
ST.Abstract Patterns,-0.004706383818548985
PC.Physical Size,-0.004706383818548986
PC.Luminance,-0.004706383818548987
Contrast.Response Modality,-0.004864242918426181
PC.Reading (Covert),-0.004878997985552635
PC.Sexual Arousal/Gratification,-0.0049290934034089025
BD.Interoception.Hunger,-0.005025170653600078
PC.Sequence Recall/Learning,-0.005051750227395344
ST.Film Clip,-0.005262241517129858
RT.Blink,-0.005262241517129868
PC.Trauma Recall,-0.005262241517129875
ST.Objects,-0.005305957215851573
BD.Cognition.Language.Phonology,-0.005330657699566229
BD.Action.Motor Learning,-0.00555331075797744
BD.Emotion.Happiness.Humor,-0.005764874157428367
ST.Cartoons,-0.005764874157428387
PC.Magnitude Comparison (Non-symbolic),-0.005764874157428392
RT.Micturate,-0.0057648741574284155
PC.Driving,-0.0057648741574284216
PC.Word Stem Completion (Covert),-0.0057648741574284216
Instruct.Rate,-0.005780717703168422
Instruct.Fixate,-0.005878966002393406
ST.Clicks,-0.006193716709571781
PC.Stroop-Other,-0.0062157173237680245
PC.Meditation,-0.006227183473831037
ST.Scenes,-0.006227183473831079
PC.Hand-Eye Coordination,-0.006227183473831089
ST.Pictures,-0.006465848794887123
Instruct.Update,-0.00665757510301796
PC.Writing,-0.006657575103018046
PC.Orthographic Discrimination,-0.00688942620963034
PC.Tactile Monitor/Discrimination,-0.006895487941118037
Instruct.Experience,-0.007061887235605462
PC.Word Generation (Overt),-0.007136276125180467
RM.Leg,-0.0071553019978514805
BD.Interoception.Thirst,-0.0071904752592316665
PC.Transcranial Magnetic Stimulation,-0.007295016148021298
BD.Action.Execution,-0.007424423069369885
ST.Reversed Speech,-0.0074443703438243705
RM.Torso,-0.007532599071432984
ST.Sounds (Environmental),-0.007571529597657979
ST.Electricity,-0.007573600062384226
ST.TMS,-0.0075864784040795994
BD.Emotion.Happiness,-0.0075919377372095425
BD.Action.Imagination,-0.007609228369135414
ST.Tools,-0.007808232981056074
PC.Music Comprehension,-0.00802526831595367
PC.Isometric Force,-0.00808039805464055
PC.Face Monitor/Discrimination,-0.008087514079519454
RT.Smile,-0.0083198703629751
ST.Symbols,-0.008466601055253188
RT.Write,-0.008489556611658698
SM.Tactile,-0.008549810173531366
SM.Auditory,-0.008667596520101573
ST.Stories,-0.008810606637022463
PC.Word Stem Completion (Overt),-0.008810606637022505
ST.Numbers,-0.008854121145651463
BD.Cognition.Soma,-0.008947496465653916
Instruct.Sing,-0.009120442063474806
PC.Flashing Checkerboard,-0.00912044206347482
PC.Tower of London,-0.00912044206347482
PC.Chewing/Swallowing,-0.009205078512983356
Contrast.Experience Dependent Change,-0.009311768482257829
PC.Visual Pursuit/Tracking,-0.009551031124516501
RT.Drink,-0.009710725141802847
PC.Music Production,-0.00971072514180299
PC.Drawing,-0.009743214556154168
Instruct.Repeat,-0.009872786890189205
PC.Self-Reflection,-0.00999290894343359
RT.Draw,-0.009994238332717618
BD.Interoception,-0.010075259299550204
PC.Flanker,-0.010132581762737555
RM.Pelvis,-0.010154961779420579
PC.Encoding,-0.010202457785247332
RT.Grasp,-0.01024568415908902
PC.Hunger/Satiety,-0.01026741126516173
PC.Pitch Monitor/Discrimination,-0.0102914037479761
BD.Perception.Audition,-0.010356874458130702
BD.Cognition.Memory,-0.01041959753622826
Instruct.Read,-0.010467454932064659
BD.Perception.Vision.Color,-0.01053483261197372
PC.Gambling,-0.01053483261197374
PC.Reward,-0.010603500432138835
PC.Affective Words,-0.0107956992339112
PC.Lexical Decision,-0.011050475375425365
BD.Action.Rest,-0.011299573043201842
ST.Tactile Stimulation,-0.011496916539983127
PC.Mental Rotation,-0.01151602148106632
PC.Figurative Language,-0.011631384908774928
BD.Emotion.Sadness,-0.011658681184966694
PC.Emotion Induction,-0.011987679689838498
ST.Odor,-0.012008055623336905
Instruct.Attend,-0.01213192123848486
PC.Imagined Movement,-0.012159806517317268
SM.Olfactory,-0.012400293883656443
PC.Reasoning/Problem Solving,-0.01251675544121239
BD.Perception.Olfaction,-0.012615857364208385
BD.Emotion.Anxiety,-0.012676300621938875
PC.Visuospatial Attention,-0.012815297658238288
SM.None,-0.012852382526259028
BD.Action.Preparation,-0.012904261077360655
PC.Olfactory Monitor/Discrimination,-0.013002323669658917
ST.Faces,-0.013459087285412874
PC.Rest,-0.01384953504825274
ST.Music,-0.014040307537314193
BD.Emotion.Disgust,-0.014291255720286732
ST.Asian Characters,-0.014360190653955919
Instruct.Imagine,-0.014386339371339634
PC.Taste,-0.014459403799264775
PC.Autobiographical Recall,-0.014836478701606355
RM.Foot,-0.014914181619498153
RM.Arm,-0.014959758470116965
BD.Interoception.Sexuality,-0.01521413898761984
BD.Emotion.Anger,-0.015470453087622838
PC.Naming (Covert),-0.015934689532631892
PC.Passive Viewing,-0.015945625623922415
PC.Word Generation (Covert),-0.01595083477376212
ST.Pseudowords,-0.016175493283748624
PC.Recitation/Repetition (Overt),-0.017227563174157634
PC.Affective Pictures,-0.01722992474028998
RT.Finger Tapping,-0.01729372587009461
RT.Swallow,-0.01760425141283966
Contrast.Stimulus Modality,-0.01869939247255583
ST.False Font,-0.01913764525352548
BD.Perception.Gustation,-0.019596020824313366
SM.Gustatory,-0.019732490827882993
PC.Classical Conditioning,-0.020157495275846232
ST.Food,-0.020233366496408323
Contrast.Group,-0.020714775935872447
Instruct.Move,-0.021011269294410256
ST.Fixation Point,-0.02140196814533555
PC.Naming (Overt),-0.022069335313269454
Instruct.Name,-0.02229456363339354
PC.Semantic Monitor/Discrimination,-0.02241742919861477
BD.Emotion.Fear,-0.022518327673211255
BD.Perception.Vision.Shape,-0.022742077302275465
PC.Passive Listening,-0.022911442631753168
Instruct.Generate,-0.022936738448706438
RT.Flexion/Extension,-0.02369869991458148
Instruct.Passive/Rest,-0.02587921178269625
BD.Perception.Somesthesis,-0.026461880261622495
PC.Vibrotactile Monitor/Discrimination,-0.02694851642586371
ST.Vibration,-0.027054566732289138
BD.Cognition.Language.Speech,-0.028050612074643266
PC.Flexion/Extension,-0.02868768353705826
BD.Action.Execution.Speech,-0.028729891265618878
ST.Words,-0.031807184466006735
RT.None,-0.033593539301658606
RM.None,-0.03565738249246579
RT.Speech,-0.03851517473720591
BD.Cognition.Language.Semantics,-0.0416482521303241
Contrast.Stimulus Type,-0.043183848745843204
RM.Oral/Facial,-0.04443616514195203
