Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
BD.Cognition.Social Cognition,1.435455346976422e-05,4.338366655954016,5.800668017302743,2.1287348583756726e-08,5.601199564645607,0.023269873851568444
PC.Theory of Mind,1.836044794156777e-05,4.283949650149815,7.633125180132578,4.532781772968101e-08,5.468727430052041,0.01911370268264467
BD.Cognition.Memory.Explicit,0.020353111332893414,2.3197739067170042,2.2264529507369835,0.03920218237475153,2.062058336023821,0.016981428597237308
SM.Visual,0.1965642342282259,1.2914022402225962,1.143626602925731,0.07400549037896555,1.7865794201403835,0.08446437811529674
Instruct.Recall,0.13919194992286643,1.4788068299487926,1.409119446661346,0.3220179518665768,0.990319554067645,0.016184298144323
RT.Button Press,0.21759104784109207,1.2329590359239724,1.148377331120633,0.36858663246961065,0.8991239687171542,0.06203059682703864
ST.Pictures,0.1215035296275756,1.5484934827663137,1.387247267521039,0.430287762326241,0.7886993253617319,0.02757717917593381
Contrast.Stimulus Type,0.39607652366917956,0.8486491957329356,1.026385683282235,0.6014568879353772,0.5223065808667672,0.07340571105025233
Instruct.Discriminate,0.40126391902512726,0.8393660679108274,1.0194541745255783,0.8174569170311536,0.23081707296998552,0.041729827181227315
BD.Emotion,0.3776111516082161,0.8823063719174834,1.0169749254419085,0.9021960308415772,0.12288769360414631,0.017812877039008825
PC.n-back,1.0,-0.0,0.8389103579347481,1.0,-0.0,0.0027115801619758185
PC.Writing,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Other,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Foot,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Stem Completion (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Leg,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Stem Completion (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Generation (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Generation (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Ocular,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Wisconsin Card Sorting Test,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Oral/Facial,1.0,-0.0,0.22579886096238444,1.0,-0.0,0.002674162849289935
RM.Arm,1.0,0.0,10.872085385878488,1.0,0.0,0.006111557486512215
BD.Action.Execution,1.0,-0.0,0.24996602234974327,1.0,-0.0,0.002401514372703099
RM.Pelvis,1.0,-0.0,0.0,1.0,-0.0,0.0
