Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
ST.Vignettes,0.7876479726314143,-0.2693660973978592,0.16889179755671901,3.297540949979212e-17,8.435512671083494,0.9868251097907518
BD.Cognition.Social Cognition,9.466963156656222e-10,6.118147145734644,0.014580851047187988,2.1287348583756726e-08,5.601199564645607,0.8736700938757265
ST.Acupuncture,0.47648229666129416,0.7119717064771585,0.04062774562971491,4.4258652677903617e-08,5.472957403087623,0.9466815809097688
PC.Theory of Mind,1.58900402199139e-05,4.315974390464772,0.01725321523802216,4.532781772968101e-08,5.468727430052041,0.8871460906166858
PC.Hand-Eye Coordination,0.8197107966033583,-0.22791696117970422,0.07365486791888048,5.9202046073624604e-08,5.421194671214138,0.9697739395478792
PC.Acupuncture,0.4768870729100426,0.7113182048159441,0.03920352863367569,8.418252834675314e-08,5.357926376941252,0.9447373317620791
Instruct.Experience,0.8237644640160242,-0.22270582950352769,0.05778243530404913,2.1751979450403975e-06,4.736426298094369,0.9614609571788413
RM.Arm,0.48090248255654355,0.7048517774598936,0.024898611061264043,5.637554450029497e-05,4.02748966578116,0.9127927927927928
PC.Deception,0.4818698225104794,0.7032983760724665,0.021404395893922967,0.0002821071080238046,3.6311994023413194,0.8984495206533317
PC.Video Games,0.8298835497804783,-0.21485092205038323,0.03164098054642785,0.0009121316799540097,3.3163143480564115,0.9295465626523647
ST.Objects,0.4840957579673921,0.6997302874297511,0.013295673536637392,0.012639271766708397,2.4937747675856445,0.8356937375525559
Instruct.Choose,0.4842848213514762,0.6994276368187785,0.01260296585839848,0.017608548663206037,2.373748313276664,0.8265250246413317
PC.Orthographic Discrimination,0.4843140396318054,0.6993808702287511,0.012495867271798262,0.018537344924570452,2.354706416258108,0.8250150330727601
PC.Imagined Objects/Scenes,0.4844250821931204,0.6992031501761271,0.012088738706806242,0.02254588426240152,2.2810433085401542,0.8190258999837107
BD.Action.Observation,0.484527601431077,0.699039091032907,0.011712719048882488,0.027028497018207264,2.2111060078827247,0.8131168761123996
BD.Action.Imagination,0.4845759657002191,0.69896170135356,0.011535284838383236,0.029448663523123707,2.177427797650859,0.8101919045315272
BD.Cognition.Memory.Explicit,1.6559307047854964e-05,4.30685367599788,0.007083030822577264,0.03920218237475153,2.062058336023821,0.709459799627448
PC.Task Switching,0.4848507819800407,0.6985220358330103,0.010526607293189773,0.04807008721047813,1.9767483090963616,0.7916447437651268
PC.Drawing,0.8334514697544613,-0.2102770199517694,0.015056178259755325,0.05080448141356788,1.9531275651470124,0.851511758118701
BD.Emotion.Anxiety,0.8334514697544613,-0.2102770199517694,0.015056178259755325,0.05080448141356788,1.9531275651470124,0.851511758118701
RT.Draw,0.8335182022963809,-0.2101915142299762,0.014735959489675128,0.05511946914641549,1.9179333002037975,0.8482650898136785
SM.Visual,7.985319311122313e-159,26.852035673441605,0.0037553108808049485,0.07400549037896555,1.7865794201403835,0.713974717363877
Contrast.Group,0.4852005957378047,0.6979625806559658,0.009241960226899324,0.09037143473209161,1.6934416391077263,0.7619869971556278
PC.Face Monitor/Discrimination,0.01234415843124266,2.5021500798715457,0.006667450464008026,0.1529199748390351,1.4292932167124415,0.6771212940540287
BD.Cognition.Language.Orthography,0.4855771107038075,0.6973606663852923,0.00785973626579855,0.18030664967711593,1.3398114577101428,0.7188176960477543
BD.Perception.Olfaction,0.8345565733357604,-0.20886122650952338,0.009706614761461962,0.20772516914667258,1.2598453148912516,0.7688248427034706
PC.Olfactory Monitor/Discrimination,0.8346007285950553,-0.2088046661150613,0.009490897540403286,0.22049556996882927,1.2252114274964603,0.7635080645161291
ST.Odor,0.8346007285950553,-0.2088046661150613,0.009490897540403286,0.22049556996882927,1.2252114274964603,0.7635080645161291
SM.Olfactory,0.8346423638310639,-0.20875133434004817,0.009287367097460622,0.23333307243886425,1.1918168369032718,0.7582615661926697
ST.Faces,0.012358643926240124,2.501734864569522,0.006147011488492017,0.24636303750237615,1.1592285486329947,0.6468416642130772
Instruct.Encode,0.4857981177232229,0.6970074719789396,0.007049852785638739,0.27218736164342705,1.0980392247430142,0.685250886974151
PC.Visual Pursuit/Tracking,0.8348036632856393,-0.20854472681932254,0.008497785270395346,0.29150018371989395,1.05483633469422,0.7354857531848683
Instruct.Recall,1.6671317503469063e-05,4.305361623133706,0.005487100468821955,0.3220179518665768,0.990319554067645,0.6081611182084616
PC.Autobiographical Recall,0.8348783545077346,-0.20844905828909974,0.00813162523543421,0.3237947790590819,0.9866897039277417,0.7233920367534457
