feature,r
PC.Theory of Mind,0.15304611054111128
ST.Vignettes,0.14256711228125574
BD.Cognition.Social Cognition,0.13775117748713245
ST.Stories,0.1116331035452693
Instruct.Choose,0.09190857785838213
RM.Arm,0.05081146367124516
PC.Deception,0.049192506540201686
PC.Video Games,0.04208965604743885
ST.Acupuncture,0.04166694875621032
PC.Acupuncture,0.040518006475853234
SM.Visual,0.03793274758915657
RT.Button Press,0.03509847207963794
PC.Divided Auditory Attention,0.0350482982380372
PC.Hand-Eye Coordination,0.033321998226475566
Instruct.Experience,0.032944979692509514
ST.Interactive Computer Game,0.03292190378891804
ST.Interactive Computer Program,0.03292190378891804
BD.Cognition.Attention,0.03252771150413008
BD.Action.Observation,0.027714860013083948
Contrast.Stimulus Type,0.025937150289652478
ST.Objects,0.025692144227101497
Instruct.Add,0.0242080534476968
PC.Imagined Objects/Scenes,0.02301293966180759
ST.Music,0.022643798300176186
PC.Music Comprehension,0.02231295515915133
BD.Cognition.Memory.Explicit,0.022111210977270597
BD.Perception.Olfaction,0.021051420845481023
BD.Cognition.Music,0.020648577975193618
PC.Olfactory Monitor/Discrimination,0.020279206380066573
ST.Odor,0.02027920638006657
Instruct.Answer,0.019899708325056963
ST.Video,0.019803893880704814
SM.Olfactory,0.01953313919745957
Instruct.Encode,0.019007853875512626
ST.Cartoons,0.01898622638179582
PC.Visual Object Identification,0.018697738570797432
PC.Paired Associate Recall,0.017897683389689983
Instruct.Inhibit,0.017828755342079033
BD.Action.Imagination,0.01775046825349606
PC.Film Viewing,0.015581004072168633
BD.Action.Inhibition,0.015342425245649606
PC.Orthographic Discrimination,0.014967267360166266
Instruct.Discriminate,0.014804386745559703
RM.Other,0.014732191079764114
PC.Face Monitor/Discrimination,0.013569835126350346
ST.Animations,0.013450659285962827
PC.Reading (Overt),0.01316596386851383
BD.Emotion.Anxiety,0.012607575179370936
RM.Hand,0.012486938549961142
ST.Faces,0.012171001116821253
PC.Delay Discounting,0.012152713074628818
Contrast.Group,0.011352438481829291
Instruct.Report,0.010909514110223983
PC.Anti-Saccades,0.010900567364010703
ST.Scenes,0.010624352473454488
BD.Action.Preparation,0.010409394039881528
RM.Unknown,0.010274163817960313
RT.Unknown,0.010274163817960313
PC.Go/No-Go,0.010223608069918535
ST.Air Puff,0.01017398313639967
ST.Pseudowords,0.00952233878834882
ST.Shapes,0.009068463868762047
ST.Syllables,0.008590237281913335
BD.Interoception.Sleep,0.008420230759612348
Instruct.None,0.00838239236368372
ST.Film Clip,0.008235570046597513
Instruct.Repeat,0.008208418052325427
BD.Perception.Vision,0.0074095555859786805
BD.Perception.Vision.Shape,0.007406319731376841
PC.Estimation,0.007312573641707788
PC.Whistling,0.0072687960591618465
RT.Whistle,0.0072687960591618465
PC.Finger Tapping/Button Press,0.006836936477904788
PC.Drawing,0.006390619981078534
PC.Stroop-Color Word,0.0062908258373341654
RT.Draw,0.006004150701607141
BD.Emotion.Fear,0.005918705706008022
PC.Passive Viewing,0.005638511879389355
PC.Classical Conditioning,0.005486641588055448
