feature,r
LDA200_abstract_weight__145_mind_mental_social,0.15412396935044814
LDA200_abstract_weight__123_junction_tpj_temporoparietal,0.1178427673175167
LDA200_abstract_weight__88_network_frontoparietal_identified,0.06087281928059227
LDA200_abstract_weight__154_social_interactions_interaction,0.06002018874403252
LDA200_abstract_weight__155_temporal_sulcus_superior,0.04234274277324389
LDA200_abstract_weight__135_basal_ganglia_moral,0.040395161992071695
LDA200_abstract_weight__30_events_future_personal,0.03967149483190071
LDA200_abstract_weight__8_cues_cue_target,0.037736442658010495
LDA200_abstract_weight__194_network_default_dmn,0.037066861672839825
LDA200_abstract_weight__193_mirror_video_imitation,0.03702344215507758
LDA200_abstract_weight__181_creative_creativity_generation,0.03120380174876806
LDA200_abstract_weight__100_gestures_abstract_race,0.030740274078981528
LDA200_abstract_weight__174_type_joint_sa,0.03005356398269386
LDA200_abstract_weight__75_asd_autism_group,0.02953768050999889
LDA200_abstract_weight__28_memory_retrieval_episodic,0.02753209851759073
LDA200_abstract_weight__143_action_actions_observation,0.027361093403329012
LDA200_abstract_weight__141_systems_predicted_models,0.02723806435616697
LDA200_abstract_weight__159_inhibition_response_inhibitory,0.025729337390134808
LDA200_abstract_weight__151_common_overlap_overlapping,0.02553469575882541
LDA200_abstract_weight__82_motion_mt_moving,0.024896577394376253
LDA200_abstract_weight__115_face_faces_fusiform,0.02420204941671342
LDA200_abstract_weight__182_experience_subjective_ratings,0.0236875386584242
LDA200_abstract_weight__64_attention_attentional_visual,0.02324827223978443
LDA200_abstract_weight__77_mpfc_cortex_prefrontal,0.021978095903899566
LDA200_abstract_weight__142_scene_scenes_perspective,0.020963613891254455
LDA200_abstract_weight__24_recruitment_recruited_engaged,0.01776505576231169
LDA200_abstract_weight__138_real_virtual_reality,0.017125102713710167
LDA200_abstract_weight__6_implicit_explicit_cd,0.015891438452246765
LDA200_abstract_weight__5_body_bodies_eba,0.015631242309851218
LDA200_abstract_weight__45_gyrus_frontal_inferior,0.014767714700641452
LDA200_abstract_weight__99_detection_novelty_oddball,0.013894996197358497
LDA200_abstract_weight__192_stimulus_trials_trial,0.013755101447916685
LDA200_abstract_weight__112_context_empathy_contextual,0.013616354360931096
LDA200_abstract_weight__137_regulation_emotion_reappraisal,0.013552779612038287
LDA200_abstract_weight__47_parietal_network_fronto,0.012885902312389601
LDA200_abstract_weight__171_cortex_prefrontal_medial,0.012701382803362072
LDA200_abstract_weight__93_language_sentences_comprehension,0.012561894412992767
LDA200_abstract_weight__66_emotional_negative_amygdala,0.01249433750204247
LDA200_abstract_weight__178_resonance_magnetic_previous,0.011977427489895769
LDA200_abstract_weight__61_individuals_people_group,0.011642101193332786
LDA200_abstract_weight__48_parietal_inferior_lobule,0.011559005142249949
LDA200_abstract_weight__144_integration_process_task,0.011277020678215222
LDA200_abstract_weight__51_sustained_transient_monitoring,0.011075916499041967
LDA200_abstract_weight__26_time_delay_temporal,0.011071433200161426
LDA200_abstract_weight__95_verbs_verb_nouns,0.010166801240097539
LDA200_abstract_weight__2_problem_problems_arithmetic,0.008734683988546712
LDA200_abstract_weight__125_expertise_experts_ic,0.00828393523817805
LDA200_abstract_weight__162_words_word_lexical,0.007784371916279288
LDA200_abstract_weight__73_ifg_gyrus_frontal,0.007120158094402144
LDA200_abstract_weight__129_gyrus_temporal_middle,0.007117493474502552
LDA200_abstract_weight__173_touch_ct_tactile,0.006974586927832893
LDA200_abstract_weight__114_vestibular_tbi_injury,0.006923136720713873
LDA200_abstract_weight__72_items_pairs_item,0.006632150655123227
LDA200_abstract_weight__189_category_categories_categorization,0.006536809056266863
LDA200_abstract_weight__166_pictures_picture_images,0.006417127841735236
LDA200_abstract_weight__17_frontal_temporal_parietal,0.006404969133548427
LDA200_abstract_weight__108_visual_auditory_sensory,0.005927920935968984
LDA200_abstract_weight__96_hd_psychopathy_fcd,0.005794837438927431
