Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
LDA50_abstract_weight__37_language_reading_word,0.0461228835679454,1.9942670000637621,0.032836455918761435,0.0005695906702549916,3.445696031452005,0.5897773264877079
LDA50_abstract_weight__40_face_faces_facial,0.030066223857541385,-2.1692168581055062,0.034174417733628,0.0017141607936025727,3.135748595933557,0.5941452663855883
LDA50_abstract_weight__26_emotional_amygdala_negative,1.2217355411867104e-33,12.088035225839725,0.02962096537202244,0.057473966420767075,1.8996888348018048,0.5453064310192005
LDA50_abstract_weight__19_action_actions_observation,0.00013635419282763506,-3.814689639289412,0.0325383457585025,0.06295086942628035,1.859538344265798,0.5616533615198465
LDA50_abstract_weight__6_auditory_speech_temporal,0.002848825904283954,-2.983596065304827,0.03209468746671585,0.07627687172906875,1.772709405765366,0.5561135174607621
LDA50_abstract_weight__11_learning_training_practice,0.01815846463857906,-2.362370902601164,0.030836817529189355,0.29454414267061074,1.048205053690649,0.5322903830333401
LDA50_abstract_weight__28_social_empathy_moral,2.07400815555739e-06,-4.746075995273302,0.03126956967277926,0.30289029856774713,1.0302550398662595,0.5365767314840569
LDA50_abstract_weight__16_response_inhibition_control,1.5413450467959998e-05,-4.32269534695196,0.030874711105018125,0.3901938566825114,0.8592658569588029,0.5296421991938071
LDA50_abstract_weight__8_mpfc_social_medial,0.00014377357307089082,-3.801584698272935,0.03073742662579768,0.40698791889732044,0.8292058789328679,0.5276614760944623
LDA50_abstract_weight__33_memory_retrieval_encoding,0.003838206237622213,2.8911616634576056,0.029938118203132504,0.5013173288622341,0.6724184681405327,0.517432112828561
LDA50_abstract_weight__47_attention_attentional_target,5.835190894118702e-16,8.092709518633958,0.029658652664310593,0.528102419138671,0.6309053414152769,0.5152383829237002
LDA50_abstract_weight__48_prefrontal_cortex_pfc,6.058681062053534e-81,19.054242762969842,0.029244594797226645,0.629467224191425,0.4824768720701284,0.5124589970018335
LDA50_abstract_weight__29_stress_ptsd_trauma,1.037147632223755e-14,-7.734617118297564,0.03045092485498923,0.7123865209333238,0.36865281820694995,0.5177434130767501
LDA50_abstract_weight__9_memory_working_wm,0.004112944805122134,-2.8693668346147936,0.029833111715703818,0.7933605060047301,0.26194933155524197,0.5082977880131229
LDA50_abstract_weight__38_semantic_category_representations,0.667089449528151,-0.4301459871120153,0.02970435367417659,0.8296912541733477,0.21509756262811797,0.5061243923712304
LDA50_abstract_weight__23_asd_autism_group,2.0385537302748162e-16,-8.219792622819108,0.02984414485232007,0.901442927690644,0.1238387780340989,0.5064092203254964
LDA50_abstract_weight__24_age_adults_older,0.09196296275584384,1.6851327476017077,0.029550709933850172,0.9469331989287912,0.0665584820620523,0.5017763101361388
LDA50_abstract_weight__10_food_taste_weight,2.701889757768553e-20,-9.230175446875545,0.02960758532720269,0.9750974496355677,0.031215787261916646,0.5019031338056044
LDA50_abstract_weight__20_control_conflict_task,0.002124188838458652,-3.07229612269033,0.029476835378810164,0.98281285891325,-0.021542553038457746,0.4993099189956043
LDA50_abstract_weight__3_cortex_anterior_cingulate,4.898794465692099e-32,11.780864662862319,0.02950781872642667,0.9391092506945965,-0.07638946516818003,0.4981716833231295
LDA50_abstract_weight__35_schizophrenia_risk_genetic,7.446557719790807e-09,-5.780530180868457,0.029142718797224264,0.8382282859983216,-0.20416023336504122,0.4920729691708072
LDA50_abstract_weight__18_number_ips_numerical,2.1881480668056784e-15,-7.930187757782366,0.028982180614988667,0.836047530517407,-0.20695176289837022,0.48968502151461785
LDA50_abstract_weight__4_stimulus_time_repetition,0.5630161651790895,0.5783673014806363,0.029290251968385264,0.784286400028256,-0.2737374442832733,0.4924632660029604
LDA50_abstract_weight__22_method_group_approach,6.076215895212077e-185,29.002741010754168,0.030366822783341484,0.7144242829257857,-0.3659206553840641,0.4834403776212954
LDA50_abstract_weight__12_women_men_sex,1.161018747981194e-16,-8.287039718167044,0.02837303567941194,0.6683753969736801,-0.4283787448163126,0.47740212294018775
LDA50_abstract_weight__25_spatial_body_human,0.10024813036352462,-1.643651882993971,0.02900879874956845,0.6221591565945417,-0.4927925764646299,0.4852841108832852
LDA50_abstract_weight__45_motion_perception_visual,1.4898210375765326e-11,-6.748888417865972,0.028482773356656728,0.6083637680580871,-0.5124104654719002,0.47803398799226615
LDA50_abstract_weight__17_motor_cortex_hand,0.49723968682668596,0.6788393044223617,0.029099630749322297,0.5883397663822885,-0.5412434880411177,0.4851486666768896
LDA50_abstract_weight__1_anxiety_trait_personality,7.1904979575349535e-12,-6.85381715233897,0.028205349986952954,0.5161439443807547,-0.6493008377402312,0.4718248416357338
LDA50_abstract_weight__32_pain_somatosensory_stimulation,3.3010454463544476e-12,-6.964272739666058,0.02814015811272131,0.5021763867162095,-0.6710692944736787,0.470497547894827
LDA50_abstract_weight__13_fear_threat_smokers,3.625590973143552e-15,-7.867237105714435,0.027298476089933563,0.3403297332274473,-0.953513946694562,0.4526778127818664
LDA50_abstract_weight__46_hemisphere_language_stroke,1.4694007838322912e-06,-4.815352758975183,0.028047509426215478,0.3074556210524249,-1.0205754597552739,0.46348209884903724
LDA50_abstract_weight__27_disorder_adhd_group,1.6699283433651203e-07,-5.232765174073623,0.02795688602648142,0.30586764942785666,-1.023931460107982,0.46213647072813624
LDA50_abstract_weight__42_visual_cortex_sensory,0.00022570882730594565,3.6883547358290287,0.029022205604651567,0.27688878256308413,-1.0873350077002033,0.47228642746396016
LDA50_abstract_weight__41_imagery_mental_events,3.883115636737858e-11,-6.608470244760936,0.02716715783692509,0.1946895702114715,-1.296830336399211,0.44536905378970587
LDA50_abstract_weight__39_stimulation_tms_bpd,1.2490419686921517e-17,-8.548309695946712,0.025667945651202007,0.12184511281641638,-1.5470752020290162,0.4140180404584718
LDA50_abstract_weight__44_eye_sleep_gaze,1.2609220179428011e-17,-8.54721680118392,0.0256476471980013,0.11940008859329719,-1.5572965734219215,0.4134669269566395
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,4.252201632162185e-06,-4.598658489823059,0.027286645582316946,0.08625829697044321,-1.7154743347633226,0.4398383998663771
LDA50_abstract_weight__36_placebo_treatment_dopamine,1.4022667319166888e-14,-7.696150467424765,0.025876352150391843,0.07841228291440312,-1.7599735997430492,0.4150452405149647
