feature,r
RT.Button Press,0.06479717915494795
PC.Multi-Tasking,0.06309701911570553
ST.Pseudowords,0.05711158636152074
Instruct.Discriminate,0.05641217207363845
PC.Film Viewing,0.05484207174970127
PC.Flanker,0.05477481196079029
ST.Video,0.05081949797534565
BD.Action.Inhibition,0.0447923897046703
RM.Hand,0.044269594709936175
SM.Visual,0.04384208519863023
BD.Cognition.Music,0.04167510742266637
Instruct.Read,0.041306895589491084
ST.False Font,0.040334170821835574
PC.n-back,0.03790883536465502
PC.Go/No-Go,0.03764793478241494
ST.Asian Characters,0.036905944776903364
PC.Reasoning/Problem Solving,0.035019824901051155
BD.Cognition.Reasoning,0.034314663426721514
PC.Semantic Monitor/Discrimination,0.03409559980020591
SM.Not Defined.,0.033955257496566776
BD.Not Defined.,0.033955257496566776
RT.Not Defined.,0.033955257496566776
ST.Not Defined.,0.033955257496566776
Instruct.Not Defined.,0.033955257496566776
RM.Not Defined.,0.033955257496566776
Contrast.Stimulus Type,0.03220167652187171
BD.Emotion.Anger,0.03090645630928078
BD.Cognition.Memory.Working,0.03002740167439244
PC.Reading (Covert),0.030026993766857902
Instruct.Inhibit,0.028091475277840443
BD.Action.Observation,0.0271655455659036
BD.Cognition.Attention,0.027106123475103876
PC.Reading (Overt),0.026044367690331607
PC.Cued Explicit Recognition/Recall,0.02541764260448916
PC.Orthographic Discrimination,0.02444502230384245
PC.Music Comprehension,0.024112679143595956
PC.Stroop-Color Word,0.02403758416480977
PC.Tone Monitor/Discrimination,0.022868186260712034
PC.Pitch Monitor/Discrimination,0.022584110341905866
BD.Emotion.Disgust,0.021448691501612185
PC.Delayed Match to Sample,0.02089442733569028
PC.Face Monitor/Discrimination,0.020744387241948388
RM.Other,0.020655731950425277
RT.Smile,0.020191379354469942
PC.Driving,0.019675504373406344
PC.Trauma Recall,0.01842479804010462
ST.Animations,0.017638816331394632
ST.Acupuncture,0.017580958191875863
ST.Digits,0.017361091915434685
Instruct.Encode,0.017144507100722867
PC.Word Stem Completion (Covert),0.016875058315640547
PC.Counting/Calculation,0.01672863922859602
PC.Acupuncture,0.016678278499031314
PC.Figurative Language,0.01631916570812307
BD.Cognition.Language.Semantics,0.01608521053933054
Contrast.Instruction,0.015632201432964513
ST.Cartoons,0.015602128289383118
ST.Letters,0.015415850922836738
PC.Deception,0.015190871236032844
BD.Cognition.Language.Phonology,0.014081515345227509
PC.Oddball Discrimination,0.014034679222271864
ST.Noise,0.01326137015438677
PC.Episodic Recall,0.012348540691784904
PC.Wisconsin Card Sorting Test,0.012116521261675933
ST.Words,0.011780955898687504
ST.Dots,0.011178606234874308
ST.Symbols,0.01028125252734676
ST.Faces,0.010199072782781697
PC.Anti-Saccades,0.009575737539905304
RT.Breath-Hold,0.00944637534311045
ST.Interactive Computer Game,0.008861065208197242
ST.Interactive Computer Program,0.008861065208197242
BD.Cognition.Memory.Explicit,0.008709787395133995
PC.Divided Auditory Attention,0.00855619130215104
PC.Stroop-Counting,0.008372747475753265
Instruct.Recall,0.008309313590386865
BD.Cognition.Language.Speech,0.008180748774690374
BD.Perception.Audition,0.008123923686095014
Contrast.Response Modality,0.007803436800923103
PC.Sexual Arousal/Gratification,0.007469452081833682
PC.Estimation,0.006649693339828972
Instruct.Rate,0.006045381995893285
Instruct.Generate,0.0059758860430907945
ST.Tones,0.004943774698461773
Instruct.Track,0.004848110436123248
ST.Sounds (Environmental),0.004845096492192319
PC.Word Stem Completion (Overt),0.0046685392641562145
PC.Delay Discounting,0.004532300637009121
Instruct.Sing,0.004222800252566123
ST.Pain,0.003974536389217179
Instruct.None,0.003853876804650127
PC.Affective Pictures,0.0035558539506809627
BD.Interoception.Sexuality,0.0031194958424187957
PC.Stroop-Other,0.0027440767810804827
Instruct.Fixate,0.002665063983358984
PC.Music Production,0.0025183895734702294
ST.Infusion,0.0018016974770305389
ST.Syllables,0.0017443144415559345
BD.Perception.Vision.Color,0.001295359465059663
PC.Thirst Induction,0.001135060235119872
ST.Faces and Scenes,0.001070406555441589
ST.Letters and abstract objects,0.001070406555441589
PC.Micturition,0.0010428821626722196
Instruct.Report,0.001011900342189339
ST.Numbers,0.000793128966811304
BD.Cognition.Language.Orthography,0.0002790943017246575
RT.Point,0.0002715581991327455
ST.Heat,8.242288499675606e-05
PC.Task Switching,3.936108179776271e-05
PC.Phonological Discrimination,-1.5537126865886022e-05
ST.Fixation Point,-2.266130929506186e-05
RT.Drink,-5.465676312040427e-05
BD.Cognition.Time,-0.00022066546694170358
PC.Word Generation (Covert),-0.00024391783241773158
Contrast.Response Type,-0.0002903638653975047
RM.Foot,-0.0004409510042778261
ST.Music,-0.0008126552244657481
PC.Theory of Mind,-0.0010395478899429187
Instruct.Choose,-0.001117298194142714
PC.Encoding,-0.0014956693233238848
BD.Action.Motor Learning,-0.0015350390322757096
PC.Stroop-Emotional,-0.001814167951491367
BD.Emotion.Sadness,-0.002326640392838689
BD.Pharmacology.Caffeine,-0.0029835684037873393
RM.Wrist,-0.002983568403787346
Instruct.Add,-0.002983568403787349
Instruct.Maintain,-0.0029835684037873493
ST.Arrow,-0.0029835684037873497
BD.Cognition.Social Cognition,-0.0031896051054585532
BD.Interoception.Bladder,-0.003255518020183961
Contrast.Stimulus Modality,-0.003301841007742627
ST.Playing Cards,-0.0033685269874672422
Instruct.Count,-0.0034196113770832135
ST.Abstract Patterns,-0.003474211729423241
PC.Sequence Recall/Learning,-0.0037338922100508963
PC.Classical Conditioning,-0.00375799477584911
SM.Interoceptive,-0.004066822680646491
RM.Torso,-0.0040711976291765775
Instruct.Predict,-0.004088463559856484
BD.Interoception.Thermoregulation,-0.004219678994665096
ST.Spinner,-0.004219678994665105
RT.Unknown,-0.004219678994665106
RM.Unknown,-0.004219678994665106
Instruct.Imagine,-0.004497707059495505
PC.Pointing,-0.0045774352008467285
BD.Interoception.Respiration Regulation,-0.00476003291134958
PC.Hypercapnia,-0.00476003291134958
BD.Action.Preparation,-0.00485240976819489
BD.Emotion.Fear,-0.004868948657014114
SM.Auditory,-0.0051085239617040396
ST.Braille,-0.005168368418440278
RM.Shoulder,-0.005168368418440301
PC.Visual Motion,-0.005168368418440311
PC.Cued Speech,-0.005168368418440348
PC.Fluency Induction,-0.005168368418440348
ST.Instruction,-0.005168368418440371
ST.Vignettes,-0.005168368418440379
BD.Pharmacology.Alcohol,-0.005168368418440385
BD.Cognition.Memory,-0.005204519595718789
