feature,r
LDA50_abstract_weight__37_language_reading_word,0.07102201701631386
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.05157777722051963
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.051356701158752155
LDA50_abstract_weight__40_face_faces_facial,0.041675499286027845
LDA50_abstract_weight__9_memory_working_wm,0.039289771848609906
LDA50_abstract_weight__15_task_performance_cognitive,0.03887761710232465
LDA50_abstract_weight__8_mpfc_social_medial,0.034904798923737816
LDA50_abstract_weight__26_emotional_amygdala_negative,0.030951381070857962
LDA50_abstract_weight__16_response_inhibition_control,0.027452648970933004
LDA50_abstract_weight__33_memory_retrieval_encoding,0.027250101699432407
LDA50_abstract_weight__20_control_conflict_task,0.02660788781181895
LDA50_abstract_weight__6_auditory_speech_temporal,0.02373480506046499
LDA50_abstract_weight__19_action_actions_observation,0.0166586413512328
LDA50_abstract_weight__18_number_ips_numerical,0.011754067130047409
LDA50_abstract_weight__23_asd_autism_group,0.009275349230948788
LDA50_abstract_weight__38_semantic_category_representations,0.009081225106795814
LDA50_abstract_weight__28_social_empathy_moral,0.005899423051056203
LDA50_abstract_weight__47_attention_attentional_target,0.005315625256154079
LDA50_abstract_weight__24_age_adults_older,0.0041725666009261074
LDA50_abstract_weight__41_imagery_mental_events,0.002759478232213633
LDA50_abstract_weight__4_stimulus_time_repetition,-0.0020430188940488026
LDA50_abstract_weight__10_food_taste_weight,-0.006205833643885317
LDA50_abstract_weight__1_anxiety_trait_personality,-0.006693653829879784
LDA50_abstract_weight__42_visual_cortex_sensory,-0.006804023066070972
LDA50_abstract_weight__43_magnetic_mechanisms_human,-0.007559652987138663
LDA50_abstract_weight__31_model_models_prediction,-0.00765104670199631
LDA50_abstract_weight__29_stress_ptsd_trauma,-0.009294834883923795
LDA50_abstract_weight__11_learning_training_practice,-0.009316156653550987
LDA50_abstract_weight__46_hemisphere_language_stroke,-0.009932071567192235
LDA50_abstract_weight__30_decision_making_risk,-0.009961853681712736
LDA50_abstract_weight__35_schizophrenia_risk_genetic,-0.010684358689186636
LDA50_abstract_weight__12_women_men_sex,-0.01142063716438569
LDA50_abstract_weight__3_cortex_anterior_cingulate,-0.012855192642016188
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.013377033557422223
LDA50_abstract_weight__32_pain_somatosensory_stimulation,-0.01509919136061421
LDA50_abstract_weight__27_disorder_adhd_group,-0.01669697171236065
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,-0.01772302656719684
LDA50_abstract_weight__39_stimulation_tms_bpd,-0.018561327701333306
LDA50_abstract_weight__13_fear_threat_smokers,-0.018733847143371292
LDA50_abstract_weight__14_disease_ad_pd,-0.021120909467911442
LDA50_abstract_weight__7_reward_feedback_striatum,-0.023354748967953306
LDA50_abstract_weight__44_eye_sleep_gaze,-0.02526331920224718
LDA50_abstract_weight__45_motion_perception_visual,-0.029636084415131807
LDA50_abstract_weight__25_spatial_body_human,-0.03262886494081168
LDA50_abstract_weight__17_motor_cortex_hand,-0.037828298316481976
LDA50_abstract_weight__0_network_state_resting,-0.038410591749096425
LDA50_abstract_weight__34_frequency_hz_ms,-0.03934728038999711
LDA50_abstract_weight__49_depression_mdd_state,-0.03983449361879307
LDA50_abstract_weight__21_matter_volume_structural,-0.04572472790018233
LDA50_abstract_weight__22_method_group_approach,-0.05030550205269563
